line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:流萤|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[File:流萤官方介绍图.png|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,[[File:流萤官方介绍图2.png|500px|center]]<br>,default,
7,{{角色介绍,default,
8,|职业背景=3c6988,default,
9,|职业颜色=c6fdd4,default,
10,|职业=「星核猎手」成员之一，<br>身着机械装甲战斗的少女。,default,
11,|介绍=「星核猎手萨姆，接受采访」。<br>…抱歉，我只是想调节下气氛，希望没有吓到你。<br>还是做个正式的自我介绍吧。你好，我叫「流萤」。,default,
12,|表格背景=31507a,default,
13,|表格边框=ddfce4,default,
14,|标题颜色=2d4e73,default,
15,|标题背景=b2fff5,default,
16,|内容颜色=fff,default,
17,|备注颜色=b6fff9,default,
18,|标题1=你的名字很好听…,default,
19,|内容1=真的吗？谢谢你，这个名字源自一种名为「火萤」的生物——在阳光下，它们是普通的飞虫。但到了夜晚，它们的光芒会比星星更加耀眼。这些看似渺小的生命，却有照亮夜空的火光。怎么样，是不是很神奇？<br>你说…我的名字也变得闪耀起来了？还是第一次有人这么说呢。,default,
20,|备注1=知更鸟的备注：难怪…流萤小姐的发卡和「火萤」如此相似。,content,知更鸟的备注
21,|标题2=关于「萨姆」…,default,
22,|内容2=它是我生命的摇篮，也曾是我存在的意义…「兵器」。<br>虽然现在，我更希望以「流萤」的身份认识、接触这个世界，但在战斗之外，我也借助「萨姆」完成了很多事——去高强辐射的星系看一次蓝色日出；到百万倍大气压的星球看一场钻石雨；或是在寰宇间驻足停留，见证一颗星星的陨落<br>更有趣的事？我想想…这个算不算：有一次，我把「萨姆」的功率降到最低，加上一些技巧，用热能武器给大家烤肉。虽然有些荒谬，不过…大家都说味道不错，你也想尝尝吗？,content,这个算不算
23,|备注2=三月七的备注：我要我要！烤肉派对，想想都要馋哭了。,content,三月七的备注
24,|标题3=和「同伴」们的关系如何？,default,
25,|内容3=星核猎手的各位都是很有个性的人。银狼，她会带我体验各种新奇的事物：年轻人追赶的寰宇潮流、当下最火爆的电子娱乐…不过她总是说，我的游戏方式和她不太一样。<br>刃，他不太爱说话，我们的交流大多限于「剧本」…但谈到和生命有关的话题时，他似乎比平时健谈，也许是我的错觉吧。<br>卡芙卡，她很照顾我，也时常会同我谈心，她很少提及自己的过去，我其实…对她一无所知。,content,她会带我体验各种新奇的事物
26,|备注3=帕姆的备注：不论是自由随性的星核猎手，还是亲如一家的星穹列车，能为共同目标奋斗的团队都值得称赞帕！,content,帕姆的备注
27,|标题4=有没有想要实现的愿望？,default,
28,|内容4=以前我幻想过，如果能出生在一颗安定和平的星球上，我想去…学校。那是同龄人聚集的地方，也许能结交一些志趣相投的朋友，同伴…不过以结果而言，这个愿望也算实现了！其他的…其实都是一些很简单的小心愿。比如可以安安心心地进入梦乡；用零花钱买很多可爱的小玩意，也…算是疯狂购物？对了，当个甜点品鉴师也很不错，甜点总是让人感到快乐~啊，实在不好意思…一说起这些，就控制不住想象。<br>总会有这样一天的…？谢谢你！我也这么期待着。我相信终有一天，我一定会为自己的「剧本」添上新的注脚。,default,
29,|备注4=翡翠的备注：流萤小姐的愿望听上去并不困难，不知是否有兴趣光临慈玉典押？我定会为你呈上理想的人生方案。,content,翡翠的备注
30,}},default,
31,<center><gallery mode=nolines>,default,
32,File:流萤角色介绍图1.jpg|角色介绍1,default,
33,File:流萤角色介绍图2.jpg|角色介绍2,default,
34,File:流萤角色前瞻图.jpg|角色前瞻,default,
35,File:流萤官方故事图.jpg|角色故事,default,
36,File:流萤壁纸.jpg|手机壁纸,default,
37,</gallery></center>,default,
38,</div></div>,default,
39,{{相关光锥|流萤}},default,
40,,default,
41,{{人物出场|流萤}},default,
42,==相关物品==,default,
43,{{相关物品|流萤}},default,
44,,default,
45,<!-- ===角色对话===,default,
46,====大世界对话====,default,
47,{{折叠|折叠=是|标题=大世界对话-首次|内容=,default,
48,}},default,
49,,default,
50,{{折叠|折叠=是|标题=大世界对话-日常|内容=,default,
51,,default,
52,}},default,
53,====列车访客对话====,default,
54,{{折叠|折叠=是|标题=列车访客对话1|内容=,default,
55,,default,
56,}},default,
57,,default,
58,{{折叠|折叠=是|标题=列车访客对话2|内容=,default,
59,,default,
60,}},default,
61,,default,
62,{{折叠|折叠=是|标题=列车访客对话3|内容=,default,
63,,default,
64,}},default,
65,,default,
66,{{折叠|折叠=是|标题=列车访客对话4|内容=,default,
67,,default,
68,}},default,
69,,default,
70,{{折叠|折叠=是|标题=列车访客对话5|内容=,default,
71,,default,
72,}},default,
73,,default,
74,{{折叠|折叠=是|标题=列车访客对话6|内容=,default,
75,,default,
76,}} -->,default,
77,==社媒专栏==,default,
78,*[https://t.bilibili.com/946452737269170176 「帕姆捡到的神秘手账本」],default,
79,==人物考据==,default,
80,*流萤的终结技演出——脸部特写及转身光翼展开的动画致敬了《机动战士高达00》第二季第十一集里00高达第一次与0 Raiser强化战机对接后的完全形态。,default,
81,*正如走进星穹里的老杨所说，装甲萨姆的“完全燃烧”形态是她自身强大意志外化而成的形态；巧合的是，《机动战士高达00》的主角刹那·F·清英在驾驶00R高达时，也凭借自身的意志超越了机体极限完成量子化。,default,
82,*其名字流萤在汉语语言体系下，意为飞行不定的萤火虫。唐代诗人杜牧《秋夕》诗云：“银烛秋光冷画屏，轻罗小扇扑流萤。”,content,诗云
83,*原隶属于格拉默铁骑，编号「AR-26710」。于流萤与翡翠的剧情对话中揭示，失熵症是格拉默为防止铁骑落在他人手中故意在战士的基因编译中设下的保险。''（编者按：简直就像《龙族》中楚子航所说的：“但她生下来就没有机会。不喜欢她的不是你或我，不喜欢她的是这个世界。”）'',branch_content,编者按
84,----,default,
85,*流萤相关成就之一「[[战意奔涌#去吧，阿…萨姆]]」，对应「[[战意奔涌#去吧，阿刃]]」。“阿萨姆”一词源自出产于印度•阿萨姆邦的“阿萨姆红茶”，因为饮料“阿萨姆奶茶”而为更多人所知。,default,
86,*流萤相关成就之二「[[战意奔涌#见过夏天]]」，《见过夏天》是2011年日本剧场版动画《萤火之森》（改编于同名漫画）的主题曲。故事讲述了人类少女“萤”和戴着狐狸面具的奇异少年“银”的邂逅、情愫、与离别。最终，银在与萤的拥抱中微笑着消失，但与开拓者一样，他们都在各自的世界与一个重要的人见过了最美好的夏天。,default,
87,----,default,
88,"*悬赏金：9,723,000,000<ref>[https://www.bilibili.com/video/BV1jE421A7qK/ 《崩坏：星穹铁道》流萤角色PV——「壳中萤火」 ]</ref>",content,悬赏金
89,*定分枪分数：23分,content,定分枪分数
90,==注释==,default,
