line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。<br>本系列有多个同名任务，请使用切换板查看。接取规则正在探索中}},option,开拓者
2,{{任务,default,
3,|任务名称=海滩守护者,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=日常任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.3,default,
8,|任务描述=丹鼎司洞天重开之后，鱼龙混杂。仅仅依靠护珠人在海滩巡逻是不够的，他们向善良勇敢的志愿者发出了邀请。<br>护珠人跃渊希望你能参与海滩巡逻…真是的，守护这片沙滩的人到底是谁呢？<ref>《假面骑士555》梗，二骑草加雅人在沙滩上被打败后沙化而死，因为东映经常把沙滩作为拍摄背景，所以每逢看到这个场景，网友总喜欢刷“守护这片沙滩的到底是谁呢？”等弹幕。</ref>,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|信用点|5000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=无,default,
12,|开放等级=0,default,
13,|相关活动=,default,
14,|相关成就=<!-- 合集名#成就名 顿号分隔 -->,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=跃渊、阿浮,default,
18,|领取地点=,default,
19,|系列任务=,default,
20,|任务编号=<!-- 有系列任务时填写 -->,default,
21,|前置任务=<!-- *[[前置任务]] -->,default,
22,|后续任务=<!-- *[[后续任务]] -->,default,
23,|任务流程=*前往丹鼎司，与跃渊对话,default,
24,*去鳞渊境海滩巡逻,default,
25,*将捡到的漂流瓶交给跃渊,default,
26,----,default,
27,*前往丹鼎司，与跃渊对话,default,
28,*去鳞渊境海滩巡逻,default,
29,*（可选）把漂流瓶扔回海里,default,
30,*（可选）将捡到的漂流瓶交给跃渊,default,
31,----,default,
32,*前往丹鼎司，与跃渊对话,default,
33,*去鳞渊境海滩巡逻,default,
34,*（可选）将捡到的信交给阿浮,default,
35,*（可选）将捡到的漂流瓶交给跃渊,default,
36,----,default,
37,*前往丹鼎司，与跃渊对话,default,
38,*去鳞渊境海滩巡逻,default,
39,----,default,
40,*去鳞渊境海滩巡逻,default,
41,*在附近看看今天有什么垃圾,default,
42,----,default,
43,*去鳞渊境海滩巡逻,default,
44,*在附近看看今天有什么垃圾,default,
45,----,default,
46,*去鳞渊境海滩巡逻,default,
47,*在附近看看今天有什么垃圾,default,
48,----,default,
49,*去鳞渊境海滩巡逻,default,
50,*在附近看看今天有什么垃圾,default,
51,|已完善=,default,
52,}},default,
53,{{切换板|开始}},default,
54,{{切换板|默认显示|其一}},default,
55,{{切换板|默认显示|其二}},default,
56,{{切换板|默认显示|其三}},default,
57,{{切换板|默认显示|其四}},default,
58,{{切换板|默认显示|酒坛}},default,
59,{{切换板|默认显示|书本}},default,
60,{{切换板|默认显示|信件}},default,
61,{{切换板|默认显示|灯神}},default,
62,{{切换板|显示内容}},default,
63,===前往丹鼎司，与跃渊对话===,default,
64,{{任务描述|丹鼎司洞天重开之后，鱼龙混杂。仅仅依靠护珠人在海滩巡逻是不够的，他们向善良勇敢的志愿者发出了邀请。<br>护珠人跃渊希望你能参与海滩巡逻…真是的，守护这片沙滩的人到底是谁呢？|仙舟「罗浮」-丹鼎司}},default,
65,{{剧情选项,default,
66,|图标1=任务,default,
67,|选项1=看你好像很发愁的样子。,option,开拓者
68,}},default,
69,*跃渊：丹鼎司洞天重开之后，虽然人来人往的程度不及灾前，但这里多少也算是鱼龙混杂。,content,跃渊
70,*跃渊：你有没有听说过，有一类化外民组织叫作「放生帮」？叫他们为组织也有些奇怪，我听说有些人是抱团行动，有些人则纯粹是自发行为……,content,跃渊
71,{{剧情选项,default,
72,|选项1=没听说过什么「放生帮」…,option,开拓者
73,|剧情1=*跃渊：说是「通过放生来积累功德」的一群人，这都不重要……,branch_content,跃渊
74,|选项2=「放生帮」行事，我略有耳闻。,option,开拓者
75,|剧情2=*跃渊：你听说过就好办了，这帮人既固执、又愚昧，简直不像接受过现代教育的人。,branch_content,跃渊
76,}},default,
77,*跃渊：他们什么都往波月古海里放生，那些放生「鳞渊冰泉」的人姑且还算在法律边缘徘徊，但是放生野生生物的就属于违返仙舟律法了。,content,跃渊
78,*跃渊：前段时间，我抓住了不少「放生帮」放生的现行，他们好像已经盯上我了。我去海岸巡逻期间，他们假装老实；一旦我该休息了……,content,跃渊
79,{{剧情选项,default,
80,|选项1=他们又开始放生了。,option,开拓者
81,|剧情1=*跃渊：没错。,branch_content,跃渊
82,|选项2=他们也开始休息了。,option,开拓者
83,|剧情2=*跃渊：不对，他们就出来开始放生了。,branch_content,跃渊
84,}},default,
85,*跃渊：总之，我想有个人在我休息的时候帮我在海滩上走一下就好了。要是发现了放生帮就去威慑他们，要是发现了放生对象就处理一下…你说这样的人哪里找呢？,content,跃渊
86,{{剧情选项,default,
87,|选项1=我不就是吗？,option,开拓者
88,|选项2=…有种跑腿的预感。,option,开拓者
89,}},default,
90,*跃渊：放心，护珠人是不会亏待你的，就拜托你了。,content,跃渊
91,===去鳞渊境海滩巡逻===,default,
92,{{任务描述|丹鼎司洞天重开之后，鱼龙混杂。仅仅依靠护珠人在海滩巡逻是不够的，他们向善良勇敢的志愿者发出了邀请。<br>护珠人跃渊希望你能参与海滩巡逻…真是的，守护这片沙滩的人到底是谁呢？|仙舟「罗浮」-鳞渊境}},default,
93,*开拓者：（这就是跃渊巡逻的区域，{{颜色|描述|要是发现了放生帮就去威慑他们，要是发现了放生对象就处理一下}}…真是的，守护这片沙滩的人到底是谁呢？）,content,开拓者
94,{{剧情选项,default,
95,|图标1=调查,default,
96,|选项1=捡起,option,开拓者
97,}},default,
98,*开拓者：（这好像是…漂流瓶？波月古海也存在着洋流吗？漂流瓶又是从哪里来的？）,content,开拓者
99,*开拓者：（总之先打开看看，再考虑怎么办吧。）,content,开拓者
100,{{折叠|标题=漂流瓶内的信件（其一）|内容=,default,
101,亲爱的朋友：<br><br>我写下这封求救信，希望能够得到帮助和救援。<br><br>我不知道自己身在何处。糟糕的是，我在漂流的过程中失去了所有的导航设备和通讯工具，唯一的希望就是这个漂流瓶能够被发现。幸运的是，瓶子还有很多！<br><br>无论你是谁，你来自哪里，请你将我的求救信息告诉当地的救援单位。,content,亲爱的朋友
102,|折叠=是}},default,
103,*开拓者：（看来海滩也没有其他情况了。总之，先把求救信交给跃渊处理吧。）,content,开拓者
104,===将捡到的漂流瓶交给跃渊===,default,
105,{{任务描述|丹鼎司洞天重开之后，鱼龙混杂。仅仅依靠护珠人在海滩巡逻是不够的，他们向善良勇敢的志愿者发出了邀请。<br>护珠人跃渊希望你能参与海滩巡逻…真是的，守护这片沙滩的人到底是谁呢？|仙舟「罗浮」-丹鼎司}},default,
106,{{剧情选项,default,
107,|图标1=任务,default,
108,|选项1=（将捡到的漂流瓶交给跃渊）,option,开拓者
109,}},default,
110,*跃渊：说老实话，我看这漂流瓶里字迹工整，我怀疑这是有人整蛊…不过，为了安全起见，我会安排人手驾驶星槎前往波月古海搜救的。,content,跃渊
111,*跃渊：不过，我也建议你不必抱太大希望。鳞渊境存在着特殊的洞天技术，别说是落难者，就连我们也无法前往古海深处，这漂流瓶造假的可能性极高。,content,跃渊
112,{{剧情选项,default,
113,|选项1=但不能因此放弃调查，对吧？,option,开拓者
114,|剧情1=*跃渊：你说的没错，就算可能性再低，我们也会到海上调查一番的。,branch_content,跃渊
115,|选项2=这会不会是放生帮干的呢？,option,开拓者
116,|剧情2=*跃渊：…倒是不能排除这样的可能性，他们的话，确实会干出浪费公共资源的事情。,branch_content,跃渊
117,}},default,
118,*跃渊：总之，辛苦你了，这是你应得的报酬。,content,跃渊
119,{{切换板|内容结束}},default,
120,{{切换板|折叠内容}},default,
121,===前往丹鼎司，与跃渊对话===,default,
122,{{任务描述|丹鼎司洞天重开之后，鱼龙混杂。仅仅依靠护珠人在海滩巡逻是不够的，他们向善良勇敢的志愿者发出了邀请。<br>护珠人跃渊希望你能参与海滩巡逻…真是的，守护这片沙滩的人到底是谁呢？|仙舟「罗浮」-丹鼎司}},default,
123,{{剧情选项,default,
124,|图标1=任务,default,
125,|选项1=听说你找我帮忙巡逻。,option,开拓者
126,}},default,
127,*跃渊：对了，不知道{{颜色|描述|漂流瓶的事}}你还记得多少？我们护珠人派出了一队搜救人员，到波月古海上搜了一圈什么都没有找到。,content,跃渊
128,*跃渊：你放心，我对你自然是信任有加，但是这漂流瓶的来历实在太怪了，越来越像整蛊了。,content,跃渊
129,*跃渊：如果你发现了类似的情况，{{颜色|描述|你可以自己处理掉，或者你不放心的话，仍然可以交给我们。}},content,跃渊
130,*跃渊：总之，麻烦你去海滩上走一遭了。,content,跃渊
131,===去鳞渊境海滩巡逻===,default,
132,{{任务描述|丹鼎司洞天重开之后，鱼龙混杂。仅仅依靠护珠人在海滩巡逻是不够的，他们向善良勇敢的志愿者发出了邀请。<br>护珠人跃渊希望你能参与海滩巡逻…真是的，守护这片沙滩的人到底是谁呢？|仙舟「罗浮」-鳞渊境}},default,
133,*开拓者：（这就是跃渊巡逻的区域，{{颜色|描述|要是发现了放生帮就去威慑他们，要是发现了放生对象就处理一下}}…真是的，守护这片沙滩的人到底是谁呢？）,content,开拓者
134,{{剧情选项,default,
135,|图标1=调查,default,
136,|选项1=捡起,option,开拓者
137,}},default,
138,:这毫无疑问是一个漂流瓶。,default,
139,（总之先打开看看，再考虑怎么办吧。）,default,
140,{{折叠|标题=漂流瓶内的信件（其二）|内容=,default,
141,亲爱的朋友：<br><br>我写下这封求救信，仍然希望能够得到帮助和救援。<br><br>我发现了一些食物、衣服、还有粗糙的手制武器（我以前也是当过兵的），所以我用削尖的木桩把简易帐篷围了起来，已经度过了最初的困难。但是，我仍然没有搞清楚自己究竟是在哪里，还得靠漂流瓶来求救，幸运的是，瓶子还有很多！<br><br>无论你是谁，你来自哪里，请你将我的求救信息告诉护珠人或者其他持明吧。,content,亲爱的朋友
142,|折叠=是}},default,
143,*开拓者：（落难者好像已经度过了最初的危机，这个漂流瓶应该怎么办呢？）,content,开拓者
144,{{剧情选项,default,
145,|选项1=写点什么，然后扔回海里。,option,开拓者
146,|选项2=还是把漂流瓶交给跃渊吧。,option,开拓者
147,}},default,
148,===（可选）把漂流瓶扔回海里===,default,
149,{{任务描述|丹鼎司洞天重开之后，鱼龙混杂。仅仅依靠护珠人在海滩巡逻是不够的，他们向善良勇敢的志愿者发出了邀请。<br>护珠人跃渊希望你能参与海滩巡逻…真是的，守护这片沙滩的人到底是谁呢？|仙舟「罗浮」-鳞渊境}},default,
150,{{剧情选项,default,
151,|图标1=调查,default,
152,|选项1=扔回去,option,开拓者
153,}},default,
154,*开拓者：（既然决定将漂流瓶扔回去，还是装点什么进去吧……）,content,开拓者
155,{{剧情选项,default,
156,|选项1=给予帮助以外的一切支持。,option,开拓者
157,|剧情1=*开拓者：「你在那边也要好好吃饭，好好睡觉，一个人也要照顾好自己。人生路只能自己走，孤独是常态，你要学会习惯……」,branch_content,开拓者
158,:你写了一封感人至深的书信，教会了一个人如何在困境中汲取力量。有时候，一句打动人心的话语，能远远胜过物质上的援助。,default,
159,|选项2=一些生存指南小贴士。,option,开拓者
160,|剧情2=*开拓者：「你千万要远离野兽出没的地方，否则会被马上吃掉。要是不会钻木取火的话，你可以试试打火机，一定要有耐心……」,branch_content,开拓者
161,:你总结了一份荒野求生的知识和技巧，教会了一个人如何免受恶劣天气和野生动物的侵害。其中最重要的是，落难人也不可以破坏植被和野生动物栖息地！,default,
162,|选项3=护珠人上一次的搜查结果。,option,开拓者
163,|剧情3=*开拓者：「护珠人派出了一队搜救人员，到波月古海上搜了一圈什么都没有找到，你到底在哪里……」,branch_content,开拓者
164,:你客观陈述了护珠人为了寻找失事者而付出的努力，并且强力建议落难者给出自己的具体位置，以提高获救概率。,default,
165,}},default,
166,:你将漂流瓶扔了回去。按照常识来看，漂流瓶多半不会回到落难者手中吧……,default,
167,===（可选）将捡到的漂流瓶交给跃渊===,default,
