line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=漩涡止于中心,default,
3,|任务地区=空间站「黑塔」,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=目光从陌生的天花板上移开后，你看着周围的各色「奇物」，脑袋中似乎残留着一个女人的声音，只是现在的情况不允许你确定自己是否能马上清晰地回忆起她。<br>「当你有机会做出选择的时候，不要让自己后悔。」<br>于是你选择先听这「三月七」与刚刚那位已经离开的「丹恒」的话，至少，他们看着不像是坏人。<br>好了，现在路上有了伴，先离开这里吧。,default,
7,|奖励={{图标|里程|600}}{{图标|星琼|80}}{{图标|信用点|5000}}{{图标|旅情见闻|2}}{{图标|天倾|1}}{{图标|三月七|1}}{{图标|丹恒|1}},default,
8,|任务条件=完成[[混乱行至深处]],default,
9,|开放等级=0,default,
10,|出场人物=丹恒、三月七、阿兰、姬子,default,
11,|相关道具=,default,
12,|系列任务=今天是昨天的明天,default,
13,|任务编号=2,default,
14,|前置任务=*[[混乱行至深处]],default,
15,|后续任务=*[[宇宙安宁片刻]],default,
16,|任务流程=*离开这里，看看外面的情况,default,
17,*听三月七的话，保护好自己,default,
18,*前往中庭处的中央电梯,default,
19,*前往监控室，与阿兰会合,default,
20,*使用密钥,default,
21,*前往最上层乘坐电梯，到达主控舱段,default,
22,|已完善=是}},default,
23,==剧情内容==,default,
24,:{{颜色|描述|你看见卡芙卡转身离开，你昏昏睡去…}},default,
25,:{{颜色|描述|…不知道过了多久，你耳边传来声音…}},default,
26,*男声：这个人的坐标不是由空间站发出的……,content,男声
27,*女声：都这时候了还计较啥啊。这个大活人就在我们眼前，总不能是假的吧。,content,女声
28,*男声：…心跳和脉搏很微弱，三月，准备做人工呼吸。,content,男声
29,*女声：啊？！我…我没什么经验！丹恒你来吧！,content,女声
30,{{折叠|标题=过场动画|内容=,default,
31,:{{颜色|描述|你睁开双眼，看到一名少年的脸庞正在离你很近的距离…}},default,
32,*？？？：停——住口！,content,
33,*？？？：人醒了！}},content,
