line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=潜迹狼烽，兽骇鸟惊,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓续闻,default,
6,|角色=三月七,default,
7,|命路群像=屯蒙御寇,default,
8,|所属版本=2.4,default,
9,|任务描述=时光流逝，转眼演武仪典即将召开在即。在即将登上擂台的时刻到来前，年轻的剑士们眺望空中的斗舰，与远来之客抒发己见。但关注此刻的并不只有他们，迴星港中，另有不速之客图谋不轨……,default,
10,|奖励=无,default,
11,|任务条件=完成任务[[授剑传行，腾然流星]],default,
12,|开放等级=21,default,
13,|相关成就=,default,
14,|相关道具=,default,
15,|相关书籍=,default,
16,|出场人物=三月七、彦卿、云璃,default,
17,|领取地点=,default,
18,|系列任务=明霄竞武试锋芒•上,default,
19,|任务编号=07,default,
20,|前置任务=*[[授剑传行，腾然流星]],default,
21,|后续任务=*[[诘辩无愧，折狱论非]],default,
22,|任务流程=*离开迴星港，返回练剑处,default,
23,*窥视可疑人员,default,
24,*找到合适的箱子躲藏,default,
25,*追踪可疑人员,default,
26,}},default,
27,,default,
28,==剧情内容==,default,
29,=== 离开迴星港，返回练剑处 ===,default,
30,{{任务描述|时光流逝，转眼演武仪典即将召开在即。在即将登上擂台的时刻到来前，年轻的剑士们眺望空中的斗舰，与远来之客抒发己见。但关注此刻的并不只有他们，迴星港中，另有不速之客图谋不轨……|仙舟「罗浮」-迴星港}},default,
31,:{{颜色|灰|正当你们准备返回星槎海时…}},default,
32,*匠人：…闭嘴吧赤牙，这里的船毕竟不是兽舰，我需要点时间搞定它。,content,匠人
33,*云骑士卒：你自愿披上了贱畜的皮，加入这次行动，为光荣的大业献身。现在你告诉我，你搞不定？你知道我们需要多少条船吗？,content,云骑士卒
34,*匠人：我在尽力，我在研究，这些都需要时间。,content,匠人
35,*天舶司成员：明天礼炮一响，所有人的注意都会被吸引，不会有第二次机会——,content,天舶司成员
36,*云骑士卒：Harr zaa xi？谁，谁在那儿？！,content,云骑士卒
37,*彦卿：你们是谁？,content,彦卿
38,*匠人：临时检查。为什么有无关的人在迴星港出没？还是几个小不点。,content,匠人
39,*天舶司成员：小朋友，你们的父母难道没告诉过你，迴星港虽然是自动运转的设施，但这并不意味着你们几个能随随便便闯进来。,content,天舶司成员
40,{{剧情选项,default,
41,|选项1=我这就带弟弟妹妹们走。,option,开拓者
42,|剧情1=*三月七：啊，对不住，我这就把小不点们带走。,branch_content,三月七
43,|选项2=叫谁小朋友呐。,option,开拓者
44,|剧情2=*三月七：首先，本小姐是成年人了。其次，我可不算随随便便闯进来的——,branch_content,三月七
45,*彦卿：是啦，叔叔，咱们是坐星槎呼一下飞过来的喔！,content,彦卿
46,*天舶司成员：叔叔们没有责问你们的意思。但是，这儿不对一般居民们开放。,content,天舶司成员
47,}},default,
48,*彦卿：姐姐，姐姐，咱们快走吧，接下来我要、我要去永狩原玩！,content,彦卿
49,*三月七：唉？永狩原？呃…好，好的。姐姐带你去永狩原。,content,三月七
50,:{{颜色|灰|你们三人离开了可疑人员的视线…}},default,
51,*云骑士卒：Xuu haa…你应该让我——,content,云骑士卒
52,*天舶司成员：嘘，检修结束了，一切正常，我们该走了。,content,天舶司成员
53,*彦卿：事情…似乎有点蹊跷。换个地方说话。,content,彦卿
54,*云璃：彦卿小弟，能不能把刚才的话再学一遍？,content,云璃
55,*彦卿：什么话？,content,彦卿
56,*云璃：姐姐，姐姐，咱们快走吧~,content,云璃
57,*彦卿：救命，你是永远读不懂气氛吗？刚才那三个人，很有问题。,content,彦卿
58,*云璃：傻瓜都看明白啦，我只是想再听你说一遍那个。,content,云璃
59,*云璃：那只粉毛狐狸刚刚欲言又止，怕是早已瞧出了什么端倪。只是他人生地不熟，所以临走前了留了个话茬暗示咱们，没想到你却不搭理他。,content,云璃
60,*彦卿：我早就听明白了！,content,彦卿
61,{{剧情选项,default,
62,|选项1=那个云骑…不认识彦卿师父？,option,开拓者
63,|剧情1=*三月七：刚才那个云骑，完全认不出彦卿师父…这确实很蹊跷。,branch_content,三月七
64,*云璃：怎么，他在罗浮很有名吗？朱明云骑军千千万万，就算听过我的大名，也不见得认得出我的脸。,content,云璃
65,*三月七：您说的是呐。,content,三月七
66,|选项2=他们似乎在捣鼓星槎制造线？,option,开拓者
67,|剧情2=*三月七：说是检修，但看起来他们似乎并不知道怎么摆弄那条星槎制造的流水线？,branch_content,三月七
68,*云璃：这几个人一见到咱们就立刻「检修完毕」，转身就走，实在是可疑。,content,云璃
69,}},default,
70,*彦卿：云骑，天舶司的人，还有匠人…种类倒是齐全，检修的理由也说得过去，只是刚才那人嘴里迸出了一句奇怪的语言。你们听见了吗？,content,彦卿
71,*彦卿：我有种奇怪的直觉，如果咱们现在悄悄跟上去，一定能掀开这几个家伙的马脚。,content,彦卿
72,*彦卿：跟上我，小心别让他们发现了。,content,彦卿
73,,default,
74,=== 窥视可疑人员 ===,default,
75,*三月七：不管他们是谁，把他们的行动都拍下来作为证据。,content,三月七
76,{{折叠|标题=试图靠近可疑人员|内容=,default,
77,*彦卿：三月小姐，别靠太近了，会被发现的！,content,彦卿
78,|折叠=是}},default,
79,:{{颜色|灰|拍摄可疑人士密谋现场}},default,
80,*云骑士卒：应该宰了刚才那三只贱畜的。,content,云骑士卒
81,*云骑士卒：小崽子占不了多大地方。这儿到处都是箱子，随便往哪个里头一扔，不会有人发现的。,content,云骑士卒
82,*天舶司成员：少给我节外生枝，伽虏。任何一点意外都会干扰末度大人的计划。,content,天舶司成员
83,*云骑士卒：接下来去哪？,content,云骑士卒
84,*天舶司成员：去查验货船，需要做的准备还有很多。还有，记得带走那几只箱子。,content,天舶司成员
85,*天舶司成员：武器、补给…我们必须做好充足的准备。不然咱们的头颅就只能交代在这儿了。,content,天舶司成员
86,*云璃：这些人…是走私者吗？他们要做什么？,content,云璃
87,*彦卿：我不知道。但他们似乎准备带走那堆货箱。我有个主意，我们可以躲进那些箱子里，跟着他们。,content,彦卿
88,,default,
89,=== 找到合适的箱子躲藏 ===,default,
90,{{折叠|标题=以各种手段绕到可疑人士正面并尝试离开|内容=,default,
