line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=激战！大矿区,default,
4,|任务地区=雅利洛-Ⅵ,default,
5,|任务类型=活动任务,default,
6,|所属版本=1.4,default,
7,|任务描述=如今你们手握三枚资格勋章，只差一枚就能获得锦标赛的入场资格。<br>通往冠军之路如一卷红毯直铺你脚下，迈出登上台阶前的最后一步吧。,default,
8,|时间=<!-- 限时任务填写，可留空 -->,default,
9,|奖励={{图标|里程|200}}{{图标|星琼|40}}{{图标|漫游指南|6}}{{图标|遗失晶块|4}}{{图标|信用点|40000}},default,
10,|任务条件=完成任务「[[智斗！空间站「黑塔」]]」,default,
11,|开放等级=34,default,
12,|相关活动=「以太战线」,default,
13,|相关成就=,default,
14,|相关道具=大矿区的资格徽章,default,
15,|相关书籍=,default,
16,|出场人物=三月七、托帕,default,
17,|领取地点=,default,
18,|系列任务=星际决胜庆典,default,
19,|任务编号=05,default,
20,|前置任务=*[[智斗！空间站「黑塔」]],default,
21,|后续任务=*[[决胜！星际庆典]],default,
22,|任务流程=*与三月七汇合,default,
23,*前往大矿区入口,default,
24,*质问「托帕后援团」,default,
25,*询问向导机器人,default,
26,*前往指定地点接受考验,default,
27,*驱散捣乱的员工,default,
28,*前往指定地点接受考验,default,
29,*驱散捣乱的员工,default,
30,*前往指定地点接受考验,default,
31,*驱散捣乱的员工,default,
32,*前往指定地点接受考验,default,
33,*与冠军候补对决,default,
34,}},default,
35,==剧情内容==,default,
36,=== 与三月七汇合 ===,default,
37,{{任务描述|如今你们手握三枚资格勋章，只差一枚就能获得锦标赛的入场资格。<br>通往冠军之路如一卷红毯直铺你脚下，迈出登上台阶前的最后一步吧。|雅利洛-Ⅵ-行政区}},default,
38,*三月七：开拓者，休息得怎么样？今天就是决胜乐园之旅的最后一站，可得把精神养好啦！,content,三月七
39,*次元扑满：哼哼！哼！,content,次元扑满
40,{{剧情选项,default,
41,|选项1=休息得很好！,option,开拓者
42,|剧情1=*三月七：那就好～,branch_content,三月七
43,|选项2=终于要结束了…,option,开拓者
44,|剧情2=*三月七：嘿嘿…陪我折腾这么久，真是辛苦你啦。,branch_content,三月七
45,}},default,
46,*三月七：那我们出发吧！目的地是{{颜色|描述|「大矿区的决胜乐园」}}！,content,三月七
47,,default,
48,=== 前往大矿区入口 ===,default,
49,{{任务描述|通往冠军之路如一卷红毯直铺你脚下。<br>最后一枚徽章正由大矿区的某个人保管，找到并击败他，扫清比赛前的全部障碍吧！|雅利洛-Ⅵ-磐岩镇}},default,
50,*三月七：这里往下走就是大矿区了！公司应该也已经把场地布置好了吧？,content,三月七
51,*三月七：你准备好了吗，开拓者？,content,三月七
52,*次元扑满：哼哼！哼！哼哼！,content,次元扑满
53,{{剧情选项|选项1=出发吧。}},default,
54,*三月七：出发——一定要取得锦标赛的入场资格！,content,三月七
55,,default,
56,=== 质问「托帕后援团」 ===,default,
57,{{任务描述|「托帕后援团」的这些人根本不懂得承认失败，简直比顽石都固执。<br>但在重新击败他们之前，还是先问个明白吧。|决胜乐园-大矿区}},default,
58,*三月七：咦？那些人…难道是「托帕后援团」吗？！,content,三月七
59,*凶巴巴的公司员工：哼哼哼…我们的推测果然没错！,content,凶巴巴的公司员工
60,*恶狠狠的公司员工：果然没错！你们一定会来这里挑战最后一位{{颜色|描述|冠军候补}}！,content,恶狠狠的公司员工
61,*三月七：果然，我就觉得昨天少了些什么——原来是少了收拾你们的环节！,content,三月七
62,*次元扑满：哼哼！哼！哼……,content,次元扑满
63,*凶巴巴的公司员工：都怪你们，害得大伙在总监面前颜面扫地…冤家路窄，既然在这儿撞见你们了——,content,凶巴巴的公司员工
64,*恶狠狠的公司员工：——我们一定要把那只以太灵夺回来！,content,恶狠狠的公司员工
65,{{剧情选项,default,
66,|选项1=想得美，它可是我们的伙伴！,option,开拓者
67,|剧情1=*三月七：没错，次元扑满可是我们的伙伴！才不会交给你们这种人！,branch_content,三月七
68,|选项2=还不是你们自己弄丢的…,option,开拓者
69,|剧情2=*三月七：就是就是，这都能怪到我们头上啊？我们才不会轻易把次元扑满交给你们！,branch_content,三月七
70,|选项3=要不咱打个商量…,option,开拓者
71,|剧情3=*三月七：…不准商量！,branch_content,三月七
72,*三月七：次元扑满可是我们的伙伴！才不会交给你们这种人！,content,三月七
73,}},default,
74,*三月七：话说回来，倒是你们这个「后援团」…根本就没得到托帕小姐的认可吧？,content,三月七
75,*次元扑满：哼哼！哼？哼哼！,content,次元扑满
76,*凶巴巴的公司员工：…可恶！既然你诚心诚意地发问了……,content,凶巴巴的公司员工
77,*恶狠狠的公司员工：那我就大发慈悲地……,content,恶狠狠的公司员工
78,*？？？：行啦行啦，你们几个，别在这里闹笑话了。,content,
79,*凶巴巴的公司员工：这个声音…难道是……,content,凶巴巴的公司员工
80,:{{颜色|描述|托帕出现在了两名后援团成员面前…}},default,
81,*恶狠狠的公司员工：…托帕总监？！,content,恶狠狠的公司员工
82,*托帕：又在四处捅娄子…我早该勒令你们这「后援团」解散才对。,content,托帕
83,*凶巴巴的公司员工：…托、托帕总监！对不起！,content,凶巴巴的公司员工
84,*恶狠狠的公司员工：我们知错了！,content,恶狠狠的公司员工
85,*托帕：道歉要是有用，公司还要「人才激励部」干什么？你们几个犯的事，我已经收到报告了——我会考虑把报告结果纳入绩效考评的。,content,托帕
86,*「托帕后援团」：怎么会这样……,content,托帕后援团
87,*托帕：然后是开拓者先生/小和三月七小姐…你们和那只以太灵的事情，我也听维尔德说过了。,content,托帕
88,*托帕：我和艾丝妲小姐进行了协商——她表示，二位可以自行决定如何处理这只以太灵——只要及时知会她就好了。,content,托帕
89,{{剧情选项,default,
90,|选项1=我们会仔细考虑的。,option,开拓者
91,|剧情1=*三月七：看来，这次又要我们作出选择了…可次元扑满的主人说到底还是艾丝妲小姐吧？,branch_content,三月七
92,|选项2=这是我们可以留下它的意思吗？,option,开拓者
93,|剧情2=*三月七：欸…好像确实是这样？可次元扑满的主人说到底还是艾丝妲小姐……,branch_content,三月七
94,|选项3=多谢两位不杀之恩！,option,开拓者
95,|剧情3=*三月七：嘿嘿…好像确实该多谢两位通情达理。,branch_content,三月七
