line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=犬迹追从，谛听狐踪,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=<!-- 同行任务填写 -->,default,
7,|所属版本=1.0,default,
8,|任务描述=自截获的通讯中，天舶司找到了卡芙卡下落的蛛丝马迹。<br>而后，你们将开始猎手与猎物间的追逐，找到行踪无定的星核猎手卡芙卡。,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励={{图标|里程|400}}{{图标|星琼|80}}{{图标|提纯以太|2}}{{图标|信用点|20000}}<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=完成[[紫府通谒，将军定策]],default,
12,|开放等级=29,default,
13,|相关活动=,default,
14,|相关成就=,default,
15,|相关道具=,default,
16,|相关书籍=,default,
17,|出场人物=三月七、瓦尔特、停云、阿来、阿往、清越、西衍先生、瀚典掌柜、小吃摊主、杂货摊主,default,
18,|领取地点=,default,
19,|系列任务=乘槎驭风仙窟游,default,
20,|任务编号=05<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[紫府通谒，将军定策]],default,
22,*[[旧影婆娑，追思错落]]<!-- *[[前置任务]] -->,default,
23,|后续任务=*[[迴星周旋，未卜知先]]<!-- *[[后续任务]] -->,default,
24,|任务流程=*与停云交谈,default,
25,*准备停当后，与停云交谈,default,
26,*利用谛听，追索停云留下的踪迹,default,
27,*（可选）询问路人，找到停云,default,
28,*与停云交谈,default,
29,*出发前往迴星港<!-- *任务流程 -->,default,
30,}},default,
31,==剧情内容==,default,
32,*三月七：发送失败？怎么回事啊？,content,三月七
33,{{剧情选项,default,
34,|选项1=不知道。,option,开拓者
35,|选项2=信号弱？,option,开拓者
36,|选项3=基站拆了？}},option,开拓者
37,*瓦尔特：超距通信技术还不太成熟，也可能星核的存在干扰了信号传输吧。,content,瓦尔特
38,*三月七：不会呀，其它功能还能用，瞧？,content,三月七
39,*瓦尔特：那么，只可能是有人动了手脚。既然卡芙卡在，想必这应该是星核猎手那个小骇客的手笔吧。,content,瓦尔特
40,===与停云交谈===,default,
41,{{任务描述|自截获的通讯中，天舶司找到了卡芙卡下落的蛛丝马迹。<br>而后，你们将开始猎手与猎物间的追逐，找到行踪无定的星核猎手卡芙卡。|仙舟「罗浮」-星槎海中枢}},default,
42,*停云：哎呀，你们来啦。,content,停云
43,{{剧情选项,default,
44,|选项1=抱歉，让你久等了。,option,开拓者
45,|剧情1=*停云：不会，也就多等了半个时辰吧~,branch_content,停云
46,|选项2=怎么感觉你很失望呢。,option,开拓者
47,|剧情2=*停云：恩公说笑了，小女子还盼着一同抓捕星核猎手，立个大功哩~}},branch_content,停云
48,*停云：「迴星港」是工造司治下之地，报备许可花了些时间。因此我顺路打听了点情况。,content,停云
49,*停云：和「流云渡」一样，「迴星港」的穹仪也停转了，关哨失守。云骑军忙着排查星核的位置，无暇他顾。,content,停云
50,*停云：内里怪物横行，人迹了无，倒确是藏匿行迹的妙处。,content,停云
51,*三月七：那就是说咱们没帮手，没支援，得对付一群怪物，还得抓个公司悬赏天文数字的星核猎手…行吧，也不是第一次了。,content,三月七
52,{{剧情选项,default,
53,|选项1=这不正是我们的日常吗？,option,开拓者
54,|剧情1=*三月七：哈哈——好苦涩哦。,branch_content,三月七
55,|选项2=你以前也抓过星核猎手？,option,开拓者
56,|剧情2=*三月七：随便聊聊天，不要在意细节！}},branch_content,三月七
57,*停云：呵呵，若说没有援手，也不尽然。恩公们准备好了，咱们就出发吧~,content,停云
58,,default,
59,===准备停当后，与停云交谈===,default,
60,*停云：恩公，出发吗？,content,停云
61,{{剧情选项,default,
62,|选项1=动身。,option,开拓者
63,|选项2=再等等。,option,开拓者
64,|图标2=退出}},default,
65,*停云：我带了一位帮手，定能帮助各位。搜捕卡芙卡兹事体大，天舶司担不起让她走脱了的责任。所以我使了些面子，从工造司那儿借来一个追逃的宝贝。,content,停云
66,*三月七：这……好可爱！！！,content,三月七
67,*三月七：咳，这什么宝贝？它能干嘛，扑上去咬紧卡芙卡不放么？,content,三月七
68,*停云：是，也不是。这是工造司仿生我狐族五感而开发出的「谛听」，敏锐程度更甚。,content,停云
69,*停云：无论脚印还是气味，只要锁定特征，它就能嗅探出目标留下的痕迹，一路追查到底。,content,停云
70,*停云：只要能找到一点点卡芙卡的痕迹就够了，就算她躲藏得再隐秘，也逃不过「谛听」的追踪。,content,停云
71,*停云：不过，在我们正式搜捕前，得先调试一下这个小玩意儿，让它熟悉工作~,content,停云
72,----,default,
73,*停云：首先，把它设置成能嗅探某人留下的气味~,content,停云
74,*停云：不妨以我的香水味作为目标，各位拿「谛听」来试试身手吧。,content,停云
75,,default,
76,===利用谛听，追索停云留下的踪迹===,default,
77,{{任务描述|为了令搜索行动事半功倍，停云展示了工造司发明的便利工具——一只寻人追物的机巧犬「谛听」。不过要熟练使用「谛听」，却要额外花些工夫。|仙舟「罗浮」-星槎海中枢}},default,
78,*三月七：循着这些亮晶晶的痕迹，把停云小姐找出来对吧？,content,三月七
79,*三月七：停云小姐也真是的，这么紧要的关头还和咱们玩起捉迷藏来了。,content,三月七
80,----,default,
81,*三月七：痕迹…消失了？是「谛听」失灵了吗？,content,三月七
82,*谛听：呜汪！,content,谛听
83,*三月七：嗯嗯。它说港口风急，要用气味追踪可不容易。,content,三月七
84,{{剧情选项,default,
85,|选项1=你是怎么听懂的？,option,开拓者
86,|选项2=它只叫了一声，哪来这么多话？}},option,开拓者
87,*三月七：是美少女和可爱小狗之间的心灵感应！,content,三月七
88,*瓦尔特：利用环境掩盖痕迹…天舶司的这位姑娘还真喜欢考验人啊。咱们四处找找，看看她有没有留下别的痕迹？,content,瓦尔特
89,*三月七：或者，问问附近的人吧？这里人来人往，一定有人看见过停云小姐。这也是收集信息的一种手段，应该不算作弊吧？,content,三月七
90,*谛听：汪，呜！,content,谛听
91,<tabber>,default,
92,调查线索=,default,
93,:一张洁白的名刺，角落印有一只展翅欲飞的鸢。落款则是「天舶司商团『鸣火』的首席代表，接渡使停云」。,default,
