line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=狴犴吠狂，妙语生香,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓续闻,default,
6,|所属版本=2.4,default,
7,|任务描述=演武仪典召开之际，罗浮仙舟成了诸多是非与矛盾的交集处，除却各怀心思的客人，还有遭遇步离人袭击被迫停靠的公司舰船。<br>为了解决与公司的纠纷，你们陪同彦卿抵达工造司。,default,
8,|奖励={{图标|星琼|60}}{{图标|漫游指南|6}}{{图标|提纯以太|6}}{{图标|信用点|65000}},default,
9,|任务条件=完成任务[[衔令来使，真意难识]],default,
10,|开放等级=21,default,
11,|相关成就=通往群星的轨道#辩才无碍/以「力」服人、通往群星的轨道#开棺定论,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=三月七、丹恒、彦卿、灵砂,default,
15,|领取地点=,default,
16,|系列任务=明霄竞武试锋芒•上,default,
17,|任务编号=03,default,
18,|前置任务=*[[衔令来使，真意难识]],default,
19,|后续任务=*[[锷击刃鸣，止戈罢兵]],default,
20,|任务流程=*陪同彦卿前往工造司,default,
21,*帮助彦卿与公司成员辩论,default,
22,}},default,
23,,default,
24,==剧情内容==,default,
25,=== 陪同彦卿前往工造司 ===,default,
26,{{任务描述|演武仪典召开之际，罗浮仙舟成了诸多是非与矛盾的交集处，除却各怀心思的客人，还有遭遇步离人袭击被迫停靠的公司舰船。<br>为了解决与公司的纠纷，你们陪同彦卿抵达工造司。|仙舟「罗浮」-工造司}},default,
27,*？？？：你们这些仙舟人到底讲不讲道理啊？,content,
28,*？？？：呵呵，我算是明白了～用你们的话说，这叫「趁火打劫」，对吧？,content,
29,*夕葵：我现在就是在和你讲道理啊！,content,夕葵
30,----,default,
31,*开拓者：（这阴阳怪气的声音实在耳熟…似乎在{{颜色|描述1|金人巷}}里听到过？）,content,开拓者
32,*斯科特：我也不是没和你们天舶司打过交道，你们那刁难人的行事作风我早就习惯了。,content,斯科特
33,*斯科特：但现在你们直接明抢公司的货物，这是不是有点过分了？,content,斯科特
34,*空青：都说了很多次了，只要开箱完成安全检查，我们自然会放行。你是耳朵出了问题，还是脑袋不利索。,content,空青
35,*斯科特：我听的很清楚，也想的很明白！我的话说得更直白：没戏！,content,斯科特
36,*斯科特：再扣着我的货物不放，我一纸诉状直接告到你们将军那里去！,content,斯科特
37,{{剧情选项,default,
38,|选项1=吵什么呢？,option,开拓者
39,|剧情1=*斯科特：你们叫多少人来都不可能说服我！嗯？！怎么是你啊？！,branch_content,斯科特
40,|选项2=斯科特，怎么是你啊！,option,开拓者
41,|剧情2=*斯科特：我还想问你呢！怎么又遇见你了！,branch_content,斯科特
42,|选项3=似乎听见了狗叫。,option,开拓者
43,|剧情3=*斯科特：混蛋！你说谁是狗？怎么…又是你啊？！,branch_content,斯科特
44,}},default,
45,*斯科特：你这家伙是赖在仙舟不走了是吧？真是祸不单行啊，遇上你准没好事……,content,斯科特
46,*夕葵：这不是星穹列车的客人吗？怎么和彦卿一起来工造司了？,content,夕葵
47,{{剧情选项,default,
48,|选项1=听说你们遇到了点麻烦。,option,开拓者
49,|剧情1=*斯科特：他们遇到了点麻烦？哼，是我！我遇到了麻烦！,branch_content,斯科特
50,|选项2=陪彦卿解决公司的麻烦。,option,开拓者
51,|剧情2=*斯科特：公司的麻烦？该说是天舶司给我们造成的麻烦才对！,branch_content,斯科特
52,}},default,
53,*彦卿：看来这位公司员工是开拓者老师的旧识…也不知这算是好事还是坏事。,content,彦卿
54,*彦卿：夕葵姐姐，我被派来解决公司的抗议，眼下到底是什么情况？,content,彦卿
55,*夕葵：如你所知，朱明使节舰救下了这艘被步离人袭击的公司运输船，然后知会云骑军辇道卫，将它带回港口完成修复与检查。,content,夕葵
56,*夕葵：这位，就是运输船的负责人，斯科特先生。,content,夕葵
57,*三月七：原来你就是斯科特啊！我听开拓者提起过你诶～你不是被赶出罗浮了吗？怎么又回来了？,content,三月七
58,*斯科特：你以为我想回来吗！我原本以为只是进港维修一番，就能离开这晦气的地方。谁知道一进港就冲上来几个云骑，把货舱里的货物都抢走了！,content,斯科特
59,*夕葵：什么叫「抢走」？说了多少遍，这是安全检查。,content,夕葵
60,*斯科特：那怎么又拉到工造司来了？还找来个獐头鼠目的匠人，这不明摆着要偷学公司的专利技术吗？,content,斯科特
61,*空青：我说这位…远道而来的客人，第一，天舶司检查到你们的货物中存在疑似危险武器的物品，所以才要求我来进行确认检查。第二，我到底哪里獐头鼠目了？！,content,空青
62,*斯科特：我就纳闷了，就算是危险武器，关你们屁事啊，又不是运往罗浮？我们修好船就走，不会在这儿卸货的。,content,斯科特
63,*夕葵：但你们要在港口停留数日，才能修复引擎再次启航。我们怎么可能让未经检查的危险品在罗浮港口停留数日呢？,content,夕葵
64,*彦卿：我明白了…安全检查应该不需要拆解货物吧？,content,彦卿
65,*空青：本来不需要。我们原本只做了些进一步的扫描检测。但，扫描结果却发现货箱中存放的不只有机械结构，还有一些…近似生物组织的特征。,content,空青
66,*三月七：生物组织？这箱子里装着活物？,content,三月七
67,*空青：具体的结论恐怕要等丹鼎司的人来确认。不管怎样，按照条例，我们都要启封其中一个货品进一步检查。但这位公司专员却用专利保密的理由一再阻挠。,content,空青
68,*夕葵：联盟对生物制品的管理条例非常严格。如果不进一步检查，天舶司是无论如何都不可能放行的。,content,夕葵
69,*斯科特：好啊，谁想动这批货物，我斯科特就和谁拼命！不管我们运的东西是生物还是机械，都和你们没有关系！我要投诉天舶司的处理程序！,content,斯科特
70,*彦卿：看来这位斯科特先生非常顽固，不是很容易说服。唉…彦卿实在不希望和公司闹到撕破脸的地步……,content,彦卿
71,{{剧情选项,default,
72,|选项1=我倒是有说服斯科特的经验…,option,开拓者
73,|选项2=交给我吧！我是谈判专家！,option,开拓者
74,}},default,
75,*彦卿：我听说过开拓者之前帮助金人巷的事情。当时公司方面的代表，就是这位斯科特先生吧？既然你有对付他的经验…看来这次也得麻烦开拓者老师了。,content,彦卿
76,*斯科特：你们在那里嘀嘀咕咕什么呢？快点把货物还给我们！,content,斯科特
77,,default,
78,=== 帮助彦卿与公司成员辩论 ===,default,
