line_number,content,category,character
1,{{角色图鉴,default,
2,|名称=瓦尔特,default,
3,|外文名=Welt,default,
4,|称号=,default,
5,|全名=瓦尔特•杨/约阿希姆•诺基安维塔宁,default,
6,|性别=男,default,
7,|稀有度=5星,default,
8,|限定=否,default,
9,|阵营=星穹列车,default,
10,|命途=虚无,default,
11,|命途材料=虚无1,default,
12,|元素属性=虚数,default,
13,|介绍=老成持重的列车组前辈。<br>享受着久违的冒险奇遇，心底埋藏的热血再度燃烧。<br>偶尔还会将经历的冒险旅程画在本子里。,default,
14,|TAG=行动延后、减速、额外伤害、附加伤害、易伤、能量、自身伤害提升、特殊领域、群攻,default,
15,|星魂TAG=,default,
16,|角色定位=瓦尔特是一名虚无命途的虚数属性角色。在其施放战技和终结技后，能减缓敌方行动。,default,
17,|实装日期=2023年04月26日,default,
18,|实装版本=1.0,default,
19,|昵称/外号=杨叔、{{黑幕|老杨}}、{{黑幕|杨卧起坐}},default,
20,|派系=无名客、星穹列车,default,
21,|出身=地球,default,
22,|体型=成男,default,
23,|种族=人类（前律者）,default,
24,|职业=「星穹列车」成员，前逆熵盟主,default,
25,|所在位置=星穹列车-观景车厢<!-- 地图名称 -->,default,
26,|中文CV=彭博,default,
27,|日文CV=細谷佳正,default,
28,|韩文CV=한신,default,
29,|英文CV=Corey Landis,default,
30,|卷首语=「这片银河容得下任何的可能性，而人的命运也不应当只有上天给予的那一条道路。」,default,
31,|短信签名=列车组各位，随时保持联系,default,
32,|角色详细=老成持重的前逆熵盟主，继承了「世界」之名，曾屡次拯救世界于灭亡的边缘。<br>圣方丹事件结束后，瓦尔特被迫与事件始作俑者去向星门另一侧。<br>或许连他自己也未曾料到，在那里等待着的，将是全新的旅途和同伴。,default,
33,|角色故事1=前往星门的路途中，瓦尔特取了一支笔，开始在纸上勾勒画面。之前的八年，他一直重复着这样的工作。<br><br>,default,
34,当时间再往前回溯，他曾使用另一种方式构建物件，只需那些印象在他的头脑中出现。但他始终无法视其为「创造」，因为那只是世界原本的模样，与他本人的想法无关。<br><br>,default,
35,这不过是继承了「世界」之名的他应尽的责任，如果世界需要他拯救，他便成为这样的英雄，毫不犹豫。他倒下过很多次，被嘲弄过很多次，但他总会站在所有人面前，从过去到将来，从未改变。<br><br>,default,
36,只是如今，他要踏上新的旅程。,default,
37,|角色故事2=当瓦尔特重新投入危险的宇宙战场中，他身体中的热血久违地重又燃烧起来。<br><br>,default,
38,即使自己搭坐的飞船在宇宙中失去动力、漫无目的地漂泊时，他也曾见怪不怪地与同伴开玩笑：''「一段冒险的终点，往往是另一段冒险的开场。」''<br><br>,content,他也曾见怪不怪地与同伴开玩笑
39,当路过的姬子把他们从飞船里救出，告知他们无法回家时，他仍然打趣道：''「这种剧情拍成动画，大家都会觉得太过凑巧。」''<br><br>,branch_content,他仍然打趣道
40,事情就是这么凑巧。<br><br>,default,
41,——既然暂时找不到回到家乡、回到和平生活的办法，那就再次开始战斗吧？<br><br>,default,
42,这一次，无需背负命运，一切听从自己的旨意。,default,
43,|角色故事3=如今的瓦尔特不会轻易出手，他是否还保存着鼎盛时期的实力并未可知。只是从他由「伊甸之星」改造的手杖而言，「操纵重力」仍旧是他惯用的作战手段。<br><br>,default,
44,将敌人以重力压制，甚至制造近似黑洞的存在——他习以为常的能力，却得到了列车上年轻人的声声惊叹。<br><br>,default,
45,''「杨叔什么都会，好厉害！」<br>「如果有不懂的地方，你可以请教瓦尔特先生。」<br>「一个个来，你们让他歇一会儿……」''<br><br>,default,
46,他惊觉，自己的信手拈来与云淡风轻，不过是经历了太多，满是岁月流过的痕迹。而列车上的年轻人仍像是一张白纸，正在书写他们自己的人生。<br><br>,default,
47,——自己应当在其中承担怎样的责任呢？<br><br>,default,
48,他不禁想起了自己的生命中，那些曾经帮助过他的名字。,default,
49,|故事3角色=三月七、丹恒、姬子,default,
50,|角色故事4=''「瓦尔特的日志 ████年██月██日。''<br><br>,default,
51,''███与主角组的人际关系：''<br><br>,content,与主角组的人际关系
52,''█——███心中如动画主角般闪闪发光的年轻人，冲吧！''<br>,default,
53,''███——活泼的年轻人，希望她能一直这么想象力丰富，即使做错事了也不希望她太愧疚，年轻人犯点错都是难免的事，有███在可以帮她搞定''。<br>,default,
54,''██——可靠的年轻人，基本不用操心。希望他能多和███聊聊，但如果他不想聊也就这样吧。''<br>,default,
55,''██——可以交付生命的同伴，███相信她会做出最正确的决定。''<br>,default,
56,''██——动画作品中常见的角色，一个看似可爱但实际背景深厚力量强大的生物。''<br><br>,default,
57,''注：如果能回到家乡，考虑把这段经历拍成动画吧。」'',content,注
58,|故事4角色=三月七、丹恒、姬子、开拓者,default,
59,|晋阶属性材料=往日之影的金饰,default,
60,|晋阶系列材料=铁卫,default,
61,|速度=102,default,
62,|能量上限=120,default,
63,|生命值=153,default,
64,|20生命值=298,default,
65,|20+生命值=359,default,
66,|30生命值=436,default,
67,|30+生命值=497,default,
68,|40生命值=574,default,
69,|40+生命值=635,default,
70,|50生命值=712,default,
71,|50+生命值=773,default,
72,|60生命值=849,default,
73,|60+生命值=911,default,
74,|70生命值=987,default,
75,|70+生命值=1048,default,
76,|80生命值=1125,default,
77,|攻击力=84,default,
78,|20攻击力=164,default,
79,|20+攻击力=198,default,
80,|30攻击力=240,default,
81,|30+攻击力=274,default,
82,|40攻击力=316,default,
83,|40+攻击力=350,default,
84,|50攻击力=392,default,
85,|50+攻击力=426,default,
86,|60攻击力=468,default,
87,|60+攻击力=502,default,
88,|70攻击力=544,default,
89,|70+攻击力=578,default,
90,|80攻击力=620,default,
91,|防御力=69,default,
92,|20防御力=135,default,
93,|20+防御力=162,default,
94,|30防御力=197,default,
95,|30+防御力=225,default,
96,|40防御力=259,default,
97,|40+防御力=287,default,
98,|50防御力=322,default,
99,|50+防御力=349,default,
100,|60防御力=384,default,
101,|60+防御力=412,default,
102,|70防御力=446,default,
103,|70+防御力=474,default,
104,|80防御力=509,default,
105,|星魂1=名的传承,default,
106,|星魂1描述=施放终结技后，瓦尔特获得强化，在随后2次施放普攻或战技时额外对敌方目标造成1次附加伤害。施放普攻造成的附加伤害等同于普攻伤害倍率的50%，施放战技造成的附加伤害等同于战技伤害倍率的80%。,default,
107,|星魂2=星的凝聚,default,
108,|星魂2描述=触发天赋时，瓦尔特恢复3点能量。,default,
109,|星魂3=和平的祈愿,default,
110,|星魂3描述=战技等级+2，最多不超过15级；普攻等级+1，最多不超过10级。,default,
111,|星魂4=义的名号,default,
112,|星魂4描述=施放战技时，使受到攻击的敌方目标速度降低的基础概率提高35%。,default,
113,|星魂5=善的力量,default,
114,|星魂5描述=终结技等级+2，最多不超过15级；天赋等级+2，最多不超过15级。,default,
115,|星魂6=光明的未来,default,
116,|星魂6描述=施放战技时，对随机敌方单体额外造成1次伤害。,default,
117,|周本材料=毁灭者的末路,default,
118,}},default,
119,==行迹==,default,
120,{{角色/行迹,default,
121,|命途=虚无,default,
122,|命途材料=虚无1,default,
123,|普攻=重力压制,default,
124,|战技=虚空断界,default,
125,|终结技=拟似黑洞,default,
126,|天赋=时空扭曲,default,
127,|秘技=画地为牢,default,
128,|普攻TAG=单攻,default,
129,|普攻描述=对指定敌方单体造成少量{{颜色|虚数|虚数属性伤害}}。,default,
130,|战技TAG=弹射,default,
131,|战技能量=10,default,
132,|战技描述=对指定敌方单体造成少量{{颜色|虚数|虚数属性伤害}}，并{{颜色|描述2|额外造成2次伤害}}，每次伤害对敌方随机单体造成{{颜色|虚数|虚数属性伤害}}。攻击命中时有一定{{颜色|描述2|{{技能注释|基础概率}}}}使受到攻击的敌方目标{{颜色|描述2|速度降低10%}}，持续2回合。,default,
133,|战技效果加成=星魂4、星魂6,default,
134,|战技属性数=3,default,
135,|战技属性1=战技单体伤害,default,
136,|战技属性1LV1=36%攻击力,default,
137,|战技属性1LV2=39.6%攻击力,default,
138,|战技属性1LV3=43.2%攻击力,default,
139,|战技属性1LV4=46.8%攻击力,default,
140,|战技属性1LV5=50.4%攻击力,default,
141,|战技属性1LV6=54%攻击力,default,
142,|战技属性1LV7=58.5%攻击力,default,
143,|战技属性1LV8=63%攻击力,default,
144,|战技属性1LV9=67.5%攻击力,default,
145,|战技属性1LV10=72%攻击力,default,
146,|战技属性1LV11=75.6%攻击力,default,
147,|战技属性1LV12=79.2%攻击力,default,
148,|战技属性1LV13=82.8%攻击力,default,
149,|战技属性1LV14=86.4%攻击力,default,
150,|战技属性1LV15=90%攻击力,default,
151,|战技属性2=战技弹射伤害,default,
152,|战技属性2LV1=36%攻击力,default,
153,|战技属性2LV2=39.6%攻击力,default,
154,|战技属性2LV3=43.2%攻击力,default,
155,|战技属性2LV4=46.8%攻击力,default,
156,|战技属性2LV5=50.4%攻击力,default,
157,|战技属性2LV6=54%攻击力,default,
158,|战技属性2LV7=58.5%攻击力,default,
159,|战技属性2LV8=63%攻击力,default,
160,|战技属性2LV9=67.5%攻击力,default,
161,|战技属性2LV10=72%攻击力,default,
162,|战技属性2LV11=75.6%攻击力,default,
163,|战技属性2LV12=79.2%攻击力,default,
164,|战技属性2LV13=82.8%攻击力,default,
165,|战技属性2LV14=86.4%攻击力,default,
166,|战技属性2LV15=90%攻击力,default,
167,|战技属性3=敌方减速概率,default,
168,|战技属性3LV1=65%,default,
169,|战技属性3LV2=66%,default,
170,|战技属性3LV3=67%,default,
171,|战技属性3LV4=68%,default,
172,|战技属性3LV5=69%,default,
173,|战技属性3LV6=70%,default,
174,|战技属性3LV7=71.25%,default,
175,|战技属性3LV8=72.5%,default,
176,|战技属性3LV9=73.75%,default,
177,|战技属性3LV10=75%,default,
178,|战技属性3LV11=76%,default,
179,|战技属性3LV12=77%,default,
180,|战技属性3LV13=78%,default,
181,|战技属性3LV14=79%,default,
182,|战技属性3LV15=80%,default,
183,|终结技TAG=群攻,default,
184,|终结技描述=对敌方全体造成{{颜色|虚数|虚数属性伤害}}，有{{颜色|描述2|100%}}的{{技能注释|基础概率}}使受到攻击的敌方目标陷入禁锢状态，持续1回合。<br>禁锢状态下，敌方目标{{颜色|描述2|{{技能注释|行动延后}}}}，{{颜色|描述2|速度降低10%}}。,default,
185,|终结技效果加成=星魂1、额外能力1、额外能力2,default,
186,|终结技属性数=2,default,
187,|终结技属性1=全体伤害,default,
188,|终结技属性1LV1=90%攻击力,default,
189,|终结技属性1LV2=96%攻击力,default,
190,|终结技属性1LV3=102%攻击力,default,
