line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方贺图==,default,
3,===节日贺图===,default,
4,{{切换板|开始}},default,
5,{{切换板|默认显示|2023元旦}},default,
6,{{切换板|默认折叠|2023春节}},default,
7,{{切换板|显示内容}}{{#section-h:角色贺图/节日贺图|2023元旦}},default,
8,{{切换板|内容结束}},default,
9,{{切换板|折叠内容}},default,
10,【今日「除夕」宜干饭】<br>,default,
11,帕姆刚把火锅食材准备好，就发现几个「新面孔」……啊喂，你们热情好客的同时也体谅一下本列车长帕！<br>,default,
12,哎算啦算啦，来都来了，先配合三月七拍个大合照吧，开拓者你也一起哇！<br>,default,
13,三——二——一——茄子！<br>,default,
14,[[文件:2023春节1.png|500px]]<br>,default,
15,{{切换板|内容结束}},default,
16,{{切换板|结束}},default,
17,===其他贺图===,default,
18,{{切换板|开始}},default,
19,{{切换板|默认显示|开服登顶贺图}},default,
20,{{切换板|显示内容}}[[文件:启程庆典.jpg|500px]],default,
21,{{切换板|内容结束}},default,
22,{{切换板|结束}},default,
23,==角色相关视频==,default,
24,{{角色/视频|瓦尔特}},default,
