line_number,content,category,character
1,{{角色语音表头|瓦尔特|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=瓦尔特-初次见面,default,
8,|语音内容=你好，我是瓦尔特•杨，遇到任何困难，欢迎随时来找我。,default,
9,|语音内容日语=やあ、俺はヴェルト・ヨウだ。困ったことがあれば、俺を探すといい。,default,
10,"|语音内容英语=Hi, I'm Welt Yang. If there's something you need help with, you can come find me anytime.",default,
11,"|语音内容韩语=안녕, 난 웰트•양이라고 하네. 도움이 필요하면 언제든지 찾아와",default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=瓦尔特-问候,default,
16,|语音内容=嗯？没睡醒吗，别勉强自己，再睡一会儿吧。,default,
17,|语音内容日语=おや？まだ眠いのか？無理をするな、少し寝るといい。,default,
18,|语音内容英语=Hm? Still half asleep? Don't force yourself. You should get some more rest.,default,
19,"|语音内容韩语=흠, 아직 잠이 덜 깬 건가? 무리하지 말고 조금 더 자",default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=瓦尔特-道别,default,
24,|语音内容=睡不着么？我理解，灵感总在夜晚时敲门，很难拒绝它，不是么？,default,
25,|语音内容日语=寝れないのか？わかるぞ、インスピレーションは夜に訪れる上に、抗いがたいものだ。そうだろう？,default,
26,"|语音内容英语=Can't sleep? I understand — inspiration always comes knocking in the small hours. It's hard to ignore, right?",default,
27,"|语音内容韩语=잠이 안 와? 이해해, 영감은 대개 밤중에 떠오르거든. 그리고 그걸 무시하긴 어렵지, 안 그런가?",default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•曾经的工作,default,
31,|语音文件=瓦尔特-关于自己•曾经的工作,default,
32,|语音内容=我当了八年的动画师，生活基本是两点一线。和冒险相比可能有些「无聊」，可工作本身就是一件很有价值的事情，是为人们创造梦想。,default,
33,|语音内容日语=アニメの原画を八年ほど描いていたが、基本的には会社と自宅を往復するだけだった。冒険と比べれば「退屈」かもしれないが、この仕事は価値のあるもので、他人に夢を与えることができる。,default,
34,"|语音内容英语=I was an animator for eight years — my life was pretty routine. I guess it was a little dull compared with adventuring, but work is a very worthwhile thing. It brings dreams to life.",default,
35,|语音内容韩语=난 8년 동안 애니메이터로 일했어. 행동반경이 집-직장뿐이었지. 모험에 비하면 「지루」할지도 모르네. 하지만 애니메이터는 무척 가치 있는 일일세. 사람들한테 꿈을 만들어주거든,default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=关于自己•上车的缘由,default,
39,|语音文件=瓦尔特-关于自己•上车的缘由,default,
40,|语音内容=唔，说来话长，而且不免提到一些大家都宁可忘掉的人或事，还是不说为好。总之，我在宇宙中迷了路，幸运地遇见了开着列车的姬子。,default,
41,|语音内容日语=長い話になるうえに、忘れたい人間や出来事にも言及しなければならない。やはりやめておこう。とにかく、宇宙で迷子になっていたところで、幸運にも列車と姫子に出会ったんだ。,default,
42,"|语音内容英语=*sigh* It's a long story, and it involves a lot of people and incidents that everyone would like to forget about, haha. Best not to talk about it. In essence, I got lost in the universe, but was fortunate enough to come across Himeko driving the Express.",default,
43,"|语音内容韩语=음, 말하자면 긴데. 다들 잊고 싶은 사람이나 사연을 거론하게 될지도 모르니까, 말하지 않는 게 좋을 것 같네. 어찌 됐든, 난 우주에서 길을 잃었고 운 좋게도 열차를 운행하고 있는 히메코를 만났지",default,
44,|角色=姬子,default,
45,}},default,
46,{{角色语音,default,
47,|语音类型=闲谈•阿拉哈托,default,
48,|语音文件=瓦尔特-闲谈•阿拉哈托,default,
49,|语音内容=你想入坑？这系列只在我家乡放映过，不知道宇宙里能不能弄到…我可以用「拟态」能力复现几集给你看看，但精细度可不敢保证。,default,
50,|语音内容日语=アラハトを観たいのか？このシリーズは俺の故郷で放送されていたんだが、宇宙で観る手段があるかどうかはわからない…「投影」で数話程度なら再現することはできるが、再現度は保証できない。,default,
51,"|语音内容英语=Oh, there's a lot to say there. They only aired that series on my home world — I don't know if there's anywhere else in the universe that'd have it... I can use my mimicry power to show you a few episodes, but I can't guarantee the resolution.",default,
52,"|语音内容韩语=입덕하려고? 이 시리즈는 우리 고향에서만 방영된 건데, 우주에서 다시 구할 수 있는지 모르겠네…. 「의태」의 능력으로 몇 편 정도는 재현해서 보여줄 수 있어. 퀄리티는 장담할 수 없지만",default,
53,}},default,
54,{{角色语音,default,
55,|语音类型=爱好,default,
56,|语音文件=瓦尔特-爱好,default,
57,|语音内容=研究历史，制作动画…这两者并不矛盾。,default,
58,|语音内容日语=歴史の研究、アニメ制作…2つの間に矛盾はない。,default,
59,|语音内容英语=Researching history and producing animations... I'd say they go hand in hand.,default,
60,"|语音内容韩语=역사 연구, 애니메이션 제작… 서로 모순되는 취미는 아닐세",default,
61,}},default,
62,{{角色语音,default,
63,|语音类型=烦恼,default,
64,|语音文件=瓦尔特-烦恼,default,
65,|语音内容=开拓者你就像动画里的主角，伙伴们都自然而然地凝聚在你的身边…别误会，只是感慨一下，我亲自冒险的机会可能又少了……,default,
