line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[文件:瓦尔特官方介绍图.jpg|200px|缩略图]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,{{角色介绍,default,
7,|职业背景=903959,default,
8,|职业颜色=f7eafb,default,
9,|职业=「星穹列车」成员，前逆熵盟主,default,
10,|介绍=你好，我是瓦尔特•杨，也是星穹列车的一员。<br>拯救世界？没有那么夸张，我只是继承了「瓦尔特」这个名字，并做了应该做的。<br>不过，遇到任何困难，欢迎随时来找我。<br>,default,
11,|表格背景=f8f8ff,default,
12,|表格边框=7d9ed1,default,
13,|标题颜色=903959,default,
14,|标题1=怎么会登上列车…,default,
15,|内容颜色=5b6c90,default,
16,|内容1=我搭坐的飞船在宇宙中失去了动力，恰巧被路过的姬子救出，之后便留在了列车上。<br>既然尚且找不到回家的办法，跟着列车去开拓新世界也是不错的经历。只是离开了那么久，等回去的时候，我的家人免不了要发脾气吧……,default,
17,|备注1=三月七的备注<br><small>天哪，杨叔居然会露出这种表情？</small>,default,
18,|标题2=我们不在的时候，杨叔在列车上会做什么？,default,
19,|内容2=列车上总要有人留守，也陪陪帕姆。姬子在的话，会和她聊聊各自过去的见闻。不过她还有研究项目要忙，所以更多时候我会选择去资料室看看列车智库，或者会自己房间干些手工活，比如机甲模型那类。别小看它们，那可是非常耗时间的项目。,default,
20,|备注2=帕姆的备注<br><small>杨乘客上次借走的水口钳和气泵喷笔还没有还帕！</small>,default,
21,|标题3=所以，阿拉哈托到底是…,default,
22,|内容3=阿拉哈托系列也就是通俗意义上的机甲动画，不过只在我家乡放映过，不知道宇宙里还能不能弄到…我手机里倒是有动画截图，或者等你有空的时候，我可以试试用「拟态」能力复现几集，但精细度可不敢保证。,default,
23,|备注3=丹恒的备注<br><small>如果有需要，我可以把复现的版本加入智库。</small>,default,
24,|标题4=杨叔感觉很亲切呢！难道我们之前就见过？,default,
25,|内容4=跟着列车一路旅行，会在宇宙中遇见无数相似却又相异的世界，而在这些世界中，也有无数相似却又相异的人。认识新朋友总是让人愉悦的，不是吗？,default,
26,|备注4=姬子的备注<br><small>也许这就是「缘分」吧。</small>}},default,
27,"<center><gallery mode=""nolines"">",default,
28,瓦尔特官方故事图.jpg|角色故事,default,
29,瓦尔特角色介绍图1.jpg|角色介绍1,default,
30,瓦尔特角色介绍图2.jpg|角色介绍2,default,
31,瓦尔特手机壳.jpg|手机壳,default,
32,瓦尔特壁纸2.png|手机壁纸,default,
33,</gallery></center>,default,
34,</div></div>,default,
35,,default,
36,{{相关光锥|瓦尔特}},default,
37,,default,
38,{{人物出场|瓦尔特|分栏=是}},default,
39,==相关物品==,default,
40,{{相关物品|瓦尔特}},default,
41,==角色对话==,default,
42,===大世界对话===,default,
43,{{折叠|折叠=是|标题=大世界对话-首次|内容=,default,
44,*瓦尔特：开拓者，你回来了。,content,瓦尔特
45,{{剧情选项,default,
