line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=相会在日落时分,default,
3,|任务地区=雅利洛-Ⅵ-磐岩镇,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=矿区风波暂告一段落。「地火」首领奥列格为报答各位无名客的支援，他同意与你们合作，并为你们安排了合适的住处。<br>不过，上一次在大人物安排下入住旅店、随后被人反手捅一刀仿佛就发生在昨天。<br>不知道现在返回列车，向帕姆索要绊线地雷还来得来不及…,default,
7,|奖励={{图标|里程|600}}{{图标|冒险记录|3}}{{图标|凝缩以太|1}}{{图标|信用点|8000}},default,
8,|任务条件=完成[[他们有多少人已掉进深渊]],default,
9,|开放等级=14,default,
10,|出场人物=歌蒂、三月七、丹恒、布洛妮娅、希儿、娜塔莎,default,
11,|相关道具=,default,
12,|系列任务=于枯索的冬夜里,default,
13,|任务编号=09,default,
14,|前置任务=*[[他们有多少人已掉进深渊]],default,
15,|后续任务=*[[已故去的必如雪崩再来]],default,
16,|任务流程=*前往奥列格为众人安排的住处,default,
17,*在歌德大饭店休息,default,
18,*出去散散心,default,
19,*和布洛妮娅散步聊天,default,
20,}},default,
21,==剧情内容==,default,
22,=== 前往奥列格为众人安排的住处 ===,default,
23,{{任务描述|矿区风波暂告一段落。「地火」首领奥列格为报答各位无名客的支援，他同意与你们合作，并为你们安排了合适的住处。<br>不过，上一次在大人物安排下入住旅店、随后被人反手捅一刀仿佛就发生在昨天。<br>不知道现在返回列车，向帕姆索要绊线地雷还来得来不及…}},default,
24,*歌蒂：哟，你们就是奥列格介绍的贵客吧？欢迎入住歌德大饭店。,content,歌蒂
25,{{剧情选项,default,
26,|选项1=「歌德」…？,option,开拓者
27,|剧情1=*歌蒂：嗯，你是不是见过地上那家气派的歌德宾馆呀？,branch_content,歌蒂
28,*三月七：啊，有些不好的回忆涌上来了……,content,三月七
29,*歌蒂：那是咱们「大饭店」的分店。几百年前，歌德家一位前辈白手起家，一心相信自己能做大做强。,content,歌蒂
30,*歌蒂：最后他终于完成了梦想，在地上最黄金的地段开了自己的分店。,content,歌蒂
31,|选项2=「大」饭店…？,option,开拓者
32,|剧情2=*三月七：哎，太失礼啦。,branch_content,三月七
33,*歌蒂：哈哈哈，没事，你也不是第一位有这反应的客人了。,content,歌蒂
34,*歌蒂：几百年前，歌德家一位前辈白手起家，一心相信自己能做大做强。后来他也的确做到了。,content,歌蒂
35,*歌蒂：你们见过那家气派的歌德宾馆吗？严格来说，那其实是咱们「大饭店」的分店哦。,content,歌蒂
36,}},default,
37,*三月七：…有梦想谁都了不起，好励志呀。,content,三月七
38,*歌蒂：奥列格要我好好款待你们。钥匙拿好嘞，是咱们这儿最宽敞的客房。,content,歌蒂
39,*三月七：怎么说，开拓者？今天就这么歇了，还是再四处转转？,content,三月七
40,{{剧情选项,default,
41,|选项1=疲了，回房间休息吧。,option,开拓者
42,|选项2=走，再去镇上逛逛。,option,开拓者
43,|图标2=退出,default,
44,|剧情2=:{{颜色|描述|再次对话}},branch_content,
45,{{剧情选项|选项1=休息|图标1=任务}},default,
46,*三月七：怎么说，开拓者？今天就这么歇了，还是再四处转转？,content,三月七
47,{{剧情选项,default,
48,|选项1=疲了，回房间休息吧。,option,开拓者
49,|选项2=再多逛一会儿吧。,option,开拓者
50,|图标2=退出}}}},default,
51,----,default,
52,*三月七：又是休息时间，希望这次别再出什么幺蛾子了。,content,三月七
53,*三月七：那个奥列格，起码看上去还挺诚恳的——你们说呢？,content,三月七
54,{{剧情选项,default,
55,|选项1=感觉是个好人。,option,开拓者
56,|剧情1=*丹恒：……,branch_content,丹恒
57,*三月七：你怎么不来句「知人知面不知心」？,content,三月七
58,*丹恒：我又不是杠精。,content,丹恒
59,|选项2=知人知面不知心。,option,开拓者
60,|剧情2=*丹恒：……,branch_content,丹恒
61,*三月七：骄傲吧？开拓者说话已经有你的范儿了。,content,三月七
62,*丹恒：与我无关。,content,丹恒
63,|选项3=我不发表意见。,option,开拓者
64,|剧情3=*丹恒：……,branch_content,丹恒
65,*三月七：你看开拓者，特别洒脱地说出完全不负责任的台词。,content,三月七
66,*丹恒：倒是很像你。,content,丹恒
67,}},default,
68,*丹恒：不过问我的话，只能说「防人之心不可无」。,content,丹恒
69,*三月七：听你的，防着防着，毕竟上次在旅店被人捅刀子仿佛就在昨天。,content,三月七
70,*丹恒：今晚派人守夜吧。,content,丹恒
71,*三月七：守、守夜？这么复古吗？！那不是奇幻小说里的冒险团才会干的事吗？,content,三月七
72,*三月七：呵…呵欠，突然有股睡意……,content,三月七
73,{{剧情选项,default,
74,|选项1=我看三月挺精神的。,option,开拓者
75,|剧情1=*三月七：不、不行啦！我从来没通宵过哦？熬夜有多伤皮肤你知道吗！,branch_content,三月七
76,|选项2=以身作则吧——丹恒？,option,开拓者
77,|剧情2=*丹恒：我对睡眠的需求不高，我来吧。,branch_content,丹恒
78,|选项3=守夜这事我当仁不让。,option,开拓者
79,|剧情3=*丹恒：你似乎很疲惫。不用勉强自己，交给我吧。,branch_content,丹恒
80,}},default,
81,*布洛妮娅：我来守夜吧。,content,布洛妮娅
82,*三月七：布洛妮娅，你跟那个奥列格聊完啦？他没故意刁难你吧？,content,三月七
83,*布洛妮娅：没什么。话不投机，有些事我们没法达成共识。,content,布洛妮娅
84,*布洛妮娅：一下子得知了太多，今晚我怕是睡不着了…要是你们信得过我，就把放哨的事就交给我吧。,content,布洛妮娅
85,*三月七：不是信不过你哈，但让你守夜，我还不大放心…你一个铁卫军官跑到地下来，出事的可能性比我们还大吧。,content,三月七
86,*布洛妮娅：如果他们有近似的想法，我也不能怪他们…银鬃铁卫确实欠下层人的。,content,布洛妮娅
87,*布洛妮娅：如果当初能有人站出来，跟可可利亚大人讲清楚那样做的后果…算了，马后炮没有意义。,content,布洛妮娅
88,*布洛妮娅：不必担心我的安全，「地火」的奥列格保证不会伤害我。我相信他那样的人会说到做到。去休息吧。,content,布洛妮娅
89,,default,
