line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=知名不具,default,
4,|任务地区=星穹列车-观景车厢,default,
5,|任务类型=同行任务,default,
6,|角色=阿兰、艾丝妲,default,
7,|所属版本=1.0,default,
8,|任务描述=一位神秘人将你拉进了空间站的匿名群聊，群聊中一则艾丝妲「中饱私囊」的流言正在发酵。<br>正义的你想要挺身而出，但扑朔迷离的流言又该从何查起？<br>为此苦恼的你忽然灵机一动——为什么不问问万能的姬子呢？,default,
9,|奖励={{图标|里程|350}}{{图标|星琼|60}}{{图标|冒险记录|6}}{{图标|黑塔币|100}}{{图标|《重力丧失》|1}}{{图标|信用点|20000}},default,
10,|任务条件=开拓等级达到22级,default,
11,|开放等级=22,default,
12,|相关成就=与你同行的回忆#猜猜我是谁,default,
13,|相关道具=,default,
14,|出场人物=艾丝妲、阿兰,default,
15,|系列任务=劫后新生,default,
16,|任务编号=02,default,
17,|领取地点=开拓等级达到22级后收到黑塔女士单推协会短信接取,default,
18,|前置任务=,default,
19,|后续任务=*[[裂界征兆]],default,
20,|任务流程=*向姬子询问空间站流言一事,default,
21,*前往空间站，打探「瓜农」的下落,default,
22,*向其他科员打探「瓜农」的下落,default,
23,*和防卫科员对话，进入封锁区域,default,
24,*与姬子交谈，获得为她拍照的许可,default,
25,*给姬子拍照，并将照片发给帕梅拉,default,
26,*根据帕梅拉的情报，寻找符合对应特征的科员,default,
27,*与理查交谈，询问流言与密钥一事,default,
28,*向艾丝妲复命,default,
29,}},default,
30,==剧情内容==,default,
31,===任务接取短信===,default,
32,{{折叠|标题=短信：黑塔女士单推协会|内容=,content,短信
33,<center>「知名不具」邀请「脸接大招」进入群聊，并附带了最近10条聊天记录</center>,default,
34,*知名不具：我早就觉得她有问题,content,知名不具
35,*玛氏机器人：展开讲讲,content,玛氏机器人
36,*比尔盖瓦：展开讲讲,content,比尔盖瓦
37,*无证开飞船：这么大个空间站，里面得有多少油水？你想，你仔细想,content,无证开飞船
38,*玛氏机器人：饭可以乱吃话不能乱讲，她可是黑塔女士的学生,content,玛氏机器人
39,*无证开飞船：学生怎么啦？学生就不能说了？,content,无证开飞船
40,*瓜田里猹：她啊,content,瓜田里猹
41,*瓜田里猹：她黑料还挺多的,content,瓜田里猹
42,*玛氏机器人：展开讲讲,content,玛氏机器人
43,*瓜田里猹：不方便,content,瓜田里猹
44,*比尔盖瓦：不方便你说个锤子！！,content,比尔盖瓦
45,{{剧情选项,default,
46,|选项1=你们这是什么群啊？,option,开拓者
47,|剧情1=*比尔盖瓦：@脸接大招 自己看群名,branch_content,比尔盖瓦
48,|选项2=你们在说谁？,option,开拓者
49,|剧情2=*瓜田里猹：新人懂不懂规矩啊,branch_content,瓜田里猹
50,*玛氏机器人：艾丝妲,content,玛氏机器人
51,*无证开飞船：艾丝妲那个小丫头片子,content,无证开飞船
52,|选项3=来个前情提要？,option,开拓者
53,|剧情3=*比尔盖瓦：自己爬楼去,branch_content,比尔盖瓦
54,}},default,
55,*玛氏机器人：别打岔，@瓜田里猹 快说,content,玛氏机器人
56,*瓜田里猹：算了算了,content,瓜田里猹
57,*知名不具：都匿名了还话说一半，有没有素质啊,content,知名不具
58,*瓜田里猹：你们又不是不知道……,content,瓜田里猹
59,*比尔盖瓦：别废话，说！,content,比尔盖瓦
60,*瓜田里猹：公款私用那事呗,content,瓜田里猹
61,*瓜田里猹：接待大厅那堆成山的包裹看见没？收件人都是咱们这位年轻站长,content,瓜田里猹
62,*无证开飞船：好家伙，我说怎么预算抠抠搜搜，钱都花那儿去了,content,无证开飞船
63,*比尔盖瓦：这可不兴说啊,content,比尔盖瓦
64,*玛氏机器人：口说无凭，来点锤的,content,玛氏机器人
65,*瓜田里猹：还用锤？接待大厅那堆成山的包裹看见没？收件人都是咱们这位年轻站长,content,瓜田里猹
66,{{剧情选项,default,
67,|选项1=什么包裹？,option,开拓者
68,|剧情1=*瓜田里猹：我扫了一眼没敢多看，反正都是天价货,branch_content,瓜田里猹
69,|选项2=以私人名义买的？,option,开拓者
70,|剧情2=*瓜田里猹：可不是私人名义吗？填太空站要报账的，你以为站长傻啊,branch_content,瓜田里猹
71,}},default,
72,*玛氏机器人：没准就是自己买的呢,content,玛氏机器人
73,*瓜田里猹：那些东西除了黑塔大人谁买得起啊,content,瓜田里猹
74,*瓜田里猹：我就看防卫科那个阿兰在前台鬼鬼祟祟的，要不是他做贼心虚，我都发现不了,content,瓜田里猹
75,*玛氏机器人：嘶，你这么一说…我好像也撞见阿兰紧张兮兮地收什么包裹,content,玛氏机器人
76,*瓜田里猹：你看你看,content,瓜田里猹
77,*无证开飞船：对上了,content,无证开飞船
78,*比尔盖瓦：对上了,content,比尔盖瓦
79,{{剧情选项,default,
80,|选项1=艾丝妲中饱私囊？,option,开拓者
81,|剧情1=*比尔盖瓦：我不知道哈。@瓜田里猹 说的，我没说,branch_content,比尔盖瓦
82,|选项2=只是猜测，没实锤啊,option,开拓者
83,|剧情2=*瓜田里猹：你爱信不信呗,branch_content,瓜田里猹
84,*无证开飞船：笑死，还有洗的，谁不知道阿兰是那小丫头带来的亲信？,content,无证开飞船
85,|选项3=消息也太劲爆了,option,开拓者
86,|剧情3=*玛氏机器人：本人在此声明:我和以上内容无任何直接关系！,branch_content,玛氏机器人
87,*比尔盖瓦：本人在此声明:我和以上内容无任何直接关系！,content,比尔盖瓦
88,*玛氏机器人：我自愿服从黑塔女士的任何安排与指示！,content,玛氏机器人
89,}},default,
90,*知名不具：…啊这，我蹲了半天还以为大的要来了。结果就这？就这就这？,content,知名不具
91,*玛氏机器人：是啊，说来说去也没个实锤,content,玛氏机器人
92,*无证开飞船：@玛氏机器人 你不也说阿兰鬼鬼祟祟,content,无证开飞船
93,*玛氏机器人：我也就那么一说,content,玛氏机器人
94,*瓜田里猹：其实我正在偷偷调查她的巨额资产来源，但还不到放料的时候,content,瓜田里猹
95,*瓜田里猹：你们等着瞧，这几天空间站必有大新闻！,content,瓜田里猹
96,*知名不具：最好是啦,content,知名不具
97,}},default,
98,=== 向姬子询问空间站流言一事 ===,default,
99,{{剧情选项|选项1=（说出群聊爆料的事。）}},default,
