line_number,content,category,character
1,{{#subobject:《以太战线》官方答疑群-短信内容,default,
2,|@category=短信头像,default,
3,|名称=《以太战线》官方答疑群,default,
4,|阵营=其他,default,
5,|类型=群聊,default,
6,}},default,
7,,default,
8,{{#subobject:《以太战线》官方答疑群-冒险任务剧情短信,branch_content,
9,|@category=短信内容,default,
10,|人物=《以太战线》官方答疑群,default,
11,|短信标题=冒险任务剧情短信,branch_content,
12,|内容={{角色对话|模板开始|《以太战线》官方答疑群}},default,
13,任务链接——冒险任务「[[出发！残响回廊]]」,default,
14,{{角色对话|左|乔瓦尼|文本|恭喜，开拓者与三月小姐，听说你们成功击败了冠军候补}},default,
15,{{角色对话|左|乔瓦尼|文本|既然两位拥有了资格徽章，也就能够挑战残响回廊的「霸主以太灵」了}},default,
16,{{角色对话|左|三月七|文本|霸主以太灵？}},default,
17,{{角色对话|左|三月七|文本|听起来很厉害的样子}},default,
18,{{角色对话|左|乔瓦尼|文本|是的，它们是比普通游离数据更强大的以太灵，获取方式也有所不同}},default,
19,{{短信选项,option,开拓者
20,|选项1=需要升级通行证？|剧情1=,branch_content,
21,{{角色对话|右|开拓者|文本|是不是有一个赛季通行证，要做一堆任务才能得到它们？}},default,
22,{{角色对话|左|乔瓦尼|文本|这倒是个提高「留存率」的方法，但以太战线可没有这样的机制}},default,
23,|选项2=需要抽卡？|剧情2=,branch_content,
24,{{角色对话|右|开拓者|文本|是不是有一个随机卡池，需要花费信用点来抽取它们？}},default,
25,{{角色对话|左|乔瓦尼|文本|不不不，以太战线是没有充值系统的}},default,
26,{{角色对话|左|乔瓦尼|文本|至少目前没有}},default,
27,|选项3=需要购买拓展包？|剧情3=,branch_content,
28,{{角色对话|右|开拓者|文本|是不是现在的游戏内容还不完整，需要购买拓展包才能得到它们？}},default,
29,{{角色对话|左|乔瓦尼|文本|哈哈，你多虑了，以太战线的全部内容都是能免费体验的}},default,
30,}},default,
31,{{角色对话|左|乔瓦尼|文本|让我来讲解一下吧，每个决胜乐园中都有被封锁的特殊区域，拥有对应资格徽章的玩家才能进入}},default,
32,{{角色对话|左|乔瓦尼|文本|「霸主以太灵」的游离数据就藏在那些地方，只需要战胜它们一次就能得到全部数据}},default,
33,{{角色对话|左|三月七|文本|怎么不早说！}},default,
34,{{角色对话|左|三月七|表情|01-15}},default,
35,{{角色对话|左|三月七|文本|我们都准备回去休息了}},default,
36,{{角色对话|左|乔瓦尼|文本|抱歉抱歉，我也没想到你们这么快就取得了资格徽章}},default,
37,{{角色对话|左|乔瓦尼|文本|有空就去之前的决胜乐园里找找它们吧，这些强大的以太灵一定会在之后的对战中派上用场}},default,
38,{{角色对话|模板结束}}}},default,
