line_number,content,category,character
1,{{#subobject:银枝、三月七、帕姆、开拓者的群聊-短信内容,default,
2,|@category=短信头像,default,
3,|名称=银枝、三月七、帕姆、开拓者的群聊,default,
4,|阵营=其他,default,
5,|类型=群聊,default,
6,}},default,
7,,default,
8,{{#subobject:银枝、三月七、帕姆、开拓者的群聊-同行任务「宇宙幻觉之夜」剧情短信,branch_content,
9,|@category=短信内容,default,
10,|人物=银枝、三月七、帕姆、开拓者的群聊,default,
11,|短信标题=同行任务「宇宙幻觉之夜」剧情短信,branch_content,
12,|内容={{角色对话|模板开始|银枝、三月七、帕姆、开拓者的群聊}},default,
13,任务链接——同行任务「[[宇宙幻觉之夜]]」,default,
14,{{角色对话|左|银枝|文本|开拓者，你们现在是否平安？}},default,
15,{{角色对话|左|银枝|文本|我十分担心}},default,
16,{{短信选项,option,开拓者
17,|选项1=？？？|剧情1=,branch_content,
18,{{角色对话|右|开拓者|文本|？？？？？？}},default,
19,{{角色对话|右|开拓者|文本|等一下，先别急着关心我们}},default,
20,}},default,
21,{{角色对话|左|三月七|文本|？？？？？？？？}},default,
22,{{角色对话|左|帕姆|文本|？？？？？？？？？？？}},default,
23,{{角色对话|左|三月七|文本|啊啊啊}},default,
24,{{角色对话|左|帕姆|文本|呜哇啊啊啊是银枝乘客帕}},default,
25,{{角色对话|左|三月七|文本|银枝！}},default,
26,{{角色对话|左|三月七|文本|你果然还活着}},default,
27,{{角色对话|左|三月七|文本|你没事真的太好了啊啊啊}},default,
28,{{角色对话|左|银枝|文本|骑士在出战的一刻，就应怀有必胜信念}},default,
29,{{角色对话|左|银枝|文本|我与它酣战时，似有纯美光辉庇佑}},default,
30,{{角色对话|左|银枝|文本|接下来的事我便失去记忆}},default,
31,{{角色对话|左|银枝|文本|但真蛰虫似有口臭，它消化不良}},default,
32,{{角色对话|左|银枝|文本|结束后，我用了很久好生擦拭我的铠甲}},default,
33,{{短信选项,option,开拓者
34,|选项1=你还活着真是太好了…|剧情1=,branch_content,
35,{{角色对话|右|开拓者|文本|真好啊……}},default,
36,{{角色对话|右|开拓者|文本|我这就要开始哭了}},default,
37,|选项2=我就知道你肯定没事…|剧情2=,branch_content,
38,{{角色对话|右|开拓者|文本|大家都特别着急……}},default,
39,{{角色对话|右|开拓者|文本|姬子还联络了星际和平公司，准备在宇宙中搜寻你的下落}},default,
40,}},default,
41,{{角色对话|左|帕姆|文本|呜呜呜…}},default,
42,{{角色对话|左|帕姆|文本|帕姆这就开列车去接你啊啊啊}},default,
43,{{角色对话|模板结束}}}},default,
