line_number,content,category,character
1,{{#subobject:姬子-短信内容,default,
2,|@category=短信头像,default,
3,|名称=姬子,default,
4,|阵营=星穹列车,default,
5,|类型=角色,default,
6,}},default,
7,,default,
8,{{#subobject:姬子-同行任务剧情短信,branch_content,
9,|@category=短信内容,default,
10,|人物=姬子,default,
11,|短信标题=同行任务剧情短信,branch_content,
12,|内容={{角色对话|模板开始|姬子}},default,
13,任务链接——同行任务「[[时光列车]]」,default,
14,{{角色对话|右|开拓者|文本|姬子老师，我要提问——}},default,
15,{{角色对话|左|姬子|文本|尽管问吧，开拓者同学}},default,
16,{{短信选项,option,开拓者
17,|选项1=列车是否欢迎新成员？|剧情1=,branch_content,
18,{{角色对话|右|开拓者|文本|我们的列车欢迎新成员吗？}},default,
19,{{角色对话|左|姬子|文本|新成员？当然可以。只要人愿意共赴旅程，列车的车门便永远敞开}},default,
20,|选项2=我有个朋友想上车…|剧情2=,branch_content,
21,{{角色对话|右|开拓者|文本|就…我有个朋友想上车…}},default,
22,{{角色对话|左|姬子|文本|是想介绍新成员吗？当然可以。只要人愿意共赴旅程，列车的车门便永远敞开}},default,
23,|选项3=我朋友想喝咖啡…|剧情3=,branch_content,
24,{{角色对话|右|开拓者|文本|我有个朋友想喝姬子老师的咖啡！}},default,
25,{{角色对话|左|姬子|文本|哦？这可真是稀奇，我没有不欢迎的道理}},default,
26,}},default,
27,{{角色对话|左|姬子|文本|不过，我还想多了解些你的这位新朋友}},default,
28,{{角色对话|左|姬子|文本|在你看来，这是一位怎样的人呢？}},default,
29,{{短信选项,option,开拓者
30,|选项1=她心思缜密…|剧情1=,branch_content,
31,{{角色对话|右|开拓者|文本|她是一位心思缜密的天才机械师}},default,
32,{{角色对话|左|姬子|文本|那可真不错。或许会和我有许多共同语言呢}},default,
33,|选项2=她性格洒脱…|剧情2=,branch_content,
34,{{角色对话|右|开拓者|文本|她是个性格洒脱的摇滚明星}},default,
35,{{角色对话|左|姬子|文本|听起来确实是年轻人会喜欢的爱好，看来我们的列车要热闹起来了}},default,
36,|选项3=我说不来…|剧情3=,branch_content,
37,{{角色对话|右|开拓者|文本|她…我好像也说不来}},default,
38,{{角色对话|左|姬子|文本|不必担心。只要相处一段时间，很多事情便能看清楚了}},default,
39,}},default,
40,{{角色对话|左|姬子|文本|总之，我支持你的这位朋友登上列车}},default,
41,{{角色对话|左|姬子|文本|请让她好好收拾行李，不必过于着急。我们的列车随时都欢迎新乘客到来}},default,
42,{{短信选项,option,开拓者
43,|选项1=感谢姬子小姐|剧情1=,branch_content,
44,{{角色对话|右|开拓者|文本|感谢姬子小姐解惑}},default,
45,|选项2=谢谢姬子老师！|剧情2=,branch_content,
46,{{角色对话|右|开拓者|文本|我明白了，谢谢姬子老师！}},default,
47,}},default,
48,{{角色对话|左|姬子|文本|不必在意。旅途中若遇到什么麻烦，也要记得和我说哦}},default,
49,{{角色对话|模板结束}}}},default,
50,,default,
51,{{#subobject:姬子-登录短信1,default,
52,|@category=短信内容,default,
53,|人物=姬子,default,
54,|短信标题=登录短信1,default,
55,|内容={{角色对话|模板开始|姬子}},default,
56,{{角色对话|左|姬子|文本|今天早点回列车吃饭吧？}},default,
57,{{角色对话|左|姬子|文本|刚送到一批新鲜物资补给，有没有你喜欢的？我来露一手}},default,
58,{{短信选项,option,开拓者
59,|选项1=无所谓，有啥吃啥|剧情1=,branch_content,
60,{{角色对话|右|开拓者|文本|无所谓，有啥吃啥}},default,
61,{{角色对话|左|姬子|表情|07-05}},default,
62,{{角色对话|左|姬子|文本|你是无所谓，丹恒是都行，那我也只能随便烧了}},default,
63,{{角色对话|左|姬子|文本|星穹列车今日点单：<br>帕姆：香香酥酥脆脆帕姆帕姆派<br>三月七：小番茄炒蛋盖饭不要小番茄<br>丹恒：都行<br>瓦尔特：盐烤多种鱼配白洋葱圈<br>开拓者：无所谓<br>姬子：随便烧的列车锅}},content,星穹列车今日点单
64,|选项2=肉！给我很多肉！|剧情2=,branch_content,
65,{{角色对话|右|开拓者|文本|肉！给我很多肉！}},default,
66,{{角色对话|左|姬子|表情|07-03}},default,
67,{{角色对话|左|姬子|文本|今天累坏了吧，一会儿多吃点}},default,
68,{{角色对话|左|姬子|文本|星穹列车今日点单：<br>帕姆：香香酥酥脆脆帕姆帕姆派<br>三月七：小番茄炒蛋盖饭不要小番茄<br>丹恒：都行<br>瓦尔特：盐烤多种鱼配白洋葱圈<br>开拓者：很多肉<br>姬子：十荤十素列车锅}},content,星穹列车今日点单
69,|选项3=没奶茶的我要死了|剧情3=,branch_content,
70,{{角色对话|右|开拓者|文本|没奶茶的我要死了}},default,
71,{{角色对话|左|姬子|表情|07-06}},default,
72,{{角色对话|左|姬子|文本|奶茶也不能当饭吃呀…我想想办法}},default,
73,{{角色对话|左|姬子|文本|星穹列车今日点单：帕姆：香香酥酥脆脆帕姆帕姆派<br>三月七：小番茄炒蛋盖饭不要小番茄<br>丹恒：都行<br>瓦尔特：盐烤多种鱼配白洋葱圈<br>开拓者：奶茶<br>姬子：奶茶锅底列车锅}},content,星穹列车今日点单
74,}},default,
75,{{短信选项|表情,option,开拓者
76,|选项1=07-07|剧情1=,branch_content,
77,{{角色对话|右|开拓者|表情|07-07}},default,
78,}},default,
79,{{角色对话|模板结束}}}},default,
80,,default,
81,{{#subobject:姬子-登录短信2,default,
82,|@category=短信内容,default,
83,|人物=姬子,default,
84,|短信标题=登录短信2,default,
85,|内容={{角色对话|模板开始|姬子}},default,
86,{{角色对话|左|姬子|文本|[恭喜发财，大吉大利]}},default,
87,{{角色对话|右|开拓者|表情|07-02}},default,
88,{{角色对话|左|姬子|文本|列车新人礼，讨个小彩头~}},default,
89,{{短信选项,option,开拓者
90,|选项1=我不能收！|剧情1=,branch_content,
91,{{角色对话|右|开拓者|文本|我不能收！}},default,
92,{{角色对话|左|姬子|文本|哈哈，就算你不收，我也会包个红包放在你的背包里}},default,
93,|选项2=感动哭了！|剧情2=,branch_content,
94,{{角色对话|右|开拓者|文本|感动哭了！}},default,
