line_number,content,category,character
1,{{#subobject:星穹列车一家人-短信内容,default,
2,|@category=短信头像,default,
3,|名称=星穹列车一家人,default,
4,|阵营=星穹列车,default,
5,|类型=群聊,default,
6,}},default,
7,,default,
8,{{#subobject:星穹列车一家人-开拓任务剧情短信1,branch_content,
9,|@category=短信内容,default,
10,|人物=星穹列车一家人,default,
11,|短信标题=1.0开拓任务剧情短信1,branch_content,
12,|版本=1.0,default,
13,|内容={{角色对话|模板开始|星穹列车一家人|}},default,
14,任务链接——开拓任务「[[他们有多少人已掉进深渊]]」,default,
15,{{角色对话|右|开拓者|图片|短信-星穹列车一家人-遗器.png}},default,
16,{{短信选项,option,开拓者
17,|选项1=拿到了奇怪的东西…|剧情1=,branch_content,
18,{{角色对话|右|开拓者|文本|拿到了奇怪的东西…}},default,
19,}},default,
20,{{角色对话|左|丹恒|文本|遗器。}},default,
21,{{角色对话|左|三月七|文本|遗器}},default,
22,{{角色对话|左|姬子|文本|遗器}},default,
23,{{角色对话|左|瓦尔特|文本|是遗器}},default,
24,{{短信选项,option,开拓者
25,|选项1=谢谢|剧情1=,branch_content,
26,{{角色对话|右|开拓者|文本|谢谢}},default,
27,}},default,
28,{{短信选项,option,开拓者
29,|选项1=那遗器究竟是什么呢！？|剧情1=,branch_content,
30,{{角色对话|右|开拓者|文本|那遗器究竟是什么呢！？}},default,
31,}},default,
32,{{角色对话|左|瓦尔特|文本|是一种数据流的聚合物，普遍认为它与星核和裂界化现象有关}},default,
33,{{角色对话|左|瓦尔特|文本|裂界侵蚀的物体，其数据被裂界保存后再次构造，就是所谓的遗器}},default,
34,{{短信选项,option,开拓者
35,|选项1=谢谢|剧情1=,branch_content,
36,{{角色对话|右|开拓者|文本|谢谢}},default,
37,}},default,
38,{{短信选项,option,开拓者
39,|选项1=那遗器究竟是什么呢！？|剧情1=,branch_content,
40,{{角色对话|右|开拓者|文本|那遗器究竟是什么呢！？}},default,
41,}},default,
42,{{角色对话|左|瓦尔特|文本|…你可以去问问黑塔，她是遗器研究领域的专家}},default,
43,{{角色对话|模板结束}}}},default,
44,,default,
45,{{#subobject:星穹列车一家人-开拓任务剧情短信2,branch_content,
46,|@category=短信内容,default,
47,|人物=星穹列车一家人,default,
48,|短信标题=1.0开拓任务剧情短信2,branch_content,
49,|版本=1.0,default,
50,|内容={{角色对话|模板开始|星穹列车一家人|}},default,
51,任务链接——开拓任务「[[从凶险和泥泞的沼泽中]]」,default,
52,{{角色对话|左|瓦尔特|文本|@开拓者 @三月七 @丹恒 三位，「星核」的封印已经完成，空间扭曲现象正在逐渐复原了，你们干得不错。}},default,
53,{{短信选项,option,开拓者
54,|选项1=我们很快就回来|剧情1=,branch_content,
55,{{角色对话|右|开拓者|文本|我们很快就回来}},default,
56,|选项2=我们还得再待上一阵|剧情2=,branch_content,
57,{{角色对话|右|开拓者|文本|我们还得再待上一阵}},default,
58,}},default,
59,{{角色对话|左|瓦尔特|文本|不必着急，按自己的节奏来吧。在你们返程之前，列车会一直停靠在这儿。}},default,
60,{{角色对话|左|三月七|文本|太好啦！}},default,
61,{{角色对话|左|三月七|文本|好想喝果汁啊…帕姆还欠我一杯呢！}},default,
62,{{角色对话|左|丹恒|文本|雅利洛-Ⅵ的情况还好吗？}},default,
63,{{角色对话|左|瓦尔特|文本|不大好。「星核」的影响虽然基本消退，但现存的裂界恐怕扎根太深。}},default,
64,{{角色对话|左|瓦尔特|文本|寒潮的极端气候持续了很久，也对星球的生态造成了严重影响。}},default,
65,{{角色对话|左|瓦尔特|文本|简而言之，这个星球短时间内很难恢复千年前的生机。}},default,
66,{{角色对话|左|三月七|文本|啊…怎么这样……}},default,
67,{{短信选项,option,开拓者
68,|选项1=我们能做些什么吗？|剧情1=,branch_content,
69,{{角色对话|右|开拓者|文本|我们能做些什么吗？}},default,
70,}},default,
71,{{角色对话|左|瓦尔特|文本|…我们作为「开拓者」的任务已经圆满结束了。这个世界的命运应当被交还给它的主人。}},default,
72,{{角色对话|左|瓦尔特|文本|人类曾在许多严苛的环境中挣扎求生，但最终总能战胜它；寒潮不再，裂界也失去了扩张的力量。}},default,
73,{{角色对话|左|瓦尔特|文本|雅利洛-Ⅵ会慢慢好起来的，相信人类的坚韧吧。}},default,
74,{{角色对话|左|瓦尔特|文本|我在雅利洛-Ⅵ的北方探测到了高频率的空间能量涌动，我猜你们也许有兴趣一探究竟。}},default,
75,{{角色对话|左|瓦尔特|文本|不必紧张，那股能量与星核无关，只是空间扭曲现象消退后遗留的「余响」。}},default,
76,{{角色对话|左|瓦尔特|文本|身临「余响」中时，我们平时习惯的时空概念会发生剧变。它甚至可能复制我们曾经历过的特定场景。}},default,
77,{{角色对话|左|瓦尔特|文本|如果你心血来潮，想重新体验那些铭心刻骨的冒险历程，或许可以前往「余响」现象残留的地点试试运气。}},default,
78,{{角色对话|模板结束}}}},default,
79,,default,
80,{{#subobject:星穹列车一家人-开拓任务剧情短信3,branch_content,
81,|@category=短信内容,default,
82,|人物=星穹列车一家人,default,
83,|短信标题=1.0开拓任务剧情短信3,branch_content,
84,|版本=1.0,default,
85,|内容={{角色对话|模板开始|星穹列车一家人|}},default,
86,任务链接——开拓任务「[[静静的星河]]」,default,
87,{{角色对话|左|姬子|文本|开拓者，三月，丹恒——休息得如何？}},default,
88,{{角色对话|左|姬子|文本|帕姆已经做好了发车前的例行检查，无名客已经准备好继续前往下一个世界了。你们把手上的事处理好之后就回列车上来吧}},default,
89,{{角色对话|左|姬子|文本|对了，关于和贝洛伯格大守护者的那场决战，你们心里应该也存留着很多疑问吧？我和瓦尔特做了一些浅显的分析，也许能帮你们解除一些疑惑}},default,
90,{{角色对话|左|三月七|文本|收到！我们这就准备返程啦}},default,
91,{{角色对话|模板结束}}}},default,
92,,default,
93,{{#subobject:星穹列车一家人-开拓任务剧情短信4,branch_content,
94,|@category=短信内容,default,
95,|人物=星穹列车一家人,default,
96,|短信标题=1.0开拓任务剧情短信4,branch_content,
97,|版本=1.0,default,
98,|内容={{角色对话|模板开始|星穹列车一家人|}},default,
99,任务链接——开拓任务「[[旧影婆娑，追思错落]]」,default,
100,{{角色对话|右|丹恒|文本|开拓者、三月，你们在哪儿？}},default,
101,{{短信警告|信息发送失败}},default,
102,{{短信选项,option,开拓者
103,|选项1=我来同你们汇合|剧情1=,branch_content,
104,{{角色对话|右|丹恒|文本|我来同你们汇合。}},default,
105,}},default,
106,{{短信警告|信息发送失败}},default,
