line_number,content,category,character
1,{{#subobject:奥列格-短信内容,default,
2,|@category=短信头像,default,
3,|名称=奥列格,default,
4,|阵营=雅利洛-Ⅵ,default,
5,|类型=其他,default,
6,}},default,
7,,default,
8,{{#subobject:奥列格-同行任务接取短信,default,
9,|@category=短信内容,default,
10,|人物=奥列格,default,
11,|短信标题=同行任务接取短信,default,
12,|内容={{角色对话|模板开始|奥列格|忆往昔辉煌岁月。}},default,
13,{{角色对话|左|奥列格|文本|开拓者，能收到吗？三月七给了我这个小玩意，还教了我半天——年纪大了，真是学什么都费劲！现在我勉强算是会用了。不用见面就能说话还真是方便，哈哈}},default,
14,{{短信选项,option,开拓者
15,|选项1=学得挺快啊|剧情1=,branch_content,
16,{{角色对话|右|开拓者|文本|学得挺快啊}},default,
17,{{角色对话|左|奥列格|文本|多谢你的夸奖啊，开拓者。不聊闲天了，跟你说个正事}},default,
18,|选项2=有什么事吗，头儿？|剧情2=,branch_content,
19,{{角色对话|右|开拓者|文本|有什么事吗，头儿？}},default,
20,{{角色对话|左|奥列格|文本|哈哈哈，你怎么也开始这么叫我了？不聊闲天了，说说正事吧}},default,
21,}},default,
22,{{角色对话|左|奥列格|文本|我听说，娜塔莎那姑娘为了照看病人，已经连着好几天没合眼了。她可是下层区的顶梁柱，如果垮了的话我们可就全完蛋了。开拓者，我知道你之前刚帮了她一个大忙，但能麻烦你再去看看她近况如何吗？}},default,
23,{{短信选项,option,开拓者
24,|选项1=没问题，马上就去|剧情1=,branch_content,
25,{{角色对话|右|开拓者|文本|没问题，马上就去}},default,
26,{{角色对话|左|奥列格|文本|我就说，哈哈，从第一面见到你开始，我就感觉你这家伙能靠得住，看来我的判断没错。那就有劳你了，年轻人}},default,
27,|选项2=她很坚强，会没事的|剧情2=,branch_content,
28,{{角色对话|右|开拓者|文本|她很坚强，会没事的}},default,
29,{{角色对话|左|奥列格|文本|哈哈，你跟我的看法一样，她是个不知疲倦的姑娘。但不管怎么说，多一双手帮忙总不是坏事。那就有劳你了，年轻人}},default,
30,}},default,
31,{{接取任务|同行任务|寻药溯源}},default,
32,{{角色对话|模板结束}}}},default,
33,,default,
34,{{#subobject:奥列格-冒险任务接取短信,default,
35,|@category=短信内容,default,
36,|人物=奥列格,default,
37,|短信标题=冒险任务接取短信,default,
38,|内容={{角色对话|模板开始|奥列格|忆往昔辉煌岁月。}},default,
39,{{角色对话|左|奥列格|文本|最近挺好吗，开拓者？还没离开贝洛伯格呢？}},default,
40,{{短信选项,option,开拓者
41,|选项1=要再待一阵|剧情1=,branch_content,
42,{{角色对话|右|开拓者|文本|要再待一阵}},default,
43,{{角色对话|左|奥列格|文本|那敢情好，我正好有件事求你帮忙}},default,
44,|选项2=就快走了|剧情2=,branch_content,
45,{{角色对话|右|开拓者|文本|就快走了}},default,
46,{{角色对话|左|奥列格|文本|哦，这样啊？那我还是不给你添麻烦了吧}},default,
47,{{短信选项,option,开拓者
48,|选项1=但说无妨，头儿|剧情1=,branch_content,
49,{{角色对话|右|开拓者|文本|但说无妨，头儿}},default,
50,|选项2=我讨厌被吊胃口…|剧情2=,branch_content,
51,{{角色对话|右|开拓者|文本|我讨厌被吊胃口…}},default,
52,}},default,
53,{{角色对话|左|奥列格|文本|那我就直说了，其实是有件事求你帮忙}},default,
54,}},default,
55,{{角色对话|左|奥列格|文本|你看看，我这才刚回上层多久？屁股还没坐热，有群铁卫就急着请我回去当顾问}},default,
56,{{角色对话|左|奥列格|文本|你们前脚才摆平星核的事，这帮坐不住的已经在盘算着反攻裂界了}},default,
57,{{角色对话|左|奥列格|文本|但要说应付裂界，我觉得只有你们几个才算得上是专家}},default,
58,{{短信选项,option,开拓者
59,|选项1=又有架要打了？|剧情1=,branch_content,
60,{{角色对话|右|开拓者|文本|又有架要打了？}},default,
61,{{角色对话|左|奥列格|文本|哈哈，你要这么理解也没问题}},default,
62,|选项2=裂界就是我家|剧情2=,branch_content,
63,{{角色对话|右|开拓者|文本|裂界就是我家}},default,
64,{{角色对话|左|奥列格|文本|哈哈，就喜欢你这股劲头}},default,
65,}},default,
66,{{角色对话|左|奥列格|文本|你要是想参与作战，就去铁卫禁区找一个叫威廉的联络员吧}},default,
67,{{角色对话|左|奥列格|文本|他们给需要清理的裂界起名叫「残响回廊」，听着挺渗人的，是吧？但在你眼里估计就是小菜一碟}},default,
68,{{接取任务|冒险任务|以眼还眼}},default,
69,{{角色对话|模板结束}}}},default,
