line_number,content,category,character
1,{{#subobject:布洛妮娅、开拓者、三月七、丹恒的群聊-短信内容,default,
2,|@category=短信头像,default,
3,|名称=布洛妮娅、开拓者、三月七、丹恒的群聊,default,
4,|阵营=雅利洛-Ⅵ,default,
5,|类型=群聊,default,
6,}},default,
7,,default,
8,{{#subobject:布洛妮娅、开拓者、三月七、丹恒的群聊-开拓任务剧情短信,branch_content,
9,|@category=短信内容,default,
10,|人物=布洛妮娅、开拓者、三月七、丹恒的群聊,default,
11,|短信标题=开拓任务剧情短信,branch_content,
12,|内容={{角色对话|模板开始|布洛妮娅、开拓者、三月七、丹恒的群聊}},default,
13,任务链接——开拓任务「[[从凶险和泥泞的沼泽中]]」,default,
14,{{角色对话|左|布洛妮娅|文本|三月，丹恒，开拓者——能看到吗？真没想到，这个机械居然能发信息给你们…}},default,
15,{{角色对话|左|布洛妮娅|表情|00-01}},default,
16,{{短信选项,option,开拓者
17,|选项1=你的表情包品味……|剧情1=,branch_content,
18,{{角色对话|右|开拓者|文本|你的表情包品味……}},default,
19,{{角色对话|左|布洛妮娅|文本|咦？这张图片怎么了吗？我还挺喜欢的……}},default,
20,|选项2=消息已经传达完毕了|剧情2=,branch_content,
21,{{角色对话|右|开拓者|文本|消息已经传达完毕了}},default,
22,{{角色对话|左|布洛妮娅|文本|感谢你们为贝洛伯格做的一切}},default,
23,|选项3=身体怎么样了？|剧情3=,branch_content,
24,{{角色对话|右|开拓者|文本|身体怎么样了？}},default,
25,{{角色对话|左|布洛妮娅|文本|托希儿的福，已经没事了}},default,
26,}},default,
27,{{角色对话|左|布洛妮娅|文本|能联络上你们真是太好了。我已经向银鬃铁卫下达了指示，即刻解除上下层区的封锁线，下层区的部分人应该也已经收到通知了}},default,
28,{{角色对话|左|布洛妮娅|文本|封锁了十几年的客运缆车站应该很快就会重新开放了。如果你们愿意的话，我希望你们能回上层参加我的继任仪式}},default,
29,{{角色对话|左|三月七|文本|好耶，我们绝对不会缺席的！}},default,
30,{{短信选项,option,开拓者
31,|选项1=一定到|剧情1=,branch_content,
32,{{角色对话|右|开拓者|文本|一定到}},default,
33,|选项2=一定到，咕咕|剧情2=,branch_content,
34,{{角色对话|右|开拓者|文本|一定到，咕咕}},default,
35,|选项3=不忙我就来|剧情3=,branch_content,
36,{{角色对话|右|开拓者|文本|不忙我就来}},default,
37,}},default,
38,{{角色对话|左|布洛妮娅|文本|到时候见}},default,
39,{{角色对话|左|布洛妮娅|表情|00-02}},default,
40,{{角色对话|模板结束}}}},default,
41,,default,
42,,default,
43,,default,
44,{{#subobject:布洛妮娅、开拓者、三月七、丹恒的群聊-开拓续闻剧情短信1,branch_content,
45,|@category=短信内容,default,
46,|人物=布洛妮娅、开拓者、三月七、丹恒的群聊,default,
47,|短信标题=开拓续闻剧情短信1,branch_content,
48,|内容={{角色对话|模板开始|布洛妮娅、开拓者、三月七、丹恒的群聊}},default,
49,任务链接——开拓续闻「[[未来市场•其一]]」,default,
50,{{角色对话|左|布洛妮娅|表情|00-01}},default,
51,{{角色对话|左|布洛妮娅|文本|列车组的各位，能看到我的消息吗？}},default,
52,{{短信选项,option,开拓者
53,|选项1=你好呀，布洛妮娅|剧情1=,branch_content,
54,{{角色对话|右|开拓者|文本|收到了}},default,
55,{{角色对话|右|开拓者|文本|好久不见，布洛妮娅}},default,
56,|选项2=好久不见！|剧情2=,branch_content,
57,{{角色对话|右|开拓者|文本|收到了}},default,
58,{{角色对话|右|开拓者|文本|好久不见，布洛妮娅}},default,
59,}},default,
60,{{角色对话|左|三月七|文本|布洛妮娅！我们可想死你啦}},default,
61,{{角色对话|左|布洛妮娅|文本|太好了，我还怕你们收不到消息呢}},default,
62,{{角色对话|左|布洛妮娅|文本|我知道你们很忙，所以尽量长话短说}},default,
63,{{角色对话|左|布洛妮娅|文本|我最近正在推动煦日节的筹备工作。煦日节是贝洛伯格的传统节日，之前受裂界和封锁令影响，常规的庆典活动已经停摆多年，贝洛伯格人已经很久没有感受过热烈的节日氛围了}},default,
64,{{角色对话|左|布洛妮娅|文本|如果星穹列车的诸位有时间的话，我想邀请你们前来参加「煦日节」的庆典，见证一下贝洛伯格复兴计划的阶段性成果}},default,
65,{{短信选项,option,开拓者
66,|选项1=一定来！|剧情1=,branch_content,
67,{{角色对话|右|开拓者|文本|我一定来！}},default,
68,{{角色对话|左|三月七|文本|还有我！节日，庆典，这听着就像咱的主场！}},default,
69,|选项2=抱歉，下次一定|剧情2=,branch_content,
70,{{角色对话|右|开拓者|文本|不好意思，这次可能没空……}},default,
71,{{角色对话|左|三月七|文本|@开拓者喂，别装啦，你不会是想窝在房间里搓你的手机屏幕吧！}},default,
72,{{角色对话|左|三月七|文本|放心，我们一定会来参加的！节日，庆典，这听着就像咱的主场！}},default,
73,}},default,
74,{{角色对话|左|布洛妮娅|文本|你们能来就太好了，这里的大家都惦记着各位呢}},default,
75,{{角色对话|左|布洛妮娅|文本|@丹恒 在忙吗？我看他一直没在群里说话}},default,
76,{{角色对话|左|三月七|文本|他最近在闭关呢，估计早就把所有电子设备都关机了}},default,
77,{{角色对话|左|三月七|文本|我们去帮你问问}},default,
78,{{角色对话|左|布洛妮娅|文本|谢谢你，三月}},default,
79,{{角色对话|左|布洛妮娅|文本|那我期待着能在煦日节庆典上看到各位的身影}},default,
80,{{角色对话|左|布洛妮娅|表情|00-02}},default,
81,{{角色对话|模板结束}}}},default,
82,,default,
83,,default,
84,,default,
85,{{#subobject:布洛妮娅、开拓者、三月七、丹恒的群聊-开拓续闻剧情短信2,branch_content,
86,|@category=短信内容,default,
87,|人物=布洛妮娅、开拓者、三月七、丹恒的群聊,default,
88,|短信标题=开拓续闻剧情短信2,branch_content,
89,|内容={{角色对话|模板开始|布洛妮娅、开拓者、三月七、丹恒的群聊}},default,
90,任务链接——开拓续闻「[[未来市场•其一]]」,default,
91,{{角色对话|左|布洛妮娅|文本|三月，开拓者，你们现在在哪里？一切都好吗？}},default,
92,{{角色对话|左|三月七|文本|布洛妮娅！我们现在在下层区}},default,
93,{{角色对话|左|三月七|文本|一帮公司的家伙占领了大矿区，我们和希儿刚把他们全都赶走}},default,
94,{{角色对话|左|布洛妮娅|文本|原来如此，你们和希儿在一起}},default,
