line_number,content,category,character
1,{{#subobject:布洛妮娅、杰帕德、开拓者等人的群聊-短信内容,default,
2,|@category=短信头像,default,
3,|名称=布洛妮娅、杰帕德、开拓者等人的群聊,default,
4,|阵营=雅利洛-Ⅵ,default,
5,|类型=群聊,default,
6,}},default,
7,,default,
8,{{#subobject:布洛妮娅、杰帕德、开拓者等人的群聊-开拓续闻剧情短信,branch_content,
9,|@category=短信内容,default,
10,|人物=布洛妮娅、杰帕德、开拓者等人的群聊,default,
11,|短信标题=开拓续闻剧情短信,branch_content,
12,|内容={{角色对话|模板开始|布洛妮娅、杰帕德、开拓者等人的群聊}},default,
13,任务链接——开拓续闻「[[未来市场•其二]]」,default,
14,{{角色对话|左|布洛妮娅|文本|在这里说吧，杰帕德}},default,
15,{{角色对话|左|布洛妮娅|文本|把你之前的报告也分享给列车组的各位}},default,
16,{{角色对话|左|杰帕德|文本|是，布洛妮娅大人}},default,
17,{{短信选项,option,开拓者
18,|选项1=越详细越好。|剧情1=,branch_content,
19,{{角色对话|右|开拓者|文本|越详细越好。}},default,
20,|选项2=你们起冲突了？|剧情2=,branch_content,
21,{{角色对话|右|开拓者|文本|你们起冲突了？}},default,
22,}},default,
23,{{角色对话|左|杰帕德|文本|此前，大守护者命令我带领银鬃铁卫和自动机兵防线驻守在铆钉镇，阻止星际和平公司的渗透行为}},default,
24,{{角色对话|左|杰帕德|文本|防卫工作起初进展还算顺利，直到托帕本人出现。她似乎持有某种特殊的技术，在瞬间就夺取了我方所有机兵的控制权}},default,
25,{{角色对话|左|杰帕德|文本|托帕的目的地似乎是铆钉镇深处的某个区域——另外，史瓦罗不知为何也在和她一同行动}},default,
26,{{角色对话|左|三月七|文本|史瓦罗？！他又要和我们对着干了吗……}},default,
27,{{角色对话|左|布洛妮娅|文本|希望不是，直觉告诉我这背后有其它原因…但现在还没法确定}},default,
28,{{角色对话|左|姬子|文本|至少现在我们知道该去哪找托帕了}},default,
29,{{角色对话|左|姬子|文本|出发吧，三月，开拓者}},default,
30,{{角色对话|模板结束}}}},default,
