line_number,content,category,character
1,{{面包屑|星海纪闻}}{{星海纪闻导航}},default,
2,<center>[[file:星轨航图•空间站「黑塔」.png|600px]]</center>,default,
3,==简介==,default,
4,天才俱乐部的黑塔不满足于寻常世界的万物法则，她将目光投向了银河中未解的存在，并期待那些遥远的神秘能够满足自己的好奇心。为此，黑塔主导建立了博物馆式星际舰船，并将它发射至行星轨道，开始了「将一切怪异封印在星空之中」的研究工作。远近闻名的黑塔空间站就此诞生。<br><br>,default,
5,时至如今，空间站已经拥有了数不胜数的奇物「藏品」，是一座名副其实的星空博物馆。大量的随舰研究人员也都定居于此，他们不断地从银河各处收集遗器和奇物，记录它们的形致与功能，建立起系统的观测与研究方法…最终从谜题中找出更加费解的谜题。这也正是黑塔的最初的目的。<br><br>,default,
6,数量众多的「藏品」常常招来嫉妒的目光，各种势力在暗中摩拳擦掌。凭借着黑塔的实力，空间站很少陷入真正的危机，收藏和研究工作仍在有条不紊地进行之中。,default,
7,,default,
8,,default,
9,==历史沿革==,default,
10,*星际和平公司为黑塔建立的藏品收容设施。公司提出共同探索繁星奥秘的倡议，求新探异的学者们纷纷进驻站点，开展学问。至少于8琥珀纪前建立（空间站的防护网有8琥珀纪的历史）。,default,
11,*艾丝妲担任了空间站的现任站长。,default,
12,*琥珀2157纪时，空间站「黑塔」又一次遭到反物质军团袭击，空间站收容的星核被启动一瞬间，空间站部分舱段半裂界化。,default,
13,,default,
14,,default,
15,==空间站结构==,default,
16,"{| class=""wikitable"" style=""width:100%;""",default,
17,!图像,default,
18,!名称,default,
19,!描述,default,
20,|-,default,
21,|,default,
22,| [[主控舱段]],default,
23,| 空间站的核心区域。具备独立星际航行能力的星际舰船，与基座连接为一体时作为空间站控制中枢而存在。,default,
24,|-,default,
25,|,default,
26,| [[基座舱段]],default,
27,| 星际舰船与空间站二段式分离结构的核心部分，是空间站科员们日常生活的主要活动区域。,default,
28,|-,default,
29,|,default,
30,|[[收容舱段]],default,
31,| 收容奇物的储室舱段。中庭建有巨大环形甬道，高低错落，连通着各科室的藏品之间。,default,
32,|-,default,
33,|,default,
34,|[[支援舱段]],default,
35,| 空间站的后勤核心，存储各类物资、管理能源核心，配备有完整的接引月台系空间站运作与维系的关键节点。,default,
36,|-,default,
37,|,default,
38,|[[禁闭舱段]],default,
39,| 曾是前沿科研的实验重地，往来接驳车、实验室与植物间为高风险实验提供了便利条件，现因某种原因已封闭。,default,
40,|},default,
41,====主控舱段====,default,
42,'''监控与防御系统'''<br>,default,
43,*分布于主控舱段入口处与两侧。由众多监控画面组成的巨大影像屏幕，能够观测空间站外围的全景视角，分别配备障碍阻击操作台与防护投射操作台，可用于狙击不明威胁与产生反重力防护罩。,default,
44,,default,
45,'''监察域'''<br>,default,
46,*实时监察太空中他者的觊觎，信息从不嫌多，手段更是如此。,default,
47,,default,
48,'''核心通路'''<br>,default,
49,*科员穿梭于空间站的核心区域，数十亿计的中微子穿过他们的身躯。,default,
50,,default,
51,'''黑塔的办公室'''<br>,default,
52,*全宇宙最（不）神秘的办公室。,default,
53,,default,
54,====基座舱段====,default,
55,'''接待中心'''<br>,default,
56,*不少仰慕者慕名而来，却止步于此，向阔步入内的科员投以艳羡的目光。<br>,default,
57,'''医疗舱室'''<br>,default,
58,*空间站引以为豪的医疗设施，号称只要人还有口气在，总有办法能够救活。科员们的研究总是伴随着不可预知的风险，因此空间站的医疗舱室总是人满为患。<br>,default,
59,'''监控室'''<br>,default,
60,*掌控可视之物的，往往不是眼睛。它是审视的工具，也是屏障。,default,
61,====收容舱段====,default,
62,'''无明之间'''<br>,default,
63,*在黑塔的私人藏室，藏品的筛选标准只有一个：「和黑塔一样有趣。」,content,藏品的筛选标准只有一个
64,'''特殊解析室'''<br>,default,
65,*送往空间站的奇物在此地经过科员的观察、接触与分析，前去它们最终的归处。,default,
66,'''中庭'''<br>,default,
67,*巨大的环形甬道之间，眺望的视线随着中央电梯上上下下，奔赴各处。,default,
68,'''控制中心外'''<br>,default,
69,*科员于此频繁来往，要确认收容舱段的各处状态，经有此地最为方便。,default,
