line_number,content,category,character
1,{{角色语音表头|符玄|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=符玄-初次见面,default,
8,|语音内容=本座乃罗浮太卜司之首，符玄。初次见面——不，该说久见了…我已在法眼中遍历了与你之间的二十二次初会场面。,default,
9,|语音内容日语=私は羅浮の{RUBY_B#タイボクシ}太卜司{RUBY_E#}の長、{RUBY_B#フゲン}符玄{RUBY_E#}。はじめまして——いいえ、久しぶりと言うべきかしら…私は法眼を通して、すでにおまえとの初対面を22回経験しているから。,default,
10,"|语音内容英语=I am Fu Xuan, head of the Divination Commission. This is our first encounter... or perhaps I should say — our twenty-second first encounter... Through the omniscia, I have met you for the first time, many times...",default,
11,"|语音内容韩语=본좌는 아직 나부 태복사의 수장인 부현입니다. 처음 뵙겠——아니, 오랜만이군요…. 전 이미 법안에서 당신과 스물두 번이나 첫 만남을 가졌답니다",default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=符玄-问候,default,
16,|语音内容=稀客啊，是要占问吉凶么？不用惊讶，你的来意早已在卦象中应验。,default,
17,|语音内容日语=珍客ね、吉凶を占って欲しいのかしら？驚く必要はないわ。おまえが来ることは、すでに卦象でわかっていたもの。,default,
18,"|语音内容英语=Honored guest, would you like to know your fortune? No need to act surprised — your reason for coming has already been foretold by the hexagram.",default,
19,"|语音内容韩语=오랜만이네요, 점 보러 왔나요? 놀라지 마세요! 당신의 의도는 이미 괘상에 다 나와 있어요",default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=符玄-道别,default,
24,|语音内容=走了？正巧本座也忙得很，就不远送了。,default,
25,|语音内容日语=もう行くの？私は忙しいから、遠くまで見送りはしないわ。,default,
26,"|语音内容英语=You're leaving? Good timing, I too have other affairs to attend to.",default,
27,|语音内容韩语=가려고요? 마침 본좌도 바쁘니 멀리 배웅하진 않을게요,default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•卜者,default,
31,|语音文件=符玄-关于自己•卜者,default,
32,|语音内容=人人称本座「法眼无遗」，本座却不这么看。推占卜筮，哪有百试百灵的？我是卜者，不是口宣神谕的先知。,default,
33,|语音内容日语=誰もが私を「遺漏なき法眼」と称するけど、私はそうは思わない。占卜は万能ではないでしょう？私は卜者であって、神託を説く預言者ではないの。,default,
34,"|语音内容英语=People say that nothing escapes my omniscia, but that isn't true. No divination can be entirely accurate. I am a diviner, not a prophet who speaks for the divine.",default,
35,"|语音内容韩语=모두가 본좌를 「완전한 법안」이라 부르지만, 본좌는 그렇게 생각하지 않아요. 백번 봐서 백번 다 맞는 점집이 어디 있겠어요? 전 그저 점술가일 뿐, 신탁을 전하는 선지자는 아니에요",default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=闲谈•第三眼,default,
39,|语音文件=符玄-闲谈•第三眼,default,
40,|语音内容=这额间之眼是遨游天外所得，博识尊赐下的重宝。它助本座洞察外物变迁，遍历众多可能。不过，依博识尊的金科玉律「知识要以痛苦换得」，法眼确实可称得上一件永恒的刑具……,default,
41,|语音内容日语=この額にある眼は天外を漫遊していた時に得たもので、ヌースの重宝よ。これは私が周囲の変化を洞察するのを助け、多くの可能性を視せてくれる。ヌースの絶対的な信条では「知識は苦痛と引き換えに得るべきである」とされているから、この法眼は永遠の刑具と言えるわね……,default,
42,"|语音内容英语=The eye on my forehead is a treasure from beyond the heavens bestowed on me by Nous. With it, I am able to see changes in the external world and explore many possibilities. However, as Nous made clear: ""Knowledge comes at the price of suffering."" The omniscia is, in some ways, an eternal punishment.",default,
43,"|语音内容韩语=이마의 눈은 천외를 여행할 때 얻은 것이고, 누스께서 내린 보배죠. 이건 본좌가 외부의 변화를 통찰하는 데 도움이 됐고 여러 가능성을 볼 수 있었어요. 하지만 누스의 금과옥조에 따르면 「지식은 고통과 맞바꿔」야 하니, 법안은 영원한 형벌 도구라고 할 수 있겠네요……",default,
44,}},default,
45,{{角色语音,default,
46,|语音类型=闲谈•穷观阵,default,
47,|语音文件=符玄-闲谈•穷观阵,default,
48,|语音内容=卜者们凭此阵法鉴往知来。罗浮漂航星海，一日也不可缺了它。只是…我有时候在想，它是否也锁住了我们的前路与众多可能？,default,
