line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=第八条、也是最后一条规则,default,
3,|任务地区=雅利洛-Ⅵ,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=虎克将你和三月七带至拳馆入口处。你隔墙听到馆中如怒涛般的欢呼时一浪接着一浪，又联想到虎克所说的内容，这使你不寒而栗。<br>,default,
7,眼前这破旧的建筑物中究竟潜藏着何等程度的黑暗？恐怕只有亲自进去调查一番才能得知真相了。<br>,default,
8,你甚至觉得自己可能真能在这里找到丹恒——毕竟你一直觉得他会是那种背负着黑暗过去的人…不过这番话可别真让他听见啊。,default,
9,|奖励={{图标|里程|300}}{{图标|凝缩以太|1}}{{图标|信用点|4000}},default,
10,|任务条件=完成[[捉迷藏]],default,
11,|开放等级=0,default,
12,|出场人物=三月七、丹恒、桑博、掘掘博士,default,
13,|相关道具=,default,
14,|系列任务=于枯索的冬夜里,default,
15,|任务编号=06,default,
16,|前置任务=*[[捉迷藏]],default,
17,|后续任务=*[[她等待刀尖已经太久]],default,
18,|任务流程=*进入「搏击俱乐部」,default,
19,*寻找丹恒,default,
20,*抓住并质问桑博,default,
21,}},default,
22,==剧情内容==,default,
23,===进入「搏击俱乐部」===,default,
24,{{任务描述|虎克将你和三月七带至拳馆入口处。你隔墙听到馆中如怒涛般的欢呼时一浪接着一浪，又联想到虎克所说的内容，这使你不寒而栗。<br>,default,
25,眼前这破旧的建筑物中究竟潜藏着何等程度的黑暗？恐怕只有亲自进去调查一番才能得知真相了。<br>,default,
26,你甚至觉得自己可能真能在这里找到丹恒——毕竟你一直觉得他会是那种背负着黑暗过去的人…不过这番话可别真让他听见啊。}},default,
27,{{折叠|标题=额外对话（旁听俱乐部门口的聊天）|内容=,default,
28,*好奇的群众：听说俱乐部来了一个黑头发的小哥，打遍天下无敌手，到底什么来历？,content,好奇的群众
29,*道听途说的群众：我听人说，这个小哥是银鬃铁卫的高手。,content,道听途说的群众
30,*好奇的群众：胡说八道，银鬃铁卫早就集体撤走了，怎么可能突然回来一个。,content,好奇的群众
31,|折叠=是}},default,
32,=== 寻找丹恒 ===,default,
33,{{任务描述|果不其然，你在八角笼里发现了冷厉如故的丹恒。尽管你在情感上接受了丹恒就在这里的事实，但你的理性实在无法解释他为何会出现在这里。<br>,default,
34,总之，先帮助这位抛下同伴来参加搏击的「冷面小青龙」度过眼前的难关，再向他仔细问清楚好了。<br>,default,
35,不过既然是丹恒，想必会说出「就算你们不来，我一个人也能解决」之类的话吧…}},default,
36,*掘掘博士：——兄弟姐妹们！接下来这场，将是今天最精彩，最刺激，最震撼的对决！,content,掘掘博士
37,*掘掘博士：不苟言笑，实力超群的超级新人——「冷面小青龙」！由深蓝帅哥推荐！,content,掘掘博士
38,*掘掘博士：他的对手是——没得感情，易燃易爆的机器小分队！赞美史瓦罗大佬！,content,掘掘博士
39,*掘掘博士：由于没有其他选手愿意与机器小分队对抗，这场比赛只好由「冷面小青龙」独自出战，他本人也放出豪言壮语：「随便」！,content,掘掘博士
40,*掘掘博士：那么，第一千七百五十八届搏击擂主挑战赛半决赛，现在开始！,content,掘掘博士
41,*三月七：开拓者，快！我们去帮他！,content,三月七
42,:{{颜色|描述|你和三月七冲进擂台…}},default,
