line_number,content,category,character
1,{{遗器套装,default,
2,|名称=筑城者的贝洛伯格,default,
3,|类别=位面饰品,default,
4,|两件套效果=使装备者的防御力提高{{颜色|描述2|15%}}。当装备者的效果命中大于等于{{颜色|描述2|50%}}时，防御力额外提高{{颜色|描述2|15%}}。,default,
5,|四件套效果=,default,
6,|获取方式=模拟宇宙,default,
7,|获取途径=模拟宇宙•第六世界,default,
8,|实装版本=1.0,default,
9,|TAG=防御力、效果命中限制,default,
10,|头部=,default,
11,|手部=,default,
12,|躯干=,default,
13,|脚部=,default,
14,|头部描述=,default,
15,|头部故事=,default,
16,|手部描述=,default,
17,|手部故事=,default,
18,|躯干描述=,default,
19,|躯干故事=,default,
20,|脚部描述=,default,
21,|脚部故事=,default,
22,|位面球=贝洛伯格的存护堡垒,default,
23,|连结绳=贝洛伯格的铁卫防线,default,
24,|位面球描述=位面封装的是贝洛伯格行政区最常见的风景：永冬铭碑。人们从这里路过，感受到来自遥远而温暖的目光守护着他们。,content,位面封装的是贝洛伯格行政区最常见的风景
25,|位面球故事=几千年前，彼时的雅利洛-Ⅵ拥有四季如春的气候与令人嫉妒的海洋环境。<br><br>,default,
26,林中缀满硕果，潮汐送来湿润暖意，美酒如甘泉般可随手掬取、人人痛饮。当地的居民极富进取心与活力，修建了道路、城市、海边的别墅以及精美的宫殿。富足滋润的生活似乎总是从晨曦的一杯咖啡开始，到暮色的一杯麦芽酿结束。<br><br>,default,
27,随后星轨连通了雅利洛-Ⅵ的世界，为这里带来了星间贸易和天外科技。<br><br>,default,
28,一开始，异界的访客们为追寻地髓矿石而来，这些晶莹剔透的矿物蕴藏着驱动工业的血液，琥珀色的反射倒映出存护的光彩；再后来，异界的访客们为长住久安的生活而来，它的海湾、棕榈树、节奏轻快的乐曲，适合任何疲惫的旅客寻求归宿——人们相信假以时日，这颗气候湿润的星球必将如同其他耀目明星一般在银河闪烁。<br><br>,default,
29,约摸一千年前，一枚星核划过天际，坠落在这个世界上。<br><br>,default,
30,随即，整个星球的命运急转直下，如同荒诞的闹剧。暴戾的毁灭军团从天而降，滔天的战火此起彼伏。筑城者们构筑起城墙与战线，百米巨像峨然耸立与龙形巨兽角力——紧接着，毫无征兆的寒潮突然出现，凛冽的风暴不分敌我，吞没了一切，整颗星球万籁俱寂…看不见的巨大空间屏障遮覆了堡垒城市，就像寒夜里怀中护住的烛火，文明因此延续。<br><br>,default,
31,再后来，这座城市被称为贝洛伯格。,default,
32,|连结绳描述=贝洛伯格的银鬃铁卫矗立在风雪之中，他们排成一线，等待着前来进犯的天外入侵者。铁卫的意志坚不可摧，铁卫的阵线也绝不后退。,default,
33,|连结绳故事=灾难来临前，筑城者曾对雅利洛-Ⅵ有过美好畅想。<br><br>,default,
34,筑城者效仿克里珀伟力，铸造出能够改造行星的机械。数百座「造物引擎」吐息烈焰，轰然行于大地，犹如不倦的巨人园丁修葺荒芜的花田。短短几十年，沟壑与丘陵被整为平原与森林，城市星罗棋布耸立于海岸之畔。<br><br>,default,
35,「毁灭」的预兆降临后，筑城者将机械悉数投入战场，构筑起最初的「铁卫防线」。<br><br>,default,
36,毁灭的兵卒们如同蹈火的飞萤，紧随星核而至，在地表划下生灵涂炭的轨迹。曾用于「造物」的机械也不得不沦为凶器，在不属于它们的战场上抡动铁拳；最终，耕耘花园的巨人力尽倒下，仿佛一座座文明的墓碑，标记了阵线逐日溃退的历程。<br><br>,default,
37,退无可退的那一日，铁卫们握紧武器，身后是仅存的家园。<br><br>,default,
38,寒潮的到来出乎所有的人的意料。天外的怪物与前线的士兵锋刃交错的瞬间，雪线漫涌天际。一片混沌中，贝洛伯格成了世间唯一的灯火。为了扑灭它，为了守护它，双方陷入了漫无止境的厮杀。铁卫们咆哮着阿丽萨•兰德的名字，返身进入风雪深处，再也没有回来。<br><br>,default,
39,直到暴雪止歇，贝洛伯格的居民战战兢兢地攀上城头远眺。<br><br>,default,
40,他们见证了最后的「铁卫防线」。,default,
41,}},default,
42,<br>,default,
43,{{主观提示|攻略相关}},default,
44,==推荐角色==,default,
45,"{| class=""wikitable"" style=""text-align:center""",default,
46,! 角色,default,
47,! 推荐说明,default,
48,|-,default,
49,| {{角色头像|杰帕德}}<br>{{角色头像|三月七}}<br>{{角色头像|开拓者•存护}},default,
50,"| style=""text-align:left"" | 三位存护角色技能都依赖防御力，提升盾量的同时还能提升自身的生存能力，肩负起给全队扛伤的重任。效果命中到达50%可以获得额外的防御力，而这三位存护角色也需要一定效果命中（冻结、嘲讽）。",default,
51,|},default,
52,{{WIKI底部导航|遗器=展开}},default,
