line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=美丽与毁灭,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.2,default,
7,|任务描述=星期日在此前的谈判中倒向梦主一方，并控制了知更鸟和瓦尔特。他还向众人表明自己的全部意图，但并不打算与你们刀剑相向，并向你们提出一连串问题，意图寻求彼此理解的可能性。,default,
8,|奖励={{图标|里程|3300}}{{图标|星琼|160}}{{图标|漫游指南|10}}{{图标|金表钞|650}}{{图标|信用点|100000}},default,
9,|任务条件=完成任务[[奔腾年代]],default,
10,|开放等级=34,default,
11,|相关成就=,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=三月七、姬子、流萤、星期日,default,
15,|领取地点=,default,
16,|系列任务=在我们的时代里,default,
17,|任务编号=08,default,
18,|前置任务=*[[奔腾年代]],default,
19,|后续任务=*[[等醒来再哭泣]],default,
20,|任务流程=*（可选）与众人交谈，聊聊各自的看法,default,
21,*决定小谐乐鸽的命运,default,
22,*（可选）与众人交谈，聊聊各自的看法,default,
23,*决定逐梦客的命运,default,
24,*（可选）与众人交谈，聊聊各自的看法,default,
25,*决定知更鸟的命运,default,
26,}},default,
27,,default,
28,==剧情内容==,default,
29,:{{颜色|描述|一段时间前……}},default,
30,*「梦主」：…你们的意思是，长久以来，竟有恶徒将我等为世人赐福的谐乐大典…当做实现野心的工具？,content,梦主
31,*知更鸟：正是，梦主大人。一旦谐乐大典开始，星核的力量将随着歌声传遍整个匹诺康尼…届时，梦中的所有人都将无法从梦中醒来。,content,知更鸟
32,*「梦主」：嗯，这倒是令我意外。梦境是五大家族共同维护的结果，若有人利用谐乐肆意散布那星核的力量，此人必然身居高位……,content,梦主
33,*「梦主」：你们可有怀疑的对象？,content,梦主
34,*瓦尔特：请问，您当真不知道星核的存在？,content,瓦尔特
35,*「梦主」：呵…我倒是从未想过，这位无名客会直接将矛头指向本人，着实令人瞠目结舌。,content,梦主
36,*瓦尔特：如有冒犯，星穹列车向您郑重道歉。但眼下情势紧急，容不得细密探访了。这也是为了梦境的安稳着想，还请您打消我们的顾虑。,content,瓦尔特
37,*知更鸟：梦主大人，只要证明谐乐大典与星核无关，是我们多心了的话…我会如约回到舞台献唱。,content,知更鸟
38,*「梦主」：嗯……,content,梦主
39,*「梦主」：星期日，知更鸟，我看着你们长大，深知你们的秉性。现今的你们，确可称为{{注音|祂|同谐}}最虔信的传颂者…我已知晓你们的决心。,content,梦主
40,*「梦主」：兹事体大，非同等闲。既然瓦尔特先生诚心相求，我自当亲力亲为，以示回应。如有必要，整个橡木家系也可随各位差遣。,content,梦主
41,*「梦主」：星期日，可否使你向祂恳求，降下光芒，并代祂朝我提问，令所有谎言无所遁形？,content,梦主
42,*星期日：谨遵您的旨意。,content,星期日
43,*「梦主」：知更鸟，可否使你临场见证，记录实情，并传述我的清白，令全部污名悉数消散？,content,梦主
44,*知更鸟：谨遵您的旨意。,content,知更鸟
45,*「梦主」：我等愿尔旨承行于地…如于天焉。,content,梦主
46,*星期日：「三重面相的灵魂啊，请你用热铁烙他的舌和手心，使他不能编造谎话，立定假誓。」,content,星期日
47,*「梦主」：开始吧，我没什么好准备的。,content,梦主
48,*星期日：是。,content,星期日
49,*星期日：「试问：你是否始终对你的神虔诚，从未敬拜别神？」,content,星期日
50,*「梦主」：自然如此。,content,梦主
51,*星期日：「你是否爱你的神如同爱你自身，始终记念祂的告诫？」,content,星期日
52,*「梦主」：自然如此。,content,梦主
53,*星期日：「你是否叛离了你的神所期望的路，辜负了祂的名？」,content,星期日
54,*「梦主」：从未有过。,content,梦主
55,*星期日：「你是否对你的神要求僭越，妄图超过受造物的本分？」,content,星期日
56,*「梦主」：从未有过。,content,梦主
57,*星期日：那么，最后一个问题——,content,星期日
58,*星期日：「你是否能够发誓，保证自己必定履行一切所许，无论过往、现今，还是未来？」,content,星期日
59,*「梦主」：星神在上，若我所言不实，或食言背约，则依照律令承受诅咒。,content,梦主
60,*星期日：…祂看到了你的信念，并对你的信念表示认可。如此，即可证明——,content,星期日
61,*瓦尔特：请等一下。,content,瓦尔特
62,*星期日：怎么了，瓦尔特先生？,content,星期日
63,*瓦尔特：各位，我还有个问题希望得到解答。,content,瓦尔特
64,*瓦尔特：据我所知，家族的和睦共荣从来都不依托于所谓的「律令」……,content,瓦尔特
65,*瓦尔特：两位方才口中的「神」，当真是那位{{注音|希佩|同谐}}么？,content,瓦尔特
66,*「梦主」：瓦尔特先生理应知晓，家族子民亲如手足，在祂的光芒下拥抱团结、万众一心，一切二心在「同谐」面前无所遁形。,content,梦主
67,*「梦主」：如此精妙复杂的乐章，若非神主希佩，又有哪一位神明能够完美调和？,content,梦主
68,*瓦尔特：「完美调和」…问题正在于此。在暗中潜移默化改变「同谐」的并非外敌，而是自这曲乐章中暗自诞生的…不协和音。,content,瓦尔特
69,*瓦尔特：在久远的过去，曾有一柱星神存在于世间。祂拨动指节，编织银河律法，祂的信众组成「天外合唱班」，向全宇宙传扬庄严、肃穆的圣歌。,content,瓦尔特
70,*瓦尔特：后来，祂陨落了。这位星神所行的道路与「同谐」产生碰撞，为后者吞纳、同化。那响彻寰宇的合唱一度沉默，再奏响时，已成了谐乐的颂歌……,content,瓦尔特
71,*瓦尔特：纵使星神消亡，也会留下无主的命途。在包容万象的「同谐」中…自然也可能有旧日的杂音悄然滋生。,content,瓦尔特
72,*「梦主」：瓦尔特先生……,content,梦主
73,*「梦主」：过分敏锐绝非益事，尤其是你在孤立无援的时刻。,content,梦主
74,*瓦尔特：哼，果然是这样。,content,瓦尔特
75,*「梦主」：为我等伟业着想，星期日，请二位稍作歇息吧。,content,梦主
76,*知更鸟：什么…？,content,知更鸟
77,:{{颜色|灰|星期日向知更鸟和瓦尔特施加神力}},default,
78,*星期日：对不起，知更鸟，唯独你…我不想你知道这一切。可惜，事与愿违。,content,星期日
79,*知更鸟：所以这才是我无法歌唱的真正原因？笼罩匹诺康尼的阴影，其实是……,content,知更鸟
