line_number,content,category,character
1,{{面包屑}},default,
2,{{提示|绿色|宽度=100%|右键或长按储存表情包，移动端需用浏览器打开，B站客户端内无法保存}},default,
3,"<div class=""resp-tabs"">",default,
4,"<ul class=""resp-tabs-list"">",default,
5,"<li class=""active bili-list-style"">[[file:聊天表情-选项卡-01.png|link=|50px]]</li>",option,开拓者
6,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-02.png|link=|50px]]</li>",option,开拓者
7,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-03.png|link=|50px]]</li>",option,开拓者
8,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-04.png|link=|50px]]</li>",option,开拓者
9,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-05.png|link=|50px]]</li>",option,开拓者
10,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-06.png|link=|50px]]</li>",option,开拓者
11,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-07.png|link=|50px]]</li>",option,开拓者
12,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-08.png|link=|50px]]</li>",option,开拓者
13,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-09.png|link=|50px]]</li>",option,开拓者
14,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-10.png|link=|50px]]</li>",option,开拓者
15,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-11.png|link=|50px]]</li>",option,开拓者
16,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-12.png|link=|50px]]</li>",option,开拓者
17,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-13.png|link=|50px]]</li>",option,开拓者
18,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-14.png|link=|50px]]</li>",option,开拓者
19,"<li class=""bili-list-style"" >[[file:聊天表情-选项卡-00.png|link=|50px]]</li>",option,开拓者
20,</ul>,default,
21,"<div class=""resp-tabs-container"">",default,
22,"<div class=""resp-tab-content img-box"" style=""display:block;"">",default,
23,{{提示|蓝色|宽度=100%|'''帕姆展览馆第1弹 三月七'''}},default,
24,{{#ask:[[file:~聊天表情-01*]][[创建日期::+]]|limit=1000|sep=}},default,
25,</div>,default,
26,"<div class=""resp-tab-content img-box"">",default,
27,{{提示|蓝色|宽度=100%|'''帕姆展览馆第2弹 漫游测试篇'''}},default,
28,{{#ask:[[file:~聊天表情-02*]][[创建日期::+]]|limit=1000|sep=}},default,
29,</div>,default,
30,"<div class=""resp-tab-content img-box"">",default,
31,{{提示|蓝色|宽度=100%|'''帕姆展览馆第3弹 跃迁测试篇'''}},default,
32,{{#ask:[[file:~聊天表情-03*]][[创建日期::+]]|limit=1000|sep=}},default,
33,</div>,default,
34,"<div class=""resp-tab-content img-box"">",default,
35,{{提示|蓝色|宽度=100%|'''帕姆展览馆第4弹'''}},default,
36,{{#ask:[[file:~聊天表情-04*]][[创建日期::+]]|limit=1000|sep=}},default,
37,</div>,default,
38,"<div class=""resp-tab-content img-box"">",default,
39,{{提示|蓝色|宽度=100%|'''帕姆展览馆第5弹'''}},default,
40,{{#ask:[[file:~聊天表情-05*]][[创建日期::+]]|limit=1000|sep=}},default,
41,</div>,default,
42,"<div class=""resp-tab-content img-box"">",default,
43,{{提示|蓝色|宽度=100%|'''帕姆展览馆第6弹 仙骸有终篇'''}},default,
44,{{#ask:[[file:~聊天表情-06*]][[创建日期::+]]|limit=1000|sep=}},default,
45,</div>,default,
46,"<div class=""resp-tab-content img-box"">",default,
47,{{提示|蓝色|宽度=100%|'''帕姆展览馆第7弹 帕姆篇'''}},default,
48,{{#ask:[[file:~聊天表情-07*]][[创建日期::+]]|limit=1000|sep=}},default,
49,</div>,default,
50,"<div class=""resp-tab-content img-box"">",default,
51,{{提示|蓝色|宽度=100%|'''帕姆展览馆第8弹 天镜映劫尘篇'''}},default,
52,{{#ask:[[file:~聊天表情-08*]][[创建日期::+]]|limit=1000|sep=}},default,
53,</div>,default,
54,"<div class=""resp-tab-content img-box"">",default,
55,{{提示|蓝色|宽度=100%|'''帕姆展览馆第9弹 冬梦激醒篇'''}},default,
56,{{#ask:[[file:~聊天表情-09*]][[创建日期::+]]|limit=1000|sep=}},default,
57,</div>,default,
58,"<div class=""resp-tab-content img-box"">",default,
59,{{提示|蓝色|宽度=100%|'''帕姆展览馆第10弹 迷离幻夜谈篇'''}},default,
60,{{#ask:[[file:~聊天表情-10*]][[创建日期::+]]|limit=1000|sep=}},default,
61,</div>,default,
62,"<div class=""resp-tab-content img-box"">",default,
63,{{提示|蓝色|宽度=100%|'''帕姆展览馆第11弹 庸与神的冠冕篇'''}},default,
64,{{#ask:[[file:~聊天表情-11*]][[创建日期::+]]|limit=1000|sep=}},default,
65,</div>,default,
66,"<div class=""resp-tab-content img-box"">",default,
67,{{提示|蓝色|宽度=100%|'''帕姆展览馆第12弹 假如在午夜入梦篇'''}},default,
