line_number,content,category,character
1,{{面包屑}},default,
2,*本页面用于收录《崩坏：星穹铁道》过往联动信息、过往参展信息以及大型同人活动。,content,崩坏
3,==联动一览==,default,
4,*本板块用于收录过往联动信息,default,
5,*各平台的创作者激励、签到、盖楼等等常规活动，以及与乐团共同推出音乐会、与厂商共同推出模玩周边等，皆不计入。,default,
6,*下表中的“角色”为拥有联动新立绘的角色或活动主要角色。,default,
7,===2024===,default,
8,"{| class=""wikitable"" style=""text-align:center""",default,
9,"!style=""width:7%""|时间!!style=""width:20%""|主题!!联动方!!style=""width:5%""|角色!!内容简介!!style=""width:5%""|链接!!图片",default,
10,<!--,default,
11,|-,default,
12,| 24/01/01 || 主题 || 联动方 || 角色 || 内容 || [http://示例 链接]|| [[File:活动名.png|400px]],default,
13,-->,default,
14,|-,default,
15,| 24/08/08 || 一信相伴，共赴星穹 || 中信银行 || [[砂金]]<br>[[托帕]] || 主题借记卡 || [https://t.bilibili.com/962409399758880770 链接]|| [[File:一信相伴，共赴星穹.png|400px]],default,
16,|-,default,
17,| 24/07/26 || 该出奇兵了 || Keep || [[景元]]<br>[[彦卿]]<br>[[藿藿]]<br>[[云璃]] || 两款联名奖牌和定制联动课程 || [https://www.bilibili.com/opus/957214254807646216 链接]|| [[File:该出奇兵了.png|400px]],default,
18,|-,default,
19,| 24/04/26 || 茶韵起仙舟 || 茶百道 || [[景元]]<br>[[符玄]] || 联名饮品、联名周边等 || [https://b23.tv/vXmAtdr 链接] || [[File:茶韵起仙舟.png|400px]],default,
20,|-,default,
21,| 24/01/26 || 龙吟贺岁，驭水新生 || 科颜氏 || [[白露]]<br>[[饮月]] || 联名保湿套装礼盒等 || [https://b23.tv/8fmZ2yR 链接]|| [[File:龙吟贺岁，驭水新生.png|400px]],default,
22,|-,default,
23,| 24/01/01 || 浮光跃金，龙凤呈祥 || 老凤祥 || [[饮月]] || 联名金品 || [https://www.bilibili.com/opus/881520562705268738?spm_id_from=333.999.0.0 链接]|| [[File:老凤祥联动.png|400px]],default,
24,|},default,
25,===2023===,default,
26,"{| class=""wikitable"" style=""text-align:center""",default,
27,"!style=""width:7%""|时间!!style=""width:20%""|主题!!联动方!!style=""width:5%""|角色!!内容简介!!style=""width:5%""|链接!!图片",default,
28,|-,default,
29,| 23/12/27 ||听阮寻梅，江南览物 || 苏州博物馆 || [[阮•梅]] ||列车、角色造景，阮•梅语音讲解，主题明信片 ||[https://t.bilibili.com/877894777049186336?tab=2 链接]|| [[File:听阮寻梅，江南览物.png|400px]],default,
30,|-,default,
31,| 23/12/08 ||向一朵玫瑰起誓 || 北京园科院 || [[银枝]] ||「银枝」同名玫瑰特别企划——全新玫瑰品种「银枝」限定花艺装置展出，现场互动领取首批「银枝」玫瑰及银枝角色款式香氛卡 ||[https://www.bilibili.com/opus/870102052826513508?spm_id_from=333.999.0.0 链接]|| [[File:向一朵玫瑰起誓.png|400px]],default,
32,|-,default,
33,| 23/10/26 || 崩跑吧，开拓者 || Keep || [[帕姆]]<br>[[呜呜伯]] || 参与公益线上跑活动，得帕姆&呜呜伯实体奖牌 || [https://www.miyoushe.com/sr/article/44856327 攻略]<br>[https://www.miyoushe.com/sr/article/44840124 PV]<br>[https://www.miyoushe.com/sr/article/44832883 机制] || [[File:崩跑吧，开拓者.png|400px]],default,
34,|-,default,
35,| 23/10/20 || 迈向星穹，根本停不下来！ || 炫迈 || [[卡芙卡]]<br>[[银狼]] || 联名包装无糖口香糖产品，含周边礼包 || [https://www.miyoushe.com/sr/article/44676422 链接] || [[File:迈向星穹，根本停不下来！.png|400px]],default,
36,|-,default,
37,| 23/09/29 || 三月七语音上线 || 百度地图 || [[三月七]] || 三月七语音包现已正式上线，前往百度地图搜索「三月七」，即可下载三月七语音噢！ || [https://www.miyoushe.com/sr/article/43919385 链接] || [[File:三月七语音上线.png|400px]],default,
38,|-,default,
39,| 23/09/29 || 列车环游记•成都站 || 成都文旅 || [[青雀]] || 主题展、KFC主题快闪店、大屏 || [https://www.miyoushe.com/sr/article/43754021 链接] || [[File:列车环游记•成都站.png|400px]],default,
40,|-,default,
41,| 23/09/22 || 星穹开拓，美味启航 || 肯德基 || [[丹恒]]<br>[[三月七]] || 联动套餐、联名主题店、联动立绘周边 || [https://www.miyoushe.com/sr/article/42542420 预告]<br>[https://www.miyoushe.com/sr/article/43548407 说明] || [[File:星穹开拓，美味启航.png|400px]],default,
42,|-,default,
43,| 23/09/06 || 白露吃白食 || 饿了么 || [[白露]] || 参与活动抢限量霸王餐和活动周边（白露主题贴纸、杯套和外卖袋） || [https://www.miyoushe.com/sr/article/43148477 链接] || [[File:白露吃白食.png|400px]],default,
44,|-,default,
45,| 23/07/17 || 星穹铁道x暑期畅玩 || Apple授权专营店 || - || 前往指定Apple专营店，在Apple设备上体验游戏，领取「通往群星的轨道」海报 || [https://www.miyoushe.com/sr/article/41255897 链接] || [[File:星穹铁道x暑期畅玩.png|400px]],default,
46,|-,default,
47,| 23/05/13 || 列车环游记•黟县站 || 西递、宏村 || [[丹恒]] || 一站式cos摄影体验、门票兑换联动明信片、现场互动 || [https://www.miyoushe.com/sr/article/38916664 内容]<br>[https://www.miyoushe.com/sr/article/39041741 PV] || [[File:列车环游记•黟县站.png|400px]],default,
48,|-,default,
49,| 23/04/29 || 漫游群星 绿色出行 || 支付宝 || - || 支付宝出行绿色里程兑换开拓者主题（支付宝）皮肤，支付宝积分兑换支付宝付款码皮肤、头像框、壁纸 || [https://www.miyoushe.com/sr/article/38582996 出行]<br>[https://www.miyoushe.com/sr/article/39002248 积分] || [[File:漫游群星 绿色出行.png|400px]],default,
50,|-,default,
51,| 23/04/28 || 与群星相会 || 上海天文馆 || [[黑塔]]<br>[[艾丝妲]] || 馆内设置主题活动、主题饮品 || [https://www.miyoushe.com/sr/article/38535067 链接] || [[File:与群星相会.png|400px]],default,
52,|},default,
53,==参展一览==,default,
54,（待补充）,default,
55,==漫展/音乐会==,default,
56,"{| class=""wikitable"" style=""text-align:center; width:100%""",default,
57,!时间!!主题!!动态!!活动页!!图片,default,
58,<!-- |-,default,
59,| 24/02/04,default,
60,| 待补充,default,
61,| [待补充 链接],default,
62,| [待补充 链接],default,
63,| [[File:待补充.png|400px]] -->,default,
64,|-,default,
65,| 24/05/02,default,
66,| 「星铁LAND」2024星穹铁道嘉年华,default,
67,| [https://www.bilibili.com/opus/920570882090336274 链接],default,
68,| [https://mhyurl.cn/a3QiFBAL 链接],default,
69,| [[File:「星铁LAND」2024星穹铁道嘉年华.png|400px]],default,
70,|-,default,
71,| 24/05/01,default,
72,| 「星铁LIVE」2024星穹铁道演唱会,default,
73,| [https://www.bilibili.com/opus/920569606495535201 链接],default,
74,| [https://mhyurl.cn/22QiFBAL 链接],default,
75,| [[File:「星铁LIVE」2024星穹铁道演唱会.png|400px]],default,
76,|},default,
77,==大型同人活动一览==,default,
78,*本板块用于收录大型同人活动，如新春会、生日会等。,default,
79,*收录标准为崩坏星穹铁道'''官方账号转发'''。,default,
80,*国内星穹铁道大型同人活动企划组为[https://space.bilibili.com/3494354037508764 星穹餐车茶话会]。,default,
81,"{| class=""wikitable"" style=""text-align:center; width:100%""",default,
82,!时间!!主题!!企划组!!动态!!活动页!!图片,default,
83,|-,default,
84,| 24/10/01,default,
85,| 「星穹铁道造物大赛」,default,
86,| 星穹餐车茶话会,default,
87,| [https://t.bilibili.com/983190173849223188 链接],default,
88,| [https://www.bilibili.com/festival/zwds 链接],default,
89,| [[File:造物大赛.png|400px]],default,
90,|-,default,
91,| 24/04/27,default,
92,| 2024「崩坏：星穹铁道生日会」,content,崩坏
93,| 星穹餐车茶话会,default,
94,| [https://t.bilibili.com/924914356739637367 链接],default,
95,| [https://www.bilibili.com/festival/honkaistarrail2024birthday 链接],default,
96,| [[File:2024生日会.png|400px]],default,
97,|-,default,
98,| 24/02/04,default,
99,| 2024「崩坏：星穹铁道新春会」,content,崩坏
100,| 星穹餐车茶话会,default,
101,| [https://t.bilibili.com/884119739441348616 链接],default,
102,| [https://www.bilibili.com/blackboard/live/activity-cGMfAfl9D5.html 链接],default,
103,| [[File:2024新春会.png|400px]],default,
104,|},default,
