line_number,content,category,character
1,{{攻略,default,
2,|标题=能量恢复机制解说,default,
3,|文章上级页面=新手教程         <!--在：游戏更新公告、游戏攻略、活动专题中选填一个，不填则文章不会被分类检索-->,content,在
4,|时间=20230514         <!--文章发布时间，格式：20190703-->,content,格式
5,|是否原创=是         <!--是或否-->,default,
6,|作者=子临           <!--原创者ID、昵称或姓名-->,default,
7,|来源=           <!--贴吧、NGA、bigfun或其他来源，原创文章不填此项-->,default,
8,|原文地址=        <!--非原创内容请务必填写此项，复制原贴链接即可-->,default,
9,|攻略封面图=测试攻略封面.png    <!--尺寸:240 x 150-->,default,
10,|版本=1.0        <!--游戏版本-->,default,
11,|TAG=能量回复、游戏机制、数据收集 <!--支持多个，用、号隔开-->,default,
12,}},default,
13,== 1.基础回能机制 ==,default,
14,关于能量首先最基础的也是最有用的：<br>,content,关于能量首先最基础的也是最有用的
15,"{| class=""wikitable""",default,
16,|+ 角色各技能的基础回能,default,
17,|-,default,
18,! 技能 !! 基础回能 !! 特殊,default,
19,|-,default,
20,| 普攻 || 20 ||,default,
21,|-,default,
22,| 战技 || 30 ||,default,
23,|-,default,
24,| 终结技 || 5 || {{图标|开拓者•毁灭}}通过终结技强化的普攻、战技视作为终结技,default,
25,|-,default,
26,| 弹射战技 || 6|| {{图标|瓦尔特}} 为10,default,
27,|-,default,
28,| 追击攻击 || 10 || {{图标|黑塔}}{{图标|克拉拉}}为5,default,
29,|},default,
30,'''普攻20，战技30，终结技释放5，击杀10'''，同时部分角色回能特殊一点：<br>,content,同时部分角色回能特殊一点
31,{{图标|三月七}}{{图标|姬子}}{{图标|彦卿}} 追击10能量<br>,default,
32,{{图标|黑塔}}{{图标|克拉拉}} 追击5能量<br>,default,
33,{{图标|艾丝妲}} 战技弹射5连击，每次回6，即1魂变成6*6<br>,default,
34,{{图标|瓦尔特}} 战技弹射3连击，每次回10，即6魂变成4*10 <br>,default,
35,{{图标|景元}} 神君的攻击为群体追加攻击但并无能量回复<br>,default,
36,== 2.能量恢复效率 ==,default,
37,'''能量回复计算公式=基础回能*（1+能量回复效率）'''<br><br>,default,
38,能量恢复包含：角色行动回能，角色天赋回能，角色星魂回能，光锥回能等。（但对停云的回能不生效）,content,能量恢复包含
39,== 3.受击回能 ==,default,
40,主要和怪物释放的技能类别关系较大，引用[https://www.miyoushe.com/sr/accountCenter/postList?id=291537017 666bj]大佬的图，如下<br><br>,default,
41,"[[File:能量恢复机制解说-敌人技能数据.png|600px]]<br><br><ref name=""来源""></ref><br><br>",default,
42,以及角色能量上限参数图：<br><br>,content,以及角色能量上限参数图
43,,default,
44,"[[File:能量恢复机制解说-角色技能数据.png|600px]]<br><br><ref name=""来源"">[https://www.miyoushe.com/sr/article/38671867 666bj-【V1.0攻略】星铁数据机制通论]</ref>",default,
45,==参考资料==,default,
46,[[分类:攻略]][[分类:战斗]],default,
