line_number,content,category,character
1,{{角色图鉴,default,
2,|名称=艾丝妲,default,
3,|外文名=Asta,default,
4,|称号=,default,
5,|全名=,default,
6,|性别=女,default,
7,|稀有度=4星,default,
8,|限定=否,default,
9,|阵营=空间站「黑塔」,default,
10,|命途=同谐,default,
11,|命途材料=同谐1,default,
12,|元素属性=火,default,
13,|介绍=空间站「黑塔」的站长，出身名门的大小姐。<br>好奇心旺盛的天文研究者，擅长管理空间站各抒己见的科员。,default,
14,|TAG=加攻、速度提升、额外伤害、持续伤害、增伤、防御力,default,
15,|实装日期=2023年04月26日,default,
16,|实装版本=1.0,default,
17,|昵称/外号=站长、{{黑幕|富婆}}、大小姐（阿兰）、{{黑幕|知名不具}},default,
18,|体型=女青年,default,
19,|种族=人类,default,
20,|职业=空间站「黑塔」站长,default,
21,|短信签名=不能再买了…,default,
22,|所在位置=空间站「黑塔」-主控舱段<!-- 地图名称 -->,default,
23,|中文CV=龟娘,default,
24,|日文CV=赤﨑千夏,default,
25,|韩文CV=김현지,default,
26,|英文CV=Felecia Angelle,default,
27,|卷首语=「乌龟星系慢吞吞地生成新的恒星，一眨眼就用完了所有燃料的，就是兔子星系啦。」,default,
28,|角色详细=好奇心与精力都很旺盛的少女，空间站「黑塔」的名义站长。<br>无论是管理各抒己见的科员，还是直接又不失礼貌地回复博识学会的种种刁难，对艾丝妲来说都易如反掌。<br>毕竟指挥空间站…总比继承家业简单吧！,default,
29,|角色故事1=当艾丝妲年纪尚小，却已经开始自行挑选望远镜时，耳旁总隐隐约约传来长辈的赞叹。她对此颇为自豪，因为望远镜的主镜工艺、导星系统，她看一眼便知。<br><br>,default,
30,直到有一天她走近偷听时，才发觉他们只是在啧啧称奇，一个小姑娘居然能挑中如此昂贵的物件。<br><br>,default,
31,个人喜好在看客眼中并不存在，他们只愿意将她当作一个养尊处优的小姑娘而已。<br><br>,default,
32,''「喜欢星星？噢我懂，小姑娘嘛，喜欢亮晶晶的东西。」<br>「嗯…我在研究恒星胚胎，希望有一天由我发现的星星，也能以我的名字命名…就像那些厉害的天文学家一样……」<br>「就这点小事？今年的生日礼物，就用你的名字给这颗星球命名吧？两颗也行，没多少钱。」<br>「……」<br>「喂，艾丝妲你去哪，艾丝妲！」'',default,
33,|角色故事2=她明白，她和母亲是否是合格的义工并不重要。人们只是希望她们出现在这里，仅此而已。<br><br>,default,
34,食物分完了，人们也陆陆续续散去，只剩下一个小男孩。他右手有伤，眼神像狼一样，瞪得她有点不爽。<br><br>,default,
35,''「你也要问我借钱么？」<br>「我不要钱。我得还刚刚的饭钱，但我现在没钱。」''<br><br>,default,
36,时常有不认识的「朋友」前来找艾丝妲借钱，但她第一次听到有人要还她钱，惊异地睁大了眼睛。一旁的母亲也忍俊不禁。<br><br>,default,
37,''「你还是个孩子吧，会干什么？」<br>「打架。」<br>「这可不是个好工作——这样吧，我这儿有个工作介绍给你。」''<br><br>,default,
38,——时至今日，在艾丝妲心中，阿兰的那顿饭钱，在他说出要还钱的那个时刻，就已经结清了。,default,
39,|故事2角色=阿兰,default,
40,|角色故事3=''「星星尚且能遵循自己的轨迹穿行，那人类呢…人类真的无法掌握自己的命运吗？」''<br><br>,default,
41,优渥的家庭背景给予了艾丝妲探索星空的力量，但也成为了她本人的束缚。<br><br>,default,
42,随着年岁增长，艾丝妲想当天文学家的誓言，逐渐被家族视为某种旁门左道——她甚至不记得已经有多少次在家族会议上和亲戚争论这个问题了。<br><br>,default,
43,直到某次会议结束后，一个人偶少女从门外走入。而刚刚还盛气凌人的其中一人，在她身旁却是一副唯唯诺诺的姿态。<br><br>,default,
44,''「就这个小姑娘吧。」<br>「但是她…」<br>「什么但是，我大老远过来听你们那些狗屁不通的学术汇报，还不如听这小姑娘和你们吵架有趣。」<br>「……」<br>「三天之内，我要在空间站里看到她。」''<br><br>,default,
45,人偶少女说完，头也不回地离去。,default,
46,|故事3角色=黑塔,default,
47,|角色故事4=成为空间站「黑塔」的站长后，艾丝妲的生活相较从前更为忙碌。她需要管理各抒己见的科员，替黑塔回复多如牛毛的信件，以及频繁和公司交涉，从各种渠道购置新的设备…但与此同时，她也在这里获得了最大的自由——<br><br>,default,
48,''「调用2号设备舱的纽尔•伊曼望远镜，设置100倍天文单位，观测前方『星前云核』。」<br>「要特别注意粒子密度，一旦发现超致密结构，马上开始记录『恒星胚胎』的分裂过程。」''<br><br>,default,
49,闲暇时，艾丝妲偶尔也会想起，自从自己接手这个空间站之后，黑塔女士已经许久没有出现。她也曾询问过，得到的只是「没有趣的新东西，我就不来了」这样的回复。<br><br>,default,
50,''「…还不如听这小姑娘和你们吵架有趣。」''<br><br>,default,
51,她想起很久以前的那一天，黑塔漫不经心地跟身边人说道。<br><br>,default,
52,回忆中的黑塔仿佛站在绚烂的星光中，带给她掌控星空与自己命运的力量。,default,
53,|故事4角色=黑塔,default,
54,|晋阶属性材料=恒温晶壳,default,
55,|晋阶系列材料=铁卫,default,
56,|速度=106,default,
57,|能量上限=120,default,
58,|生命值=139,default,
59,|20生命值=271,default,
60,|20+生命值=327,default,
61,|30生命值=396,default,
62,|30+生命值=452,default,
63,|40生命值=522,default,
64,|40+生命值=577,default,
65,|50生命值=647,default,
66,|50+生命值=702,default,
67,|60生命值=772,default,
68,|60+生命值=828,default,
69,|70生命值=897,default,
70,|70+生命值=953,default,
71,|80生命值=1023,default,
72,|攻击力=69,default,
73,|20攻击力=135,default,
74,|20+攻击力=163,default,
75,|30攻击力=198,default,
76,|30+攻击力=226,default,
77,|40攻击力=261,default,
78,|40+攻击力=288,default,
79,|50攻击力=323,default,
80,|50+攻击力=351,default,
81,|60攻击力=386,default,
82,|60+攻击力=414,default,
83,|70攻击力=448,default,
84,|70+攻击力=476,default,
85,|80攻击力=511,default,
86,|防御力=63,default,
87,|30防御力=179,default,
88,|30+防御力=204,default,
89,|20防御力=122,default,
90,|20+防御力=148,default,
91,|40防御力=236,default,
92,|40+防御力=261,default,
93,|50防御力=292,default,
94,|50+防御力=318,default,
95,|60防御力=349,default,
96,|60+防御力=374,default,
97,|70防御力=406,default,
98,|70+防御力=431,default,
99,|80防御力=463,default,
100,|星魂1=星有无言之歌,default,
101,|星魂1描述=施放战技时，对敌方随机单体额外造成1次伤害。,default,
102,|星魂2=月见圆缺之意,default,
103,|星魂2描述=施放终结技时，艾丝妲下回合不会减少蓄能层数。,default,
104,|星魂3=黄道陨石之变,default,
105,|星魂3描述=战技等级+2，最多不超过15级；天赋等级+2，最多不超过15级。,default,
106,|星魂4=极光显现之时,default,
107,|星魂4描述=天赋的蓄能层数大于等于{{颜色|描述2|2}}时，艾丝妲的能量恢复效率提高{{颜色|描述2|15%}}。,default,
108,|星魂5=深空天体之谜,default,
109,|星魂5描述=终结技等级+2，最多不超过15级；普攻等级+1，最多不超过10级。,default,
110,|星魂6=眠于银河之下,default,
111,|星魂6描述=天赋每回合减少的蓄能层数降低{{颜色|描述2|1}}。,default,
112,|周本材料=毁灭者的末路,default,
113,}},default,
114,==行迹==,default,
115,{{角色/行迹,default,
116,|命途=同谐,default,
117,|命途材料=同谐1,default,
118,|普攻=光谱射线,default,
119,|战技=流星群落,default,
120,|终结技=星空祝言,default,
121,|天赋=天象学,default,
122,|秘技=灵光一现,default,
123,|普攻TAG=单攻,default,
124,|普攻描述=对指定敌方单体造成等同于艾丝妲{{颜色|描述2|50%/100%}}攻击力的{{颜色|火|火属性伤害}}。,default,
125,|普攻效果加成=额外能力1,default,
126,|战技TAG=弹射,default,
127,|战技描述=对指定敌方单体造成等同于艾丝妲{{颜色|描述2|25%/50%}}攻击力的{{颜色|火|火属性伤害}}，并额外造成4次伤害。每次伤害对随机敌方单体造成等同于艾丝妲{{颜色|描述2|25%/50%}}攻击力的{{颜色|火|火属性伤害}}。,default,
128,|战技能量=6,default,
129,|战技效果加成=星魂1,default,
130,|战技属性数=2,default,
131,|战技属性1=战技单体伤害,default,
132,|战技属性1LV1=25%攻击力,default,
133,|战技属性1LV2=27.5%攻击力,default,
134,|战技属性1LV3=30%攻击力,default,
135,|战技属性1LV4=32.5%攻击力,default,
136,|战技属性1LV5=35%攻击力,default,
137,|战技属性1LV6=37.5%攻击力,default,
138,|战技属性1LV7=40.62%攻击力,default,
139,|战技属性1LV8=43.75%攻击力,default,
140,|战技属性1LV9=46.88%攻击力,default,
141,|战技属性1LV10=50%攻击力,default,
142,|战技属性1LV11=52.5%攻击力,default,
143,|战技属性1LV12=55%攻击力,default,
144,|战技属性1LV13=57.5%攻击力,default,
145,|战技属性1LV14=60%攻击力,default,
146,|战技属性1LV15=62.5%攻击力,default,
147,|战技属性2=战技弹射伤害,default,
148,|战技属性2LV1=25%攻击力,default,
149,|战技属性2LV2=27.5%攻击力,default,
150,|战技属性2LV3=30%攻击力,default,
151,|战技属性2LV4=32.5%攻击力,default,
152,|战技属性2LV5=35%攻击力,default,
153,|战技属性2LV6=37.5%攻击力,default,
