line_number,content,category,character
1,{{角色图鉴,default,
2,|名称=虎克,default,
3,|外文名=Hook,default,
4,|称号=漆黑的虎克大人！,default,
5,|全名=,default,
6,|性别=女,default,
7,|稀有度=4星,default,
8,|限定=否,default,
9,|阵营=贝洛伯格,default,
10,|命途=毁灭,default,
11,|命途材料=毁灭1,default,
12,|元素属性=火,default,
13,|介绍=地底冒险团队「鼹鼠党」的老大（自封）。<br>热爱自由，将生活视为一场又一场冒险。,default,
14,|TAG=技能强化、持续伤害、附加伤害、能量、自身治疗、自身行动提前、控制抵抗,default,
15,|实装日期=2023年04月26日,default,
16,|实装版本=1.0,default,
17,|昵称/外号=漆黑的虎克大人,default,
18,|体型=幼女,default,
19,|种族=人类,default,
20,|短信签名=鼹鼠党！搏击俱乐部集合！,default,
21,|所在位置=雅利洛-Ⅵ-磐岩镇-搏击俱乐部外<!-- 地图名称 -->,default,
22,|中文CV=王晓彤,default,
23,|日文CV=徳井青空,default,
24,|韩文CV=이재현,default,
25,|英文CV=Felecia Angelle,default,
26,|卷首语=「你问我是谁？我就是罩着这里的老大，你可以叫我，漆黑的虎克大人！」,default,
27,|角色详细=冒险集团「鼹鼠党」的头头，自称「漆黑的虎克大人」。<br>不喜欢被人称作小家伙，认为自己不依靠大人也能独挡一面。<br>大人们去裂界里冒险，桑博先生去地面上冒险，病人们冒险接受娜塔莎的治疗…在虎克的带领下，孩子们也要有自己的冒险！,default,
28,|角色故事1=''「██年██月██日  天气：非常好  心情：非常不好」''<br><br>''「今天，我打破了老巫婆的一个 <s> 式管</s> <s> 试官 </s> 试管，被批评了一顿。」''<br><br>''「老巫婆好凶！她总是不让我们中午一起玩，只能睡午觉，太讨厌了！」''<br><br>''「我们应该反抗她的 <s> 抱正 </s> <s> 抱政 </s><s> 饱政 </s> 暴政！不能让她<s> 为为所所 </s> <s> 为所为欲 </s> 为所欲为！」''<br><br>''「我要成立一个『鼹鼠党』，把诊所里的小朋友全都 <s> 抓 </s> <s> 逮捕 </s> <s> 要请 </s> 邀请进来！一起反抗那个老巫婆！然后，我们就一起吃好吃的、玩好玩的，没有人可以阻止我们！」''<br><br>''「我就是这个鼹鼠党的老大！还有，是诊所的老大！我要每天狠狠批评老巫婆，还要让她每天做 <s> 清务 </s> <s> 家洁 </s> 清洁！哈哈哈哈哈！」'',content,天气
