line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,<gallery mode=nolines>,default,
4,虎克手机壳.jpg|虎克手机壳,default,
5,虎克壁纸.png|虎克手机壁纸,default,
6,</gallery>,default,
7,,default,
8,{{相关光锥|虎克}},default,
9,,default,
10,{{人物出场|虎克|分栏=是}},default,
11,==相关物品==,default,
12,{{相关物品|虎克}},default,
13,==角色对话==,default,
14,===大世界对话===,default,
15,{{折叠|折叠=是|标题=大世界对话-首次|内容=,default,
16,}},default,
17,,default,
18,{{折叠|折叠=是|标题=大世界对话-日常|内容=,default,
19,'''完成雅利洛-Ⅵ主线''',default,
20,*虎克：哦，我们又见面了！,content,虎克
21,*虎克：找我有什么事吗，荣誉队员？,content,虎克
22,{{剧情选项,default,
23,|选项1=我来和虎克聊聊天。,option,开拓者
24,|图标1=对话,default,
25,|剧情1=*虎克：要叫我漆黑的虎克大人！,branch_content,虎克
26,{{剧情选项,default,
27,|选项1=我想多了解一些鼹鼠党的事。,option,开拓者
28,|图标1=对话,default,
29,|剧情1=*虎克：看在你是荣誉队员的份上，我就给你透露一些鼹鼠党的机密吧！,branch_content,虎克
30,{{剧情选项,default,
31,|选项1=鼹鼠党都有谁？,option,开拓者
32,|图标1=对话,default,
33,|剧情1=*虎克：鼹鼠党的成员可多了！虎克得想想……,branch_content,虎克
34,*虎克：嗯……,content,虎克
35,*虎克：算了，不想了！虎克就随便说几个吧。,content,虎克
36,*虎克：鼹鼠党现在的知名队员有——漆黑的虎克大人、千面尤利安、小提米、铁臂卢卡！,content,虎克
37,*虎克：啊，还有一些人虽然没有加入鼹鼠党，但是我们的荣誉队员！比如伊莎贝拉姐姐、阿丽娜、克拉拉……,content,虎克
38,*虎克：…还有你！,content,虎克
39,{{剧情选项,default,
40,|选项1=人可真不少。,option,开拓者
41,|图标1=返回,default,
42,|剧情1=*虎克：当然啦，毕竟是我漆黑的虎克大人的鼹鼠党！,branch_content,虎克
43,|选项2=还有克拉拉？,option,开拓者
44,|图标2=返回,default,
45,|剧情2=*虎克：是呀！她不住在磐岩镇上，但偶尔会来诊所找我们玩！,branch_content,虎克
46,|选项3=谢谢虎克老大能记得我。,option,开拓者
47,|图标3=返回,default,
48,|剧情3=*虎克：喂，你这说的是什么话！我可是鼹鼠党的老大，当然得记住组织里的每个成员啦！,branch_content,虎克
49,}},default,
50,|选项2=要加入鼹鼠党需要做什么准备？,option,开拓者
51,|图标2=对话,default,
52,|剧情2=*虎克：加入鼹鼠党的条件很复杂哦，而且我可是会经常换的，你要记好了！,branch_content,虎克
53,*虎克：现在的加入条件是…没有跟老巫婆和希儿姐姐告过状，外加十包雪地跳跳糖！,content,虎克
54,|选项3=加入鼹鼠党有什么好处？,option,开拓者
55,|图标3=对话,default,
56,|剧情3=*虎克：当然有啦，而且有很多！,branch_content,虎克
