line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=螣蛇无穴，旧梦亡阙,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓任务,default,
6,|角色=丹恒,default,
7,|所属版本=1.2,default,
8,|任务描述=另一边，联系上云骑的素裳将船停靠在了丹鼎司的行医市集，歧路多舛的三人终于靠岸。这儿曾是你{{黑幕|丹恒，后同}}熟悉故土的一角，旧日的回忆纷纷涌现，数不清的影子徘徊来去。不过，眼下朋友们音讯不明，你不打算继续在此停留。,default,
9,|奖励=无,default,
10,|任务条件=开拓任务[[金鼎灵树，穷途梼杌]]中开启,default,
11,|开放等级=34,default,
12,|相关成就=,default,
13,|相关道具=,default,
14,|相关书籍=,default,
15,|出场人物=丹恒、素裳、罗刹、彦卿、卡芙卡、刃、丹恒•饮月、景元,default,
16,|系列任务=云树百丈蔽重楼,default,
17,|任务编号=02,default,
18,|前置任务=*[[金鼎灵树，穷途梼杌]],default,
19,|后续任务=*[[得其雨露，安其壤土]],default,
20,|任务流程=*（可选）与市集内的人交谈了解情况,default,
21,*独自离开行医市集,default,
22,*追寻开拓者等人的去向,default,
23,*乘坐星槎进入鳞渊境,default,
24,}},default,
25,==剧情内容==,default,
26,:{{颜色|描述|稍早些时候…}},default,
27,:{{颜色|描述|载着丹恒、素裳与罗刹的小舟姗姗来迟，停靠在丹鼎司…}},default,
28,*素裳：唔，这里是……,content,素裳
29,{{剧情选项,default,
30,|选项1=丹鼎司。,option,开拓者
31,|选项2=毗邻鳞渊境的洞天。,option,开拓者
32,}},default,
33,*素裳：咦，你倒是很熟嘛……,content,素裳
34,*素裳：嗯，是丹鼎司没错，难怪船半路上断断续续收到几条军令，说云骑在此集结，想必是为了解决星核的问题。,content,素裳
35,*素裳：终于！走了这一路，终于能见着云骑的影子。可算归队了！,content,素裳
36,*素裳：我没骗你们吧？说把你们带到安全的地方，就言出必践！虽然…绕了点远路……,content,素裳
37,*罗刹：我去星槎海前，曾找一位卜者测算此次出行的吉凶。他说「随而有获」，让我不必在意去向，只要随波逐流，便能有所收获。,content,罗刹
38,*素裳：…呃，什么意思。,content,素裳
39,*罗刹：就是说，谢谢素裳姑娘了。,content,罗刹
40,*素裳：哦…好吧，我去向这儿的云骑长官报备了。,content,素裳
41,*素裳：你们在这附近转转吧，可别乱跑，一会儿会有云骑来送你们回去。有缘再见啦！,content,素裳
42,:{{颜色|描述|素裳走向一旁的云骑长官…}},default,
43,----,default,
44,{{角色对话|模板开始|开拓者}},default,
45,{{角色对话|左|开拓者|文本|云骑军邀请我们一起行动}},default,
46,{{角色对话|左|开拓者|文本|你老家的丹炉可真够大的}},default,
47,{{角色对话|左|开拓者|图片|短信-丹恒-丹炉.png}},default,
48,{{短信选项,option,开拓者
49,|选项1=云骑军？,option,开拓者
50,|剧情1={{角色对话|右|丹恒|文本|你们和云骑军在一起做什么？}},branch_content,
51,|选项2=太真丹室？,option,开拓者
52,|剧情2={{角色对话|右|丹恒|文本|你们在「太真丹室」那边做什么？}},branch_content,
53,}},default,
54,{{短信警告|信息发送失败}},default,
55,{{角色对话|模板结束}},default,
56,*丹恒：（永远接不通的消息…真麻烦。也不知开拓者，三月和杨叔那边发生了什么……）,content,丹恒
57,*丹恒：（云骑军似乎正在为了星核灾变而集结…但卡芙卡为什么要我们过来？他们怎么样了，刃又怎么样了？）,content,丹恒
58,*丹恒：（耽搁的时间太久了，需要情报……）,content,丹恒
59,,default,
60,===（可选）与市集内的人交谈了解情况===,default,
61,{{任务描述|另一边，联系上云骑的素裳将船停靠在了丹鼎司的行医市集，歧路多舛的三人终于靠岸。这儿曾是你{{黑幕|丹恒，后同}}熟悉故土的一角，旧日的回忆纷纷涌现，数不清的影子徘徊来去。不过，眼下朋友们音讯不明，你不打算继续在此停留。|仙舟「罗浮」-丹鼎司}},default,
62,{{折叠|标题=额外对话（试图离开云骑军戍守范围）|内容=,default,
63,*丹恒：（看来这条道已被云骑军把守住了，得另寻出处离开…）,content,丹恒
64,|折叠=是}},default,
65,{{折叠|标题=额外对话（癫狂的信徒）|内容=,default,
66,*癫狂的信徒：魁首大人败了？怎么可能…怎么可能怎么可能！,content,癫狂的信徒
67,|折叠=是}},default,
68,{{折叠|标题=额外对话（天舶司的狐人）|内容=,default,
69,*天舶司的狐人：据说星槎通航正在恢复，滞留在丹鼎司的人很快就能回去了。,content,天舶司的狐人
70,|折叠=是}},default,
71,{{折叠|标题=额外对话（兴奋的云骑军）|内容=,default,
72,*兴奋的云骑军：前方捷报！云霞紫府那边的「药王秘传」歹人已全数歼灭。,content,兴奋的云骑军
73,|折叠=是}},default,
74,{{折叠|标题=额外对话（低声念叨的云骑）|内容=,default,
75,*低声念叨的云骑：那些异邦人竟然胜了「药王秘传」，这岂不显得我们毫无作为？,content,低声念叨的云骑
76,*低声念叨的云骑：这、这战报该如何写才能显我军威风啊…？,content,低声念叨的云骑
77,|折叠=是}},default,
78,{{折叠|标题=额外对话（恢复精神的云骑）|内容=,default,
79,*恢复精神的云骑：亏得有义士帮助，咱们才能渡过难关。将军请来的这些客人，莫非是曾经名声赫赫的「巡海游侠」？,content,恢复精神的云骑
80,|折叠=是}},default,
81,{{折叠|标题=额外对话（被俘的信徒）|内容=,default,
82,*被俘的信徒：魁首大人的失败，定是因为心志不坚，无法唤来药王的庇佑。,content,被俘的信徒
83,*被俘的信徒：你们等着瞧，我会…让你们见识药王的恩赐。,content,被俘的信徒
84,|折叠=是}},default,
85,{{折叠|标题=额外对话（素裳）|内容=,default,
86,*素裳：怎么啦？,content,素裳
87,{{剧情选项,default,
88,|选项1=我得走了。,option,开拓者
89,|剧情1=*素裳：走？你现在能去哪儿啊？罗浮还在封锁中，云骑军的行动还没结束呢。,branch_content,素裳
90,*素裳：别急，等战事落定，我亲自送你和罗刹先生回家~,content,素裳
91,|选项2=不，没什么…,option,开拓者
92,|剧情2=*素裳：别担心。等战事落定，我亲自送你和罗刹先生回家~,branch_content,素裳
93,}},default,
94,|折叠=是}},default,
95,{{折叠|标题=额外对话（罗刹）|内容=,default,
96,*罗刹：丹恒兄很久没回故乡了吧？,content,罗刹
