line_number,content,category,character
1,{{专辑,default,
2,|专辑名=行于命途 Experience the Paths,default,
3,|发行时间=2023/10/27,default,
4,|专辑类型=PV主题OST,default,
5,|出品/发行=miHoYo/HOYO-MiX,default,
6,|曲目数=33,default,
7,|简介=《崩坏：星穹铁道》首张PV主题OST《行于命途 Experience the Paths》正式上线，专辑共收录了33首由HOYO-MiX音乐团队为《崩坏：星穹铁道》创作的原声音乐。,content,崩坏
8,|官方公告链接=https://t.bilibili.com/856742896371499104?tab=2,default,
9,|B站视频标题=<!-- 没有则留空 -->,default,
10,|B站视频BV号=<!-- 没有则留空 -->,default,
11,|幕后故事标题=<!-- 没有则留空 -->,default,
12,|幕后故事BV号=<!-- 没有则留空 -->,default,
13,|QQ音乐链接=,default,
14,|酷狗音乐链接=,default,
15,|酷我音乐链接=,default,
16,|制作人员=<!-- 没有则留空 -->,default,
17,}},default,
18,==曲目列表==,default,
19,<center>,default,
20,"{| class=""wikitable"" style=text-align:center;width:100%""",default,
21,|-,default,
22,!序号!!曲目!! 外文名!!简介!!应用,default,
23,|-,default,
24,"|1||下一站，银河！||Next Stop,the Stars!||待补充||《崩坏：星穹铁道》始发PV：下一站，银河！",content,崩坏
25,|-,default,
26,|2||来，拍照啦！||Let's Take a Photo!||待补充||《崩坏：星穹铁道》三月七角色PV——「来，拍照啦！」,content,崩坏
27,|-,default,
28,|3||你的选择||Your Choice||待补充||《崩坏：星穹铁道》漫游PV：「你」的选择,content,崩坏
29,|-,default,
30,|4||引爆在即！||The Cusp of Ignition!||待补充||《崩坏：星穹铁道》希露瓦角色PV——「引爆在即！」,content,崩坏
31,|-,default,
32,|5||致将启程的你||To You Who Will Soon Depart||待补充||《崩坏：星穹铁道》SGF参展视频：「致将启程的你」,content,崩坏
33,|-,default,
34,|6||太空喜剧||Space Comedy||待补充||《崩坏：星穹铁道》跃迁PV：「太空喜剧」,content,崩坏
35,|-,default,
36,|7||天干物燥||In Torrid Heat||待补充||《崩坏：星穹铁道》白露角色PV——「天干物燥」,content,崩坏
37,|-,default,
38,|8||锋寒砺淬||Tempered Chill||待补充||《崩坏：星穹铁道》彦卿角色PV——「锋寒砺淬」,content,崩坏
39,|-,default,
40,|9||追星星的人||Star Chaser||待补充||《崩坏：星穹铁道》姬子角色PV——「追星星的人」,content,崩坏
41,|-,default,
42,|10||以朗道之名||In the Name of Landau||待补充||《崩坏：星穹铁道》杰帕德角色PV——「以朗道之名」,content,崩坏
43,|-,default,
44,|11||一夜无事||Uneventful Night||待补充||《崩坏：星穹铁道》希儿角色PV——「一夜无事」,content,崩坏
45,|-,default,
46,|12||有关星空的寓言集·其一||Fables About the Stars Part 1||待补充||《崩坏：星穹铁道》千星纪游PV：「有关星空的寓言集•其一」,content,崩坏
47,|-,default,
48,|13||飞光||A Flash||待补充||《崩坏：星穹铁道》动画短片：「飞光」,content,崩坏
49,|-,default,
50,|14||天地为枰||Heaven and Earth as a Chessboard||待补充||《崩坏：星穹铁道》景元角色PV——「天地为枰」,content,崩坏
51,|-,default,
52,|15||银河漫游||Galactic Roaming||待补充||《崩坏：星穹铁道》1.1版本PV：「银河漫游」,content,崩坏
53,|-,default,
54,|16||有点意思||Got a Date||待补充||《崩坏：星穹铁道》银狼角色PV——「有点意思」,content,崩坏
55,|-,default,
56,|17||行者明誓||The Traveler And His Oath||待补充||《崩坏：星穹铁道》罗刹角色PV——「行者明誓」,content,崩坏
57,|-,default,
58,|18||仙骸有终||Even Immortality Ends||待补充||《崩坏：星穹铁道》1.2版本PV：「仙骸有终」,content,崩坏
59,|-,default,
60,|19||死兆将至||Death Approaches||待补充||《崩坏：星穹铁道》刃角色PV——「死兆将至」,content,崩坏
61,|-,default,
62,|20||戏剧性反讽||A Dramatic Irony||待补充||《崩坏：星穹铁道》卡芙卡角色PV——「戏剧性反讽」,content,崩坏
63,|-,default,
64,|21||耶佩拉叛乱||The Jepella Rebellion||待补充||《崩坏：星穹铁道》千星纪游PV：「耶佩拉叛乱：第47场」,content,崩坏
65,|-,default,
66,|22||天镜映劫尘||Celestial Eyes Above Mortal Ruins||待补充||《崩坏：星穹铁道》1.3版本PV：「天镜映劫尘」,content,崩坏
67,|-,default,
68,|23||神策府总司一切大小事务将军||General of All Affairs at the Seat of Divine Foresight||待补充||《崩坏：星穹铁道》Gamescom参展视频：「神策府总司一切大小事务将军」,content,崩坏
69,|-,default,
70,|24||归去来||The Prodigal's Return||待补充||《崩坏：星穹铁道》丹恒•饮月角色PV——「归去来」,content,崩坏
71,|-,default,
72,|25||五龙远徙||Exodus of the Five Dragons||待补充||《崩坏：星穹铁道》千星纪游PV：「仙舟通鉴•五龙远徙」,content,崩坏
73,|-,default,
74,|26||玄黄||Ichor of Two Dragons||待补充||《崩坏：星穹铁道》动画短片：「玄黄」,content,崩坏
75,|-,default,
76,|27||法眼无遗||Omniscia Spares None||待补充||《崩坏：星穹铁道》符玄角色PV——「法眼无遗」,content,崩坏
77,|-,default,
78,|28||掌中宇宙||Grasp the Stars||待补充||《崩坏：星穹铁道》TGS参展视频：「掌中宇宙」,content,崩坏
79,|-,default,
80,|29||冬梦激醒||Jolted Awake From a Winter Dream||待补充||《崩坏：星穹铁道》1.4版本PV：「冬梦激醒」,content,崩坏
81,|-,default,
82,|30||说剑||On Swords||待补充||《崩坏：星穹铁道》千星纪游PV：「云骑武经•说剑」,content,崩坏
83,|-,default,
84,|31||剑出无回||Swordward||待补充||《崩坏：星穹铁道》镜流角色PV——「剑出无回」,content,崩坏
85,|-,default,
86,"|32||甄选、规划和机遇||Selection,Planning,and Opportunity||待补充||《崩坏：星穹铁道》千星纪游PV：「星际和平导览：甄选、规划和机遇」",content,崩坏
87,|-,default,
88,|33||专家教学||Expert Tutorial||待补充||《崩坏：星穹铁道》托帕&账账角色PV——「专家教学」,content,崩坏
89,|}</center>,default,
