line_number,content,category,character
1,{{专辑,default,
2,|专辑名=行于命途3 Experience the Paths Vol.3,default,
3,|发行时间=2024/09/27<!-- 填写示例： 2021/01/06 -->,content,填写示例
4,|专辑类型=PV主题OST<!-- 主题曲/地区主题OST/PV主题OST/活动主题OST -->,default,
5,|出品/发行=miHoYo/HOYO-MiX,default,
6,|曲目数=21,default,
7,|简介=《崩坏：星穹铁道》PV音乐主题OST《行于命途3 Experience the Paths Vol.3》正式上线，专辑共收录了21首由HOYO-MiX音乐团队为《崩坏：星穹铁道》创作的原声音乐。,content,崩坏
8,|官方公告链接=https://www.bilibili.com/opus/981427517119266854,default,
9,|B站视频标题=<!-- 没有则留空 -->,default,
10,|B站视频BV号=<!-- 没有则留空 -->,default,
11,|幕后故事标题=<!-- 没有则留空 -->,default,
12,|幕后故事BV号=<!-- 没有则留空 -->,default,
13,|QQ音乐链接=,default,
14,|酷狗音乐链接=,default,
15,|酷我音乐链接=,default,
16,|制作人员=<!-- 没有则留空 -->,default,
17,}},default,
18,==曲目列表==,default,
19,<center>,default,
20,"{| class=""wikitable"" style=text-align:center;width:100%""",default,
21,|-,default,
22,!序号!!曲目!! 外文名!!简介!!应用,default,
23,|-,default,
24,|1||金手指||The Golden Touch||待补充||《崩坏：星穹铁道》砂金角色PV——「金手指」,content,崩坏
25,|-,default,
26,|2||等醒来再哭泣||Then Wake to Weep||待补充||《崩坏：星穹铁道》2.2版本PV——「等醒来再哭泣」,content,崩坏
27,|-,default,
28,|3||演出开始前||Before the Show Starts||待补充||《崩坏：星穹铁道》演唱会动画CM：「演出开始前」,content,崩坏
29,|-,default,
30,|4||假若有一双翅膀||If We Had Wings||待补充||《崩坏：星穹铁道》千星纪游PV：「假若有一双翅膀」,content,崩坏
31,|-,default,
32,|5||牛仔很忙||Cowboy's Got Business||待补充||《崩坏：星穹铁道》波提欧角色PV——「牛仔很忙」,content,崩坏
33,|-,default,
34,"|6||再见，匹诺康尼||Farewell, Penacony||待补充||《崩坏：星穹铁道》2.3版本PV——「再见，匹诺康尼」",content,崩坏
35,|-,default,
36,|7||做梦的艺术||Art of Dreaming||待补充||《崩坏：星穹铁道》SGF参展视频——「做梦的艺术」,content,崩坏
37,|-,default,
38,"|8||此刻，在同一片星空下||Presently, Beneath a Shared Sky of Stars||待补充||《崩坏：星穹铁道》千星纪游PV：「此刻，在同一片星空下」",content,崩坏
39,|-,default,
40,|9||格拉默的余烬||The Embers of Glamoth||待补充||《崩坏：星穹铁道》动画短片：「格拉默的余烬」,content,崩坏
41,|-,default,
42,|10||壳中萤火||Embers in a Shell||待补充||《崩坏：星穹铁道》流萤角色PV——「壳中萤火」,content,崩坏
43,|-,default,
44,|11||欲望收藏||A Collection of Desires||待补充||《崩坏：星穹铁道》翡翠角色PV——「欲望收藏」,content,崩坏
45,|-,default,
46,|12||石心誓环•天平两端||Stoneheart's Oath Ring: Both Ends of the Scale||待补充||《崩坏：星穹铁道》千星纪游PV：「石心誓环•天平两端」,content,崩坏
47,|-,default,
48,|13||明霄竞武试锋芒||Finest Duel Under the Pristine Blue||待补充||《崩坏：星穹铁道》2.4版本PV——「明霄竞武试锋芒」,content,崩坏
49,|-,default,
50,"|14||挑战，无处不在||Challenges Come Anywhere, Anytime||待补充||列车环游记 | 三月七巴黎之旅特别篇——「挑战，无处不在」",default,
51,|-,default,
52,"|15||天干剑燥，小心火炉||Mind the Swelter, Watch the Furnace||待补充||《崩坏：星穹铁道》千星纪游PV：「天干剑燥，小心火炉」",content,崩坏
53,|-,default,
54,|16||误打误撞||Serendipity||待补充||《崩坏：星穹铁道》云璃角色PV——「误打误撞」,content,崩坏
55,|-,default,
56,|17||销魂饭||Pneumanull Rice||待补充||《崩坏：星穹铁道》椒丘角色PV——「销魂饭」,content,崩坏
57,|-,default,
58,|18||碧羽飞黄射天狼||Flying Aureus Shot to Lupine Rue||待补充||《崩坏：星穹铁道》2.5版本PV——「碧羽飞黄射天狼」,content,崩坏
59,|-,default,
60,|19||飞镝追星||The Arrow that Seeks the Stars||待补充||《崩坏：星穹铁道》千星纪游PV：「飞镝追星」,content,崩坏
61,|-,default,
62,|20||清闲自在身||Taking It Easy||待补充||《崩坏：星穹铁道》动画短片：「清闲自在身」,content,崩坏
63,|-,default,
64,|21||君莫笑||Nothing to Laugh At||待补充||《崩坏：星穹铁道》飞霄角色PV——「君莫笑」,content,崩坏
65,|-,default,
66,|}</center>,default,
67,<!-- ==歌词== -->,default,
