line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=行过死荫之地,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.1,default,
7,|任务描述=列车组全员再次集合——出人意料的是，这次还有一位洗脱了嫌疑的巡海游侠，黄泉。<br>综合多方信息判断，你们认定家族确实在隐瞒某些令人毛骨悚然的真相，而砂金似乎早已察觉其中端倪，并为此费心布置，更将你们暗中选定为他计划的推手。<br>远方传来的广播声印证了你们的想法——为了真相，为了死者的公道，为了匹诺康尼的未来，你们必须继续前进。,default,
8,|奖励={{图标|里程|900}}{{图标|星琼|110}}{{图标|漫游指南|16}}{{图标|在火的远处|1}}{{图标|卡卡瓦夏（头像）|1}}{{图标|《公民哈努努》|1}}{{图标|信用点|200000}},default,
9,|任务条件=完成任务[[所有悲伤的故事]],default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#她回答说，我要死亡,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=姬子、三月七、瓦尔特、黄泉、砂金、流萤、加拉赫、星期日,default,
15,|系列任务=鸽群中的猫,default,
16,|任务编号=09,default,
17,|前置任务=*[[所有悲伤的故事]],default,
18,|后续任务=,default,
19,|任务流程=*与列车组整理信息,default,
20,*前往克劳克影视乐园,default,
21,*登上舞台，与砂金对峙,default,
22,*「我们得在这里分别了。」,default,
23,*「所以跑吧，卡卡瓦夏。」,default,
24,*「不要害怕，不要回头。」,default,
25,*「我们将在极光下重逢。」,default,
26,*「再见，卡卡瓦夏。」,default,
27,*与家人团聚,default,
28,}},default,
29,,default,
30,==剧情内容==,default,
31,=== 与列车组整理信息 ===,default,
32,*姬子：这位就是黄泉小姐吧？你好，我是姬子，星穹列车的领航员。,content,姬子
33,*三月七：你好，我叫三月七！开拓者就不介绍了，你肯定认识。,content,三月七
34,{{剧情选项,default,
35,|选项1=怎么轮到我就跳过了？,option,开拓者
36,|选项2=请多关照，黄泉小姐。,option,开拓者
37,|选项3=你可以叫我钟表小子。,option,开拓者
38,|剧情3=*三月七：……,branch_content,三月七
39,}},default,
40,*黄泉：你们好。对于我的出现，各位似乎并不意外。,content,黄泉
41,*姬子：既然瓦尔特决定与你同行，说明他信任你，而我们同样相信他的判断。,content,姬子
42,*黄泉：你们的关系真是令人羡慕。,content,黄泉
43,*瓦尔特：黄泉小姐并非危险分子，对星穹列车也没有敌意，砂金先前的指控只是一面之词。,content,瓦尔特
44,*瓦尔特：因此，在继续我们的合作前，他有义务给出一个合理的解释。,content,瓦尔特
45,*姬子：你是想…制造一个三方共同在场的局面么？,content,姬子
46,*瓦尔特：砂金的行为背后一定有着更深层的逻辑。我猜他从最初就对匹诺康尼的秘密有所察觉，并不断在为揭开它而布局。,content,瓦尔特
47,*瓦尔特：如此一来，星穹列车在他的计划中处于什么位置就至关重要了。最坏的情况下…他可能会利用我们做些出格的事。,content,瓦尔特
48,*瓦尔特：假设事态真的发展到那一步，多一位盟友，也是多一份保险。匹诺康尼山头林立，局势远比贝洛伯格和仙舟复杂啊。,content,瓦尔特
49,{{剧情选项,default,
50,|选项1=但我们必须给死者一个交代。,option,开拓者
51,|剧情1=*三月七：开拓者说得没错，无论如何，我们都不能对匹诺康尼的安危置之不理。,branch_content,三月七
52,|选项2=也许我们该就此抽身了。,option,开拓者
53,|剧情2=*三月七：开拓者说得也有道理，毕竟完全猜不透接下来会发生什么……,branch_content,三月七
54,*三月七：但是，我还是觉得不能对匹诺康尼的安危置之不理。,content,三月七
55,|选项3=主角就是为此刻而存在的！,option,开拓者
56,|剧情3=*三月七：你又在说怪话了…但气势不错，无论如何，我们都不能对匹诺康尼的安危置之不理。,branch_content,三月七
57,}},default,
58,*姬子：为了解开「钟表匠」的谜团，我们势必需要公司手中的信息。纵使前方危机四伏…但迎难而上才是「开拓」，对吧？,content,姬子
59,*瓦尔特：看来没有异议了。那…黄泉小姐？,content,瓦尔特
60,*黄泉：我当然也会同行。,content,黄泉
61,*三月七：那我们就出发咯！不过…得上哪去找他？,content,三月七
62,*姬子：别着急。如果真的有人布下了局…他一定会想方设法邀我们入场的。,content,姬子
63,"*砂金：<span style=""font-size:24px"">女士们，先生们——</span>",content,砂金
64,"*砂金：<span style=""font-size:24px"">匹诺康尼有史以来最惊奇、最盛大的表演即将开幕——</span>",content,砂金
65,"*砂金：<span style=""font-size:24px"">星际和平公司诚邀各位光临现场——克劳克影视乐园！</span>",content,砂金
66,*姬子：…看吧。,content,姬子
67,*姬子：如果演员和观众都到不了场，砂金那么多布置不就白费了吗？,content,姬子
68,*瓦尔特：出发吧，各位——到我们贯彻「开拓」之道的时候了。,content,瓦尔特
69,{{折叠|标题=额外对话（姬子）|内容=,default,
70,*姬子：为了解开「钟表匠」的谜团，我们势必需要公司手中的信息。纵使前方危机四伏…但迎难而上才是「开拓」，对吧？,content,姬子
71,|折叠=是}},default,
72,{{折叠|标题=额外对话（瓦尔特）|内容=,default,
73,*瓦尔特：出发吧，各位——到我们贯彻「开拓」之道的时候了。,content,瓦尔特
74,|折叠=是}},default,
75,{{折叠|标题=额外对话（黄泉）|内容=,default,
76,*黄泉：你们的关系真是令人羡慕。,content,黄泉
77,|折叠=是}},default,
78,,default,
79,=== 前往克劳克影视乐园 ===,default,
80,{{任务描述|列车组全员再次集合——出人意料的是，这次还有一位洗脱了嫌疑的巡海游侠，黄泉。<br>综合多方信息判断，你们认定家族确实在隐瞒某些令人毛骨悚然的真相，而砂金似乎早已察觉其中端倪，并为此费心布置，更将你们暗中选定为他计划的推手。<br>远方传来的广播声印证了你们的想法——为了真相，为了死者的公道，为了匹诺康尼的未来，你们必须继续前进。|匹诺康尼-黄金的时刻}},default,
81,:{{颜色|灰|与三月七对话}},default,
82,*三月七：唔…总有种大事不妙的预感。开拓者，你准备好了吗？,content,三月七
83,{{剧情选项,default,
84,|选项1=准备好了。,option,开拓者
85,|剧情1=*三月七：那就事不宜迟，出发去影视乐园吧！,branch_content,三月七
86,|选项2=再等等…,option,开拓者
87,|图标2=退出,default,
88,|剧情2=*三月七：你不会是有心理阴影了吧…放轻松，没事的。,branch_content,三月七
89,}},default,
