line_number,content,category,character
1,==LAND进行时——看直播  ==,default,
2,突击检查！是谁还没有看2.1版本前瞻直播！  <br>,default,
3,[[File:LAND进行时——看直播.png|500px]],default,
4,==三月七  ==,default,
5,「真不敢想象如果能收到开拓者的礼物我会是一个多么阳光开朗的小女孩！」   <br>,default,
6,「礼物什么的当然给你准备了，阳光快乐呢？」   <br>,default,
7,「好耶！」  <br>,default,
8,[[File:星旅小记三月七.png|500px]],default,
9,==今日宜「赏花灯」 ==,default,
10,节日快乐！今天的金人巷好热闹，列车长也想去看看帕！  <br>,default,
11,[[File:今日宜「赏花灯」.png|500px]],default,
12,,default,
13,==贺岁档电影推荐《黄泉家今天的饭》  ==,default,
14,主演：黄泉、开拓者 <br>,content,主演
15,类型：动画、美食 <br>,content,类型
16,片长：90分钟 <br>,content,片长
17,上映时间：2024年2月16日 <br>,content,上映时间
18,剧情简介：冷酷的巡海游侠居然有这样的一面？！电影主要讲述开拓者误打误撞进入了黄泉的厨房，发现这位巡海游侠的厨艺十分高超，从而引发的一系列有趣的故事。 <br>,branch_content,剧情简介
19,*电影内容不代表游戏内实际剧情及设定。  <br>,branch_content,
20,[[File:贺岁档电影推荐《黄泉家今天的饭》.png|300px]],default,
21,==贺岁档电影推荐《真理大讲堂III天文篇》 ==,default,
22,主演：真理医生  <br>,content,主演
23,类型：教育、科普  <br>,content,类型
24,片长：190分钟  <br>,content,片长
25,上映时间：2024年2月15日  <br>,content,上映时间
26,剧情简介：由博识学会出品的《真理大讲堂》系列第三季续作电影，主打寓教于乐，第一季数学篇与第二季哲学篇均好评如潮。这次第三季的主题是天文，由浅入深、鞭辟入里的教述群星的奥秘。  <br>,branch_content,剧情简介
27,*电影内容不代表游戏内实际剧情及设定。  <br>,branch_content,
28,[[File:贺贺岁档电影推荐《真理大讲堂III天文篇》》.png|300px]],default,
29,==贺岁档电影推荐《宝石情人》  ==,default,
30,主演：砂金 <br>,content,主演
31,类型：爱情、喜剧 <br>,content,类型
32,片长：160分钟 <br>,content,片长
33,上映时间：2024年2月14日 <br>,content,上映时间
34,剧情简介：214情人节特别电影。在返回公司总部的途中，砂金遭遇事故不幸失忆，面对坚持要寻找自己恋人的砂金，星穹列车的乘客们打算助人为乐。然而，他的恋人竟然是？ <br>,branch_content,剧情简介
35,*电影内容不代表游戏内实际剧情及设定。  <br>,branch_content,
36,[[File:贺岁档电影推荐《宝石情人》 .png|300px]],default,
37,==贺岁档电影推荐《阮•梅烘焙剧场版》 ==,default,
38,主演：阮•梅 <br>,content,主演
39,类型：纪实、美食 <br>,content,类型
40,片长：105分钟 <br>,content,片长
41,上映时间：2024年2月13日 <br>,content,上映时间
42,剧情简介：高人气电视综艺《阮•梅烘焙》加长剧场版，本次剧场版为大家带来四款阮•梅博士研究的新品点心，以及在点心烘焙中发生的种种趣事。 <br>,branch_content,剧情简介
43,*电影内容不代表游戏内实际剧情及设定。  <br>,branch_content,
44,[[File:贺岁档电影推荐《阮•梅烘焙剧场版》.png|300px]],default,
45,==贺岁档电影推荐《黑天鹅塔罗·新年特辑》  ==,default,
46,主演：黑天鹅 <br>,content,主演
47,类型：占卜、互动 <br>,content,类型
48,片长：120分钟 <br>,content,片长
49,上映时间：2024年2月12日 <br>,content,上映时间
50,剧情简介：人气频道《黑天鹅塔罗》首次来到大荧幕，采用互动电影的形式，给观影者带来身临其境的占卜体验，从事业、学业、爱情、亲情等方面预测新年运势并给出相应的建议，是今年贺岁档中自由度最高的电影。 <br>,branch_content,剧情简介
51,*电影内容不代表游戏内实际剧情及设定。  <br>,branch_content,
52,[[File:贺岁档电影推荐《黑天鹅塔罗·新年特辑》.png|300px]],default,
53,==贺岁档电影推荐《宇宙市场趋势》 ==,default,
54,主演：托帕、账账 <br>,content,主演
55,类型：职场、纪实 <br>,content,类型
56,片长：92分钟 <br>,content,片长
57,上映时间：2024年2月11日 <br>,content,上映时间
58,剧情简介：星际和平公司出品，托帕总监领衔主演，记录雅利洛-VI的温情开发故事，星际和平公司恭迎寰宇有志青年的加入。,branch_content,剧情简介
59,*电影内容不代表游戏内实际剧情及设定。  <br>,branch_content,
60,[[File:贺岁档电影推荐《宇宙市场趋势》.png|300px]],default,
61,==贺岁档电影推荐《剑首传奇》 ==,default,
62,主演：彦卿、景元  <br>,content,主演
63,类型：动画、喜剧  <br>,content,类型
64,片长：108分钟  <br>,content,片长
65,上映时间：2024年2月10日  <br>,content,上映时间
66,剧情简介：为了精进自己的剑术，彦卿踏上了前往曜青仙舟的星槎，在曜青仙舟上遇到的一系列事件让彦卿有所感悟，最终成为了剑首。  <br>,branch_content,剧情简介
67,*电影内容不代表游戏内实际剧情及设定。  <br>,branch_content,
68,[[File:贺岁档电影推荐《剑首传奇》.png|300px]],default,
69,==2.0 匹诺康尼，干杯！ ==,default,
70,「过年团圆，就喝苏乐达汽水！」  <br>,default,
