line_number,content,category,character
1,==B站==,default,
2,===B站300W粉丝===,default,
3,阳光正好，甜点管饱！<br>,default,
4,当素裳带着小凤凰姗姗来迟的时候，餐桌上的小伙伴已经大方开吃了~<br>,default,
5,白露捧来了她的挚爱烟熏肉堡，彦卿兴致勃勃地拉着将军加入美食鉴赏小分队。<br>,default,
6,难得如此闲暇的午后，开拓者，要不要来块甜点~？<br>,default,
7,[[文件:B站300W贺图.png|500px]],default,
8,===B站600W粉丝===,default,
9,嘿！那边的开拓者看过来~<br>,default,
10,这项任务需要你一起完成呢？<br>,default,
11,这一次可没有「剧本」哦~<br>,default,
12,好戏即将登场，神秘的未来真是让人期待！<br>,default,
13,[[文件:B站600W贺图.png|500px]],default,
14,===B站1000W粉丝===,default,
15,「1000W粉丝数达成！」<br>,default,
16,<br>,default,
17,好不容易说服了史瓦罗先生尝试「换装」，不留下影像资料怎么行？<br>,default,
18,「3——2——1——茄子！」<br>,default,
19,克拉拉珍藏的宝库中，又多了一份温馨的记忆。<br>,default,
20,[[文件:B站1000W贺图.png|500px]],default,
21,==微博==,default,
22,===微博100W粉丝===,default,
23,春风和煦，阳光明媚，今日宜开拓、宜交友。<br>,default,
24,约上仙舟的三五伙伴，一同踏上开拓之旅吧！<br>,default,
25,想必沿途的风景会很美，开拓者也要记得回传些数据分享给帕姆帕~<br>,default,
26,[[File:微博100W粉丝贺图.png|500px]],default,
27,===微博200W粉丝===,default,
28,「小姐，今天有见到过佩佩么？」 <br>,default,
29,「可能被谁带走了吧，摸摸它的头它就跟人家走了。」<br>,default,
30,「这听起来好像…」<br>,default,
31,「好像笨笨的？能一直开心的话，笨笨的也挺好的呀~」<br>,default,
32,[[File:微博200W粉丝贺图.png|500px]],default,
33,==帕姆==,default,
34,===B站帕姆200W粉丝===,default,
35,「200W粉丝数达成√」 <br><br>,default,
36,「恭喜列车长，看看这些礼物你都喜欢吗~」<br>,default,
37,「嘿嘿，列车长快看咱给你买的新衣服！」<br>,default,
38,「呜呜呜帕，列车长好喜欢好感动帕！！」<br>,default,
39,「蛋糕就由我们帮你吃掉啦，最近经常帮你捡扣子呢！」<br>,default,
40,「不要帕————」 <br>,default,
41,[[File:帕姆200W粉丝贺图.png|500px]],default,
42,,default,
43,===B站帕姆100W粉丝===,default,
44,「100W粉丝数达成√」<br><br>,default,
45,「就等你啦，三月七——」<br>,default,
46,「来了来了，这不是准备礼物耽误了么？」<br>,default,
47,「咦，你准备的礼物怎么有些特别？」<br>,default,
48,「帕姆，快穿上小裙子一起拍合照吧！」<br>,default,
49,[[File:帕姆100W粉丝贺图.png|500px]],default,
50,===微博帕姆30W粉丝===,default,
51,「都是如实记录的数据…我才没有踮脚…」<br>,default,
52,Zzz...Zzz...<br>,default,
53,「明天的早餐是…香香酥酥脆脆帕姆帕姆派…」<br>,default,
54,Zzz...Zzz...<br>,default,
55,「开拓者在罗浮干什么呢…有没有带小礼物回来…」<br>,default,
56,[[File:微博帕姆30W粉丝贺图.png|300px]],default,
