line_number,content,category,character
1,{{攻略,default,
2,|标题=角色阵容搭配参考+强度榜,default,
3,|文章上级页面=新手教程,default,
4,|时间=20230523,default,
5,|更新时间=20240620,default,
6,|是否原创=是,default,
7,|作者=寻梦,default,
8,|版本=3.1,default,
9,|TAG=配队,default,
10,|来源=,default,
11,|原文地址=,default,
12,}},default,
13,<big>本页仅个人对游戏的理解总结的配对思路，表内角色顺序与强度无关。<br>,default,
14,阵容搭配<br>,default,
15,前期：主C+副C或削韧+守护+治疗；主C+辅助+守护+治疗<br>,content,前期
16,后期：主C+副C或削韧+辅助+生存；主C+辅助+辅助+生存</big>,content,后期
17,"<div style=""overflow-x: scroll>",default,
18,"{| class=wikitable width=100% style=""max-width:1300px;text-align:center""",default,
19,|-,default,
20,! colspan=2 rowspan=2 | 主C,default,
21,! rowspan=2 | 副C和削韧,default,
22,! rowspan=2 | 辅助,default,
23,! colspan=2 | 生存,default,
24,|-,default,
25,! 守护,default,
26,! 治疗,default,
27,|-,default,
28,| {{图标/角色|希儿}},default,
29,单体输出 击杀再动,default,
30,| {{图标/角色|景元}},default,
31,本体群体输出<br>,default,
32,神君单体追加溅射,default,
33,| {{图标/角色|瓦尔特}},default,
34,减速 破盾<br>,default,
35,群体推条,default,
36,| {{图标/角色|银狼}},default,
37,添加弱点 减攻<br>,default,
38,减速 减防 减抗性,default,
39,| {{图标/角色|杰帕德}},default,
40,单体冻结<br>,default,
41,群体大量护盾 <br>,default,
42,自身免死一次,default,
43,| {{图标/角色|白露}},default,
44,复活一次队友,default,
45,|-,default,
46,| {{图标/角色|丹恒}},default,
47,单体输出 减速,default,
48,| {{图标/角色|素裳}},default,
49,单体输出<br>,default,
50,物理弱点特攻,default,
51,| {{图标/角色|克拉拉}},default,
52,嘲讽 反击,default,
53,| {{图标/角色|佩拉}},default,
54,驱散<br>,default,
55,大招减防,default,
56,| {{图标/角色|开拓者•存护}},default,
57,群体少量护盾 嘲讽<br>,default,
58,有一定的输出,default,
59,| {{图标/角色|娜塔莎}},default,
60,解除负面效果,default,
61,|-,default,
62,| {{图标/角色|开拓者•毁灭}},default,
63,可单可群,default,
64,| {{图标/角色|虎克}},default,
65,单体输出<br>,default,
66,强化战技溅射,default,
67,| {{图标/角色|艾丝妲}},default,
68,加速 破盾,default,
69,| {{图标/角色|布洛妮娅}},default,
70,解除负面效果<br>,default,
71,立即行动 伤害提高<br>,default,
72,攻击力提高 暴伤提高,default,
73,| {{图标/角色|三月七}},default,
74,单体大量护盾 群控<br>,default,
75,反击 解除负面效果,default,
76,| {{图标/角色|罗刹}},default,
77,解除增益<br>,default,
78,解除负面效果,default,
79,|-,default,
80,| {{图标/角色|阿兰}},default,
81,单体输出 大招溅射,default,
82,| {{图标/角色|青雀}},default,
83,群体输出,default,
84,| {{图标/角色|桑博}},default,
85,风化 破盾<br>,default,
86,持续伤害提升,default,
87,| {{图标/角色|停云}},default,
88,攻击力提高<br>,default,
89,伤害提高 恢复能量,default,
90,| {{图标/角色|符玄}},default,
91,群体：伤害分摊、减伤<br>,content,群体
92,暴击率提升、生命提升,default,
93,| {{图标/角色|玲可}},default,
94,解除负面效果<br>,default,
95,单体生命提升<br>,default,
96,毁灭、存护受击提升,default,
97,|-,default,
98,| {{图标/角色|刃}},default,
99,单体溅射 追加攻击,default,
100,| {{图标/角色|丹恒•饮月}},default,
101,多段单体溅射,default,
102,| {{图标/角色|姬子}},default,
103,群体输出 灼烧<br>,default,
104,敌方加火易伤,default,
105,| {{图标/角色|驭空}},default,
