line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=诘辩无愧，折狱论非,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓续闻,default,
6,|所属版本=2.4,default,
7,|任务描述=按照飞霄的要求，你们踏入幽囚狱留下证词。而她派出的曜青信使将自罗浮仙舟接走关押在此许久的步离人首领，呼雷。<br>深入幽囚狱中，你们渐渐察觉到个中之事的诡谲。,default,
8,|奖励={{图标|里程|800}}{{图标|星琼|100}}{{图标|漫游指南|8}}{{图标|提纯以太|6}}{{图标|《此身堕泥犁》|1}}{{图标|《八寒阴狱》|1}}{{图标|信用点|120000}},default,
9,|任务条件=完成任务[[潜迹狼烽，兽骇鸟惊]],default,
10,|开放等级=21,default,
11,|相关成就=,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=景元、飞霄、怀炎、丹恒、椒丘、貊泽、雪衣、寒鸦,default,
15,|领取地点=,default,
16,|系列任务=明霄竞武试锋芒•上,default,
17,|任务编号=08,default,
18,|前置任务=*[[潜迹狼烽，兽骇鸟惊]],default,
19,|后续任务=*[[狼戾亡命，群凶未定]],default,
20,|任务流程=*前往神策府，与飞霄会面,default,
21,*前往幽囚狱入口,default,
22,*与使者对话进入幽囚狱,default,
23,*前往幽囚狱的望楼,default,
24,*在附近逛逛，等待接引判官到来,default,
25,*穿过换境画屏，前往幽囚狱深处,default,
26,*乘坐悬梯,default,
27,*跟随寒鸦指引,default,
28,*调查奇异响动的源头,default,
29,*验证身份，打开幽狱通路,default,
30,*跟随雪衣，前往幽狱之底,default,
31,}},default,
32,,default,
33,==剧情内容==,default,
34,=== 前往神策府，与飞霄会面 ===,default,
35,{{任务描述|另一边厢，神策府中，曜青将军飞霄召见列车团的成员，询问建木灾异的始末。<br>没有想象中咄咄逼人的气势，这位将军抵达罗浮的目标，或许从一开始便不在此处——她想要的，是确认景元的忠诚从未改变。|仙舟「罗浮」-神策府}},default,
36,:{{颜色|描述|与此同时，在神策府中……}},default,
37,*飞霄：百闻不如一见，星穹列车的客人。我是曜青仙舟的将军，飞霄。,content,飞霄
38,*景元：我来为天击将军介绍一番。身着青衣的这位——,content,景元
39,*飞霄：走前边这位是饮月君的隔世之身，跟在他后面的是列车组最近吸纳的新成员，二位鼎鼎大名，我这对耳朵听得可清楚了。,content,飞霄
40,*飞霄：除开罗浮报告中的记述，「曜青」天舶司也搜罗了不少关于二位的见闻。本人一直想会会你们，原因…想必景元将军也解释过了吧？,content,飞霄
41,{{剧情选项,default,
42,|选项1=我们作为证人前来回答问题。,option,开拓者
43,|剧情1=*飞霄：不错，但不是堂前会审。只是想请两位聊聊，廓清些事实。,branch_content,飞霄
44,|选项2=将军没告诉我们你想做什么…,option,开拓者
45,|剧情2=*飞霄：喔？这倒不像我认识的神策将军啊。,branch_content,飞霄
46,*景元：两位尽管据实回答，无需担心。,content,景元
47,|选项3=不就是为了建木重生的事？,option,开拓者
48,|剧情3=*飞霄：正是。直来直往，我喜欢。,branch_content,飞霄
49,}},default,
50,*飞霄：景元将军在呈递的报告中，将建木灾异的祸首归罪于{{注音|烬灭军团|反物质军团}}，警示众天将应当关注烬灭祸祖的动向。,content,飞霄
51,*飞霄：这些年来，「毁灭」的爪牙摧残了数之不尽的世界，联盟也有所防备，只是未曾想他们竟会与「丰饶」的残党联手。,content,飞霄
52,*飞霄：这场建木灾异造成的损害远比预想中低，可以说是不幸中的万幸。但反过来看…也和烬灭军团所到之处荼毒生灵的风格大相径庭。,content,飞霄
53,*飞霄：我自然相信神策将军与各位无名客的英勇事迹，但也不免对报告未能详述的一些细节感到好奇。借此机会，希望能与二位交流一番。,content,飞霄
54,*飞霄：有言在先，我所问的未必是我认为的。提问若有冒犯，还请不要见怪。,content,飞霄
55,*丹恒：将军但问无妨。只是我们能回答的，也只是我们所知的；而您所问的…或许内心也早有答案。,content,丹恒
56,*飞霄：伶牙俐齿，我喜欢。,content,飞霄
57,----,default,
58,:{{颜色|灰|进入辩论}},default,
59,:{{颜色|灰|第一回合}},default,
60,*开拓者：（这天击将军说起话来竟也头头是道。眼下她来意不明，景元又希望我们据实回答…{{颜色|描述1|也许只说知道的事实就好？}}）,content,开拓者
61,*飞霄：我就开门见山了：起初，星穹列车受通缉重犯星核猎手的引导前来此地，试图解决星核危机。,content,飞霄
62,*飞霄：可凡在银河行走的，是个人都应听说过星核猎手的昭彰恶名。各位无名客为何如此相信他们的一面之词，莫非是有人沾亲带故？,content,飞霄
63,{{剧情选项,default,
64,|选项1=一切与星核有关,option,开拓者
65,|剧情1=*开拓者：除罗浮外，宇宙中还有不少遭受星核侵蚀的世界。列车之前停靠的雅利洛-VI就是其中之一。,branch_content,开拓者
66,*丹恒：对于列车而言，星核的存在会阻塞银轨，加剧跃迁风险。因此处理星核引起的麻烦，也是无名客的分内之事。,content,丹恒
67,*飞霄：唔，星核造成的那些问题我也有所耳闻，列车联结诸界，理应对此做出应对。银河破破烂烂，「开拓」缝缝补补。言之成理。,content,飞霄
68,:{{颜色|灰|我方增加一点气势值，对方减少一点气势值}},default,
69,,default,
70,|选项2=列车就是大善人,option,开拓者
71,|剧情2=*开拓者：难道列车就不能做些善事？我们这一路上帮助过的世界都快数…倒也不至于数不清，但总之，有很多很多！,branch_content,开拓者
72,*开拓者：星核猎手警告我们，如果不前往仙舟，至少会有一半罗浮住民死于非命。,content,开拓者
73,*飞霄：有心行善，值得赞赏。云骑巡猎讨魔，也秉持向善之心。虽然总有人不明事理，多加非议，但我不会质疑各位无名客的动机。,content,飞霄
74,:{{颜色|灰|我方增加一点气势值，对方减少一点气势值}},default,
75,,default,
76,|选项3=猜测你和星核猎手的关系,option,开拓者
77,|剧情3=*开拓者：你说的不错，也许我确实和星核猎手有所关联……,branch_content,开拓者
78,*飞霄：哦…这倒是有趣。,content,飞霄
79,*飞霄：看来你和星核猎手关系匪浅。但这群通缉犯形迹可疑，你这样诚实自白，我倒是欣赏，只是你得明白，这可是在往自己身上揽嫌疑喔？,content,飞霄
80,:{{颜色|灰|我方减少一点气势值，对方增加一点气势值}},default,
81,,default,
