line_number,content,category,character
1,{{面包屑}},default,
2,{{图鉴导航|标题=跃迁信息|页面数=2|链接页面1=跃迁|展示名称1=跃迁一览|链接页面2=卡池计时器|展示名称2=UP计时}},default,
3,== 简介 ==,default,
4,跃迁是游戏中获得[[角色|高星级角色]]与[[光锥]]的重要途径之一。<br>,default,
5,在新手任务后，游戏内跃迁功能将会开启。消耗对应道具进行跃迁，即有机会获取角色或光锥。,default,
6,,default,
7,===消耗品和副产物===,default,
8,始发跃迁和群星跃迁需要{{图标|星轨通票}}。<br>,default,
9,角色跃迁和光锥跃迁需要{{图标|星轨专票}}。<br>,default,
10,在跃迁时，除了可以获取物品（角色、光锥）以外，还可以获得{{图标|未熄的星芒}}或{{图标|未熄的余烬}}：,content,未熄的余烬
11,"{| class=""wikitable"" style=""text-align:center;""",default,
12,|-,default,
13,!获得物品!!副产物,default,
14,|-,default,
15,|5星光锥||{{图标|未熄的星芒|40}},default,
16,|-,default,
17,|4星光锥||{{图标|未熄的星芒|8}},default,
18,|-,default,
19,|3星光锥||{{图标|未熄的余烬|20}},default,
20,|-,default,
21,"|5星角色||style=""text-align:left;"" |第2~7次获得时：1个对应角色的星魂+{{图标|未熄的星芒|40}}；<br>第8次及之后获得时：{{图标|未熄的星芒|100}}",content,次获得时
22,|-,default,
23,"|4星角色||style=""text-align:left;"" |第2~7次获得时：1个对应角色的星魂+{{图标|未熄的星芒|8}}；<br>第8次及之后获得时：{{图标|未熄的星芒|20}}",content,次获得时
24,|},default,
25,关于副产物的用途，可前往[[商店]]页面查看。,default,
26,,default,
27,===跃迁机制===,default,
28,*'''跃迁池共分为4种：新手（始发）、常驻（群星）、角色、光锥。''',content,种
29,*在始发、群星、角色跃迁中，5星物品的基础概率为{{颜色|描述|'''0.6%'''}}，光锥跃迁中5星光锥的基础概率为{{颜色|描述|'''0.8%'''}}。同时4星和5星的物品的获取分别存在着保底机制。,default,
30,*角色与光锥为活动限定池，会在一定时间内上调特定角色（1个5星和3个4星角色）、光锥（1个5星UP角色对应专属5星光锥和3个4星光锥）的获得概率。,default,
31,*限定角色与限定光锥不会加入「群星跃迁」。,default,
32,====始发跃迁====,default,
33,*「始发跃迁」为永久跃迁，开拓者仅可进行十连跃迁，所消耗的{{图标|星轨通票}}享受{{颜色|描述|8折优惠}}。每10次跃迁必定获取至少1个4星或以上的角色或光锥。本跃迁存在参与次数上限，最高为{{颜色|描述|50次}}。,default,
