line_number,content,category,character
1,{{折叠|开始|折叠=是|颜色=蓝|标题=群星跃迁}}{{#vardefine:version|{{#ask: [[-Has subobject::跃迁]][[分类:卡池计时器]]|?版本|format=array|limit=1|sort=期数|order=desc|titles=hide}}}},default,
2,"{| class=""wikitable"" style=""margin:-10px -15px;""",default,
3,|-,default,
4,"!style=""min-width:3em"" rowspan=2 | 角色",default,
5,"!style=""min-width:3em""| 5星角色",default,
6,"| {{#arraymap:{{#ask:[[分类:角色]][[限定::常驻]][[名称::!开拓者]][[稀有度::5星]][[实装版本::<<{{#var:version}}]]|format=array|sort=实装日期,命途|sep=,}}|,|@|<div style=""display: inline-block;text-align: center;"">[[file:@.png|80px|link=@]]<br><div style=""font-size:10px;width: 68px;display: inline-block;overflow: hidden;white-space: nowrap;text-overflow: ellipsis;text-align:center;width: 100%;"">[[@]]</div></div>|}}",default,
7,|-,default,
8,! 4星角色,default,
9,"| {{#arraymap:{{#ask:[[分类:角色]][[稀有度::4星]][[!三月七•巡猎]][[实装版本::<<{{#var:version}}]]|format=array|link=none|sort=实装日期,命途||headers=hide|sep=,}}|,|@|<div style=""display: inline-block;text-align: center;"">[[file:@.png|80px|link=@]]<br><div style=""font-size:10px;width: 68px;display: inline-block;overflow: hidden;white-space: nowrap;text-overflow: ellipsis;text-align:center;width: 100%;"">[[@]]</div></div>|}}",default,
10,|-,default,
11,!rowspan=3 | 光锥,default,
12,! 5星光锥,default,
13,"| {{#arraymap:{{#ask:[[分类:光锥]][[稀有度::5星]][[获取方式::跃迁]][[实装版本::<<{{#var:version}}]]|format=array|link=none|sort=实装版本,命途|headers=hide|sep=,}}|,|@|<div style=""display: inline-block;text-align: center;"">[[file:@.png|80px|link=@]]<br><div style=""font-size:10px;width: 68px;display: inline-block;overflow: hidden;white-space: nowrap;text-overflow: ellipsis;text-align:center;width: 100%;"">[[@]]</div></div>|}}",default,
14,|-,default,
15,! 4星光锥,default,
16,"| {{#arraymap:{{#ask:[[分类:光锥]][[稀有度::4星]][[获取方式::跃迁]][[实装版本::<<{{#var:version}}]]|format=array|link=none|sort=实装版本,命途|headers=hide|sep=,}}|,|@|<div style=""display: inline-block;text-align: center;"">[[file:@.png|80px|link=@]]<br><div style=""font-size:10px;width: 68px;display: inline-block;overflow: hidden;white-space: nowrap;text-overflow: ellipsis;text-align:center;width: 100%;"">[[@]]</div></div>|}}",default,
17,|-,default,
18,! 3星光锥,default,
19,"| {{#arraymap:{{#ask:[[分类:光锥]][[稀有度::3星]]|format=array|limit=1000|link=none|sort=实装版本,命途|headers=hide|sep=,}}|,|@|<div style=""display: inline-block;text-align: center;"">[[file:@.png|80px|link=@]]<br><div style=""font-size:10px;width: 68px;display: inline-block;overflow: hidden;white-space: nowrap;text-overflow: ellipsis;text-align:center;width: 100%;"">[[@]]</div></div>|}}",default,
20,|},default,
21,{{折叠|结束}},default,
