line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=躲得过初一，躲不过十五,default,
3,|任务地区=雅利洛-Ⅵ,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=为了逃脱追捕，你们冲进了裂界。可你们怎会突然沦落至此？三月七也无法解释，因为她的人设只是一位单纯可爱的少女。<br>不过，你们迅速达成共识：当务之急是找到裂界的出口，其他事项等离开这片险地再作商议。,content,你们迅速达成共识
7,|奖励={{图标|里程|600}}{{图标|星琼|80}}{{图标|冒险记录|6}}{{图标|凝缩以太|3}}{{图标|奇巧零食|10}}{{图标|简易抢救器|10}}{{图标|固态净水 |10}}{{图标|基本食材|10}}{{图标|果腹粮食|10}},default,
8,|任务条件=完成[[永冬城之夜]],default,
9,|开放等级=0,default,
10,|出场人物=丹恒、三月七、布洛妮娅、桑博、可可利亚,default,
11,|相关道具=,default,
12,|系列任务=于枯索的冬夜里,default,
13,|任务编号=04,default,
14,|前置任务=*[[永冬城之夜]],default,
15,|后续任务=*[[捉迷藏]],default,
16,|任务流程=*寻找裂界出口，逃脱追捕,default,
17,*寻找裂界出口，逃脱追捕,default,
18,*消灭怪物并启动开关,default,
19,*寻找裂界出口，逃脱追捕,default,
20,}},default,
21,==剧情内容==,default,
22,=== 寻找裂界出口，逃脱追捕 ===,default,
23,{{任务描述|为了逃脱追捕，你们冲进了裂界。可你们怎会突然沦落至此？三月七也无法解释，因为她的人设只是一位单纯可爱的少女。<br>,default,
24,不过，你们迅速达成共识：当务之急是找到裂界的出口，其他事项等离开这片险地再作商议。}},content,你们迅速达成共识
25,*三月七：到底发生了什么事，为什么那个大守护者突然派人来抓我们啊？,content,三月七
26,*三月七：在人家睡得正香的时候搞突然袭击，也太卑鄙了吧！,content,三月七
27,*丹恒：那个女人身上有种令人不安的气息…直觉果然不会撒谎。,content,丹恒
28,----,default,
