line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=躺在铁锈中,default,
3,|任务地区=雅利洛-Ⅵ-磐岩镇,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=你们最终达成一致：将止痛剂分一半给克拉拉，让她带回去治疗流浪者。<br>尽管娜塔莎不像是会因为这种事大发雷霆的人，但你的心里还是有些愧疚和不安——<br>娜塔莎究竟会对此作何反应？恐怕只有亲自问问她才能知道了。,content,你们最终达成一致
7,|奖励={{图标|里程|200}}{{图标|冒险记录|5}}{{图标|信用点|8000}}{{图标|娜塔莎|1}},default,
8,|任务条件=完成[[已故去的必如雪崩再来]],default,
9,|开放等级=14,default,
10,|出场人物=娜塔莎、希儿、布洛妮娅、三月七、丹恒、奥列格,default,
11,|相关道具=一箱钢板和绷带、一箱医用酒精、一箱特制止痛剂,default,
12,|系列任务=于枯索的冬夜里,default,
13,|任务编号=11,default,
14,|前置任务=*[[已故去的必如雪崩再来]],default,
15,|后续任务=*[[腐烂或燃烧]],default,
16,|任务流程=*向娜塔莎交付物资,default,
17,*与同伴及奥列格会合,default,
18,}},default,
19,==剧情内容==,default,
20,=== 向娜塔莎交付物资 ===,default,
21,{{任务描述|你们最终达成一致：将止痛剂分一半给克拉拉，让她带回去治疗流浪者。<br>尽管娜塔莎不像是会因为这种事大发雷霆的人，但你的心里还是有些愧疚和不安——<br>娜塔莎究竟会对此作何反应？恐怕只有亲自问问她才能知道了。}},content,你们最终达成一致
22,*希儿：娜塔！我们回来了。,content,希儿
23,*娜塔莎：不愧是希儿，永远都这么准时。怎么样，你们找到能用的物资了吗？,content,娜塔莎
24,:{{颜色|描述|提交道具{{图标|一箱钢板和绷带}}、{{图标|一箱医用酒精}}、{{图标|一箱特制止痛剂}}…}},default,
25,*娜塔莎：我来看看…钢板、纱布、止痛剂、医用酒精……太好了，需要的物资都齐全了。,content,娜塔莎
26,*娜塔莎：就是止痛剂的分量稍微少了些，储藏室那边出了什么情况吗？,content,娜塔莎
27,{{剧情选项,default,
28,|选项1=分给了克拉拉一些。,option,开拓者
29,|剧情1=*娜塔莎：…克拉拉？,branch_content,娜塔莎
30,|选项2=被怪物毁掉了一些。,option,开拓者
31,|剧情2=*希儿：喂，用不着说谎，娜塔不会因为这种事埋怨咱们的。,branch_content,希儿
32,*希儿：是克拉拉，她比我们先一步到了储藏室。止痛剂我们跟她平分了。,content,希儿
33,}},default,
34,*娜塔莎：那孩子的话，我大概明白…她是想照顾受伤的流浪者吧？克拉拉一直很善良……,content,娜塔莎
35,*娜塔莎：我认为你们做了正确的决定。不过这么一来，我得好好规划下用药的剂量了。,content,娜塔莎
36,*希儿：不怕，有我帮你。,content,希儿
37,*娜塔莎：嘿…不用啦，诊所交给我就好。你们三个还有更重要的事要做吧？奥列格——还有那两位小伙伴，他们正等着呢。,content,娜塔莎
38,{{剧情选项,default,
39,|选项1=都快忘了还有这俩人了。,option,开拓者
40,|剧情1=*布洛妮娅：原来你们三个关系没那么好啊？我还以为是生死之交呢。,branch_content,布洛妮娅
41,*娜塔莎：哈哈，布洛妮娅真可爱呢。开拓者明显是在开玩笑，对吧？,content,娜塔莎
42,|选项2=走之前忘了跟他们打招呼了…,option,开拓者
43,|剧情2=*娜塔莎：倒也没太大关系，我看那两个孩子精神得很呢。,branch_content,娜塔莎
44,}},default,
45,*希儿：奥列格大叔是想谈谈史瓦罗的事吧？我们得走了，不好意思，娜塔——伤员就麻烦你啦。,content,希儿
46,*娜塔莎：放心吧，祝你们顺利啊。,content,娜塔莎
47,:{{颜色|描述|获得角色{{图标|娜塔莎}}}},default,
48,,default,
49,=== 与同伴及奥列格会合 ===,default,
50,{{任务描述|娜塔莎告诉你，三月七和丹恒正和「地火」首领奥列格在一起。看来在你离开的时间里，你的同伴也在有条不紊地进行着各自的工作——<br>至少，他们这次没有丢下你跑去和小朋友捉迷藏，或者是去拳馆赚外快…<br>总之，现在就出发与同伴会合，看看他们的工作成果如何吧。}},default,
51,*布洛妮娅：呵……,content,布洛妮娅
52,*希儿：怎么，这就困了？,content,希儿
53,*布洛妮娅：你不累吗？一晚上没休息了。,content,布洛妮娅
54,*希儿：我的最高纪录可是六天不合眼，你还得加把劲啊。,content,希儿
55,----,default,
56,:{{颜色|描述|见到同伴和奥列格…}},default,
57,*三月七：嘿！他们总算回来啦。,content,三月七
58,{{剧情选项,default,
59,|选项1=没打招呼就消失了，抱歉。,option,开拓者
60,|剧情1=*三月七：哈，这有什么，不打招呼就消失的纪录保持者在这儿呢！,branch_content,三月七
61,*丹恒：不知道你骄傲什么。,content,丹恒
62,|选项2=别担心，我毫发无损。,option,开拓者
63,|剧情2=*三月七：…呃，我没担心你。要说的话，我也是担心布洛妮娅呀。,branch_content,三月七
64,*丹恒：你明明担心得坐立不安。,content,丹恒
65,}},default,
66,*奥列格：哈哈哈，这下人都齐了，那我就直入主题——,content,奥列格
67,*奥列格：关于你们上次说的「星核」，还有在上层区的遭遇，这两位年轻人又从头帮我捋了一遍。,content,奥列格
68,*奥列格：上次见到可可利亚，她还是个做派强势的小丫头…没想到当上守护者以后……,content,奥列格
69,*奥列格：只能说，我对你们的遭遇表示同情。放心吧，「地火」不会干背后捅刀子的事儿。,content,奥列格
70,*奥列格：虽然你们的计划跟矿工喝醉以后的胡言乱语差不多，但至少指了条路。下层人早已无路可走，事已至此，我宁愿在你们身上赌一把。,content,奥列格
71,*三月七：放心吧大叔，我们会证明你没信错人！,content,三月七
72,*丹恒：也不是矿工喝醉以后的胡言乱语。,content,丹恒
73,*奥列格：好！那就把目光放得现实一点儿，你们几个想知道「星核」的下落，而我们「地火」想解除下层区的封锁——,content,奥列格
74,*奥列格：也就是说，我们的目标都是史瓦罗。不解决那个「大佬」，后面的东西都是废话。,content,奥列格
75,{{剧情选项,default,
76,|选项1=没错，我们去打倒史瓦罗！,option,开拓者
77,|剧情1=*丹恒：先礼后兵，还是先考虑和平沟通吧。,branch_content,丹恒
78,*奥列格：你俩说的都有道理，我们当然想尽量和平解决问题，避免损失。但是假如情况有变，那我们也得时刻做好使用武力的准备。,content,奥列格
79,|选项2=得想办法让他站在我们一边。,option,开拓者
80,|剧情2=*希儿：哼，他是个机器人，听得懂什么？直接砍翻那坨废铁最快了！,branch_content,希儿
81,*奥列格：没错，我们得做好两手准备。能和平解决问题当然最好，但假如情况有变，也得时刻做好使用武力的准备。,content,奥列格
82,}},default,
83,*奥列格：「地火」多次尝试跟史瓦罗接触。但每次都被拒之门外，那家伙压根不打算跟我们对话。,content,奥列格
84,*奥列格：以我们的实力，来硬的风险极大。史瓦罗的机器人不怕牺牲，我却不想拿下层百姓的命冒险。,content,奥列格
85,*奥列格：但现在不一样了，你们的到来让史瓦罗也承认「出现外来变量」，事情发生了变化，我虽然不清楚原委——但也许你们有机会说动他。,content,奥列格
86,*丹恒：那是最好。,content,丹恒
87,*奥列格：哈哈哈哈！瞧咱们这小算盘打的？想得是真美呵。唉，等你们真到了史瓦罗的地盘就懂了，这地下从来就没有那么顺利的事儿。,content,奥列格
88,*奥列格：怎么说，铁卫丫头？我们这一圈人里，就你没有必须跟史瓦罗死磕到底的理由。我倒想听听你的打算。,content,奥列格
