line_number,content,category,character
1,{{面包屑|星海纪闻}},default,
2,{{星海纪闻导航}},default,
3,==银河==,default,
4,{| class=wikitable width=100%,default,
5,!虚数之树,default,
6,|遍入一切的存在本质，诞生众多世界的宇宙结构。,default,
7,|-,default,
8,!裂界,default,
9,|随星核而出现的空间扭曲现象，不停蚕食着现实。,default,
10,|-,default,
11,!寰宇蝗灾,default,
12,|塔伊兹育罗斯，于仇恨与孤独中飞升为「繁育」之星神。<br>接着，一场浩瀚的「虫潮」席卷了宇宙。,default,
13,|-,default,
14,!忆质,default,
15,|人类记忆与意识的载体、质料。若非忆者，直接接触未经处理的忆质将受到不同程度的影响。<br>「忆域」和「忆泡」都是忆质的聚合体，仅有规模大小之分。,default,
16,|-,default,
17,!忆域,default,
18,|由「忆质」凝聚形成的空间，无法对其中的内容进行直接观测，只有「记忆」的命途行者——或使用非正常手段才能在其中来去自如。<br>过去，「神秘」曾在宇宙与忆域的边界凿出大量泄口。,default,
19,|-,default,
20,!联觉梦境,default,
21,|一种器质性精神障碍的特殊表现，多发生于与忆质泄口密切相关的星系。<br>无数梦境交错重叠，人们得以在梦中的世界相会，甚至展开全新的生活。,default,
22,|},default,
23,==命途==,default,
24,{| class=wikitable width=100%,default,
25,!命途,default,
26,|星神所行之道。<br>与之同行者，必能领受其恩赐。,default,
27,|-,default,
28,!命途行者,default,
29,|行走于命途之上，从命途中获取力量的人们。,default,
30,|-,default,
31,!令使,default,
32,|由星神处直接获得力量的命途行者，拥有远超凡人的实力。<br>通常为星神意志的代行人。,default,
33,|-,default,
34,!毁灭,default,
35,|星神「纳努克」执掌的命途。<br>莽撞、愤怒、破坏的行为是「毁灭」命途的体现。,default,
36,|-,default,
37,!巡猎,default,
38,|星神「岚」执掌的命途。<br>决断、冷酷、复仇的行为是「巡猎」命途的体现。,default,
39,|-,default,
40,!智识,default,
41,|星神「博识尊」执掌的命途。<br>思考、逻辑、策略的行为是「智识」命途的体现。,default,
42,|-,default,
43,!同谐,default,
44,|星神「希佩」执掌的命途。<br>理解、支持、配合的行为是「同谐」命途的体现。,default,
45,|-,default,
46,!虚无,default,
47,|星神「Ⅸ」执掌的命途。<br>懒惰、疲惫、无意义的行为是「虚无」命途的体现。,default,
48,|-,default,
49,!存护,default,
50,|星神「克里珀」执掌的命途。<br>等待、牺牲、保护的行为是「存护」命途的体现。,default,
51,|-,default,
52,!丰饶,default,
53,|星神「药师」执掌的命途。<br>无私、利他、治愈的行为是「丰饶」命途的体现。,default,
54,|},default,
55,== 星神 ==,default,
56,{| class=wikitable width=100%,default,
57,!星神,default,
58,|神秘的高等存在，宛如有灵之天体。<br>各自司掌着不同的「命途」，能自由往来于星海之间。<br>掌控着抹消现实，创造世界的巨大力量。,default,
59,|-,default,
60,!纳努克,default,
61,|执掌「毁灭」命途的星神，诞生自沦亡世界亚德丽芬。<br>祂往往以黝黑皮肤，金黄双眼的人类男子形象现身。,default,
62,|-,default,
63,!岚,default,
64,|被仙舟称为「帝弓司命」的游弋星神，执掌「巡猎」命途。<br>祂无止尽地游荡在诸界之间，铲除「丰饶」星神造就的孽物。,default,
65,|-,default,
66,!博识尊,default,
67,|执掌「智识」命途的星神。<br>原为用于求解万物的星体计算机，由机器升格而成。,default,
68,|-,default,
69,!希佩,default,
70,|来自多个谐乐天体世界的星神，执掌「同谐」命途。<br>千面一体，宣扬着人类和谐一致的喜乐。,default,
71,|-,default,
72,!Ⅸ,default,
73,|执掌「虚无」命途的星神，其存在是一个谜。<br>Ⅸ不与其他星神往来，祂相信多宇宙的最终将是虚无，因而毫无价值。,default,
74,|-,default,
75,!克里珀,default,
76,|天慧星墙、亚空晶壁，巨引源基盘的砌造者，崇拜者称其「琥珀王」。<br>执掌「存护」命途，最坚韧和古老的星神之一。,default,
77,|-,default,
78,!药师,default,
79,|众生哺育者，乐土之神，旨在令生命兴盛不熄。<br>药师执掌「丰饶」命途，「巡猎」的岚视祂为死敌。,default,
80,|-,default,
81,!阿基维利,default,
82,|执掌「开拓」命途的星神，从孤绝世界裴伽纳出发，不断开拓未知的边界。<br>祂的命运因意外而终结。,default,
83,|-,default,
84,!阿哈,default,
85,|「欢愉」的星神。无人能预测祂会因何开怀大笑。<br>欢乐乃是智慧生灵的特权，阿哈鼓舞信徒享受生命的欢愉，自命运刀锋般的转折中寻求快乐。,default,
86,|-,default,
87,!龙,default,
88,|执掌「不朽」命途的古老星神，已陨。<br>过去多以巨龙的形态现身，曾留下数目众多的子嗣，即「龙裔」。,default,
89,|-,default,
90,!末王,default,
91,|逆时而行的生物，执掌「终末」命途的星神。<br>穿行于宙域之间的幽灵，喃喃宣布着必将实现的预言。,default,
92,|-,default,
93,!互,default,
94,|执掌「均衡」命途的星神，形态不明。<br>互与其手下的令使潜移默化地影响宇宙，试图促成理想状态下的平衡。,default,
95,|-,default,
96,!浮黎,default,
97,|思维即是存在，记忆即是存在的证据。<br>执掌「记忆」命途的星神记录被遗忘的一切，为宇宙的重生做好准备。,default,
98,|-,default,
99,!塔伊兹育罗斯,default,
100,|执掌「繁育」命途的古老星神，已陨。<br>塔伊兹育罗斯是鞘翅目的最后一员，形如自我复制的恐怖，引领无尽繁衍的的荒潮。<br>祂，或者说，祂们横行诸界，直到众神以某种方式阻止了祂的前进。,default,
101,|-,default,
102,!贪饕,default,
103,|执掌「贪饕」命途的古老星神，永无餍足的世界吞噬者。<br>传说祂既是「星神」，也是远古生命体：「古兽」。,content,也是远古生命体
104,|-,default,
105,!迷思,default,
106,|执掌「神秘」命途的星神，形态不明。<br>祂认为物自体不可洞察，有限之物不能想像无限，故万物成谜。,default,
107,|-,default,
108,!伊德莉拉,default,
109,|物质世界的纯善映射在智慧生命心底而成「意义」——即谓之「美」的存在。<br>伊德莉拉曾为执掌「纯美」命途的星神，现已消失无踪。,default,
110,|},default,
111,==派系==,default,
112,{| class=wikitable width=100%,default,
113,!???!!星核猎手,default,
114,|穿行诸界之间狩猎星核的组织。<br>赐予其能力的星神是谁尚不明了。,default,
115,|-,default,
116,!rowspan=2|开拓!!无名客,default,
117,|与「开拓」的星神共同探索宇宙的人们。<br>一群勇敢而好奇的星际探险者。<br>无名客不图名利，阿基维利陨落后，有些无名客仍在坚持开拓之路。,default,
118,|-,default,
119,!星穹列车,default,
120,|「开拓」的星神阿基维利曾搭乘的列车。<br>行于星空的轨道上，驶过诸多世界。,default,
121,|-,default,
122,!rowspan=2|巡猎!!仙舟联盟,default,
