line_number,content,category,character
1,===星穹列车===,default,
2,"{| class=wikitable style=""width:100%""",default,
3,! 开拓者,default,
4,|{{#show:开拓者|?介绍}},default,
5,|-,default,
6,!三月七,default,
7,|{{#show:三月七|?介绍}},default,
8,|-,default,
9,!丹恒,default,
10,|{{#show:丹恒|?介绍}},default,
11,|-,default,
12,!姬子,default,
13,|{{#show:姬子|?介绍}},default,
14,|-,default,
15,!瓦尔特•杨,default,
16,|{{#show:瓦尔特|?介绍}},default,
17,|},default,
18,===空间站「黑塔」===,default,
19,"{| class=wikitable style=""width:100%""",default,
20,!艾丝妲,default,
21,|{{#show:艾丝妲|?介绍}},default,
22,|-,default,
23,!阿兰,default,
24,|{{#show:阿兰|?介绍}},default,
25,|},default,
26,===星核猎手===,default,
27,"{| class=wikitable style=""width:100%""",default,
28,!卡芙卡,default,
29,|{{#show:卡芙卡|?介绍}},default,
30,|-,default,
31,!银狼,default,
32,|{{#show:银狼|?介绍}},default,
33,|-,default,
34,!刃,default,
35,|{{#show:刃|?介绍}},default,
36,|-,default,
37,!艾利欧,default,
38,|「星核猎手」的首领，被称为「命运的奴隶」。<br>拥有预见未来可能性的能力/诅咒。,default,
39,|-,default,
40,!萨姆,default,
41,|星核猎手的成员，身披坚甲的战士。<br>他的机械铠甲能够释放炽焰，点燃战场，发动烈火般的攻势。,default,
42,|-,default,
43,!rowspan=2|流萤,default,
44,|自称是鸢尾花家系的新人艺者。<br>被猎犬家系成员当作偷渡犯，后为报答开拓者出手解围主动担任导游一职。,default,
45,|-,default,
46,|自称是鸢尾花家系的新人艺者，实为「星核猎手」的成员。<br>为了让「星穹列车一同追逐『盛大的遗产』」不惜以身涉险，最终「死而复生」。,default,
47,|},default,
48,===雅利洛-Ⅵ===,default,
49,"{| class=wikitable style=""width:100%""",default,
50,!rowspan=2|布洛妮娅•兰德,default,
51,|{{#show:布洛妮娅|?介绍}},default,
52,|-,default,
53,|{{颜色|描述2|（完成开拓任务[[静静的星河]]后）}}<br>贝洛伯格现任「大守护者」。<br>兼有公主的高傲和军人的坚贞。,default,
54,|-,default,
55,!rowspan=2|可可利亚•兰德,default,
56,|贝洛伯格的现任大守护者。<br>寡欲无情，以她所坚信的方式守望着这个冰雪世界。,default,
57,|-,default,
58,||{{颜色|描述2|（完成开拓任务[[静静的星河]]后）}}<br>贝洛伯格的前任大守护者。<br>寡欲无情，以她所坚信的方式守望着这个冰雪世界。,default,
59,|-,default,
60,!希儿,default,
61,|{{#show:希儿|?介绍}},default,
62,|-,default,
63,!杰帕德•朗道,default,
64,|{{#show:杰帕德|?介绍}},default,
65,|-,default,
66,!希露瓦•朗道,default,
67,|{{#show:希露瓦|?介绍}},default,
68,|-,default,
69,!玲可•朗道,default,
70,|{{#show:玲可|?介绍}},default,
71,|-,default,
72,!佩拉格娅•谢尔盖耶夫娜,default,
73,|{{#show:佩拉|?介绍}},default,
74,|-,default,
75,!桑博•科斯基,default,
76,|{{#show:桑博|?介绍}},default,
77,|-,default,
78,!娜塔莎,default,
79,|{{#show:娜塔莎|?介绍}},default,
80,|-,default,
81,!虎克,default,
82,|{{#show:虎克|?介绍}},default,
83,|-,default,
84,!克拉拉,default,
85,|{{#show:克拉拉|?介绍}},default,
86,|-,default,
87,!史瓦罗,default,
88,|旧世界遗留的智能机器人。<br>始终以自己的方式满足着克拉拉的心愿。,default,
89,|-,default,
90,!卢卡,default,
91,|{{#show:卢卡|?介绍}},default,
92,|},default,
93,,default,
94,===仙舟「罗浮」===,default,
95,"{| class=wikitable style=""width:100%""",default,
96,!素裳,default,
97,|{{#show:素裳|?介绍}},default,
98,|-,default,
99,!景元,default,
100,|{{#show:景元|?介绍}},default,
101,|-,default,
102,!罗刹,default,
103,|{{#show:罗刹|?介绍}},default,
104,|-,default,
105,!彦卿,default,
106,|{{#show:彦卿|?介绍}},default,
107,|-,default,
108,!停云,default,
109,|{{#show:停云|?介绍}},default,
110,|-,default,
111,!驭空,default,
112,|{{#show:驭空|?介绍}},default,
113,|-,default,
114,!青雀,default,
115,|{{#show:青雀|?介绍}},default,
116,|-,default,
117,!白露,default,
118,|{{#show:白露|?介绍}},default,
119,|-,default,
120,!雪衣,default,
121,|{{#show:雪衣|?介绍}},default,
122,|-,default,
123,!符玄,default,
124,|{{#show:符玄|?介绍}},default,
125,|-,default,
126,!镜流,default,
127,|{{#show:镜流|?介绍}},default,
128,|-,default,
129,!丹恒•饮月,default,
130,|{{#show:丹恒•饮月|?介绍}},default,
131,|-,default,
132,!桂乃芬,default,
133,|{{#show:桂乃芬|?介绍}},default,
134,|-,default,
135,!藿藿,default,
136,|{{#show:藿藿|?介绍}},default,
137,|},default,
138,===仙舟「曜青」===,default,
139,"{| class=wikitable style=""width:100%""",default,
140,!飞霄,default,
141,|节制仙舟「曜青」的帝弓天将，人称「天击将军」。<br>决事如雷，进退自在，以其昭彰武德履立显赫战功。,default,
142,|-,default,
143,!椒丘,default,
144,|飞霄帐下的幕僚，负责照料她的饮食与健康。<br>在他看来，炼药的鼎镬与炉上的火锅是为一物，锅中的食材与药材也并无区别…,default,
145,|-,default,
146,!貊泽,default,
147,|飞霄帐下的幕僚，负责情报与护卫工作。<br>作为隐于暗处的锋刃，鲜少存在感的他只在需要露面的时候露面。,default,
148,|},default,
149,,default,
150,===仙舟「朱明」===,default,
151,"{| class=wikitable style=""width:100%""",default,
152,!云璃,default,
153,|造访罗浮仙舟的朱明剑士，备受怀炎将军宠爱的徒孙女。<br>对德不配位的习武之人不假辞色，爱将手下败将的兵刃收归己有。,default,
154,|-,default,
155,!怀炎,default,
156,|节制仙舟「朱明」的帝弓天将，人称「烛渊将军」。<br>一副枯朽老者的尊容，于驻颜长春的仙舟人中堪称异数。,default,
157,|},default,
158,===仙舟「玉阙」===,default,
159,"{| class=wikitable style=""width:100%""",default,
160,!爻光,default,
161,|节制仙舟「玉阙」的帝弓天将，人称「戎韬将军」。<br>联盟中罕有人睹其真容的文职将军，时刻隐于幕后，为元帅占算大略。,default,
162,|},default,
163,===匹诺康尼===,default,
164,"{| class=wikitable style=""width:100%""",default,
165,!rowspan=3|「钟表匠」,default,
166,|匹诺康尼的传奇大亨，被誉为「匹诺康尼之父」，梦境世界的奠基人。<br>然而无人知晓其真身。,default,
167,|-,default,
168,|{{颜色|描述2|（完成开拓任务[[外邦为何争闹？]]后）}}<br>匹诺康尼的传奇大亨，被誉为「匹诺康尼之父」。<br>真名为米哈伊尔，如今被匹诺康尼的家族视作叛徒。,default,
169,|-,default,
170,|{{颜色|描述2|（完成开拓任务[[等醒来再哭泣]]后）}}<br>匹诺康尼的传奇大亨拉格沃克•夏尔•米哈伊尔，过去的无名客。<br>穷尽一生与家族中潜伏的恶徒对抗，临终前向全银河发出邀请，只为完成未竟的事业。,default,
171,|-,default,
172,!rowspan=2|米沙,default,
173,|「白日梦」酒店的门童，对星穹列车所行的「开拓」之道十分向往。,default,
174,|-,default,
175,|米哈伊尔童年美梦中懵懂无知的主角，从梦泡中脱逃。<br>肩负着引导星穹列车寻得「钟表匠」遗产的使命，因此误以为自己是匹诺康尼的「门童」。,default,
176,|-,default,
177,!rowspan=2|星期日,default,
178,|博爱克己的橡木家系家主，美梦乐园天生的领导者。<br>备受外界瞩目，知更鸟的兄长。,default,
179,|-,default,
180,|{{颜色|描述2|（完成开拓任务[[然后，在第八天…]]后）}}<br>博爱克己的橡木家系家主。<br>为了完成童年时与妹妹的约定，最终走上了与妹妹截然不同的道路。,default,
181,|-,default,
182,!知更鸟,default,
183,|闻名银河的歌者，星空舞台天生的主角。<br>以自己的歌声向全宇宙传唱「同谐」的美名。,default,
184,|-,default,
185,!rowspan=3|加拉赫,default,
186,|不修边幅的调饮师，也是猎犬家系的治安官。<br>身为匹诺康尼本地人，阅历异常丰富，却很少主动向人提及。,default,
187,|-,default,
188,|{{颜色|描述2|（完成开拓任务[[行过死荫之地]]后）}}<br>匹诺康尼本地不修边幅的调饮师，也是猎犬家系的治安官。<br>疑似「神秘」的命途行者，与忆域迷因「何物朝向死亡」密切相关。,default,
189,|-,default,
190,|{{颜色|描述2|（完成开拓任务[[等醒来再哭泣]]后）}}<br>「钟表匠」忠心的猎犬，某位虚构史学家以匹诺康尼的种种事实为基底杜撰的人物。<br>继承了「钟表匠」的遗志，与家族周旋至生命的最后一刻。,default,
191,|},default,
192,,default,
193,===星际和平公司===,default,
194,"{| class=wikitable style=""width:100%""",default,
195,!托帕,default,
196,|星际和平公司「战略」投资部的高级干部，领导特殊债务纠察小组。<br>年纪轻轻便已成为「石心十人」之一，基石为「催讨黄玉」。<br>与搭档「账账」一同巡行星河，追究各类影响公司业务开展的债务纠纷。,default,
197,|-,default,
198,!账账,default,
199,|敏锐感知「财富」所在的次元扑满，托帕的家人兼商业伙伴。<br>即便是安保、催债、精算等工作也不在话下。,default,
200,|-,default,
201,!砂金,default,
202,|星际和平公司「战略投资部」的高级干部，「石心十人」之一，基石为「诡弈砂金」。<br>时常面带笑容，真心却难以揣测，恪守「风险越大回报越大」的人生信条。,default,
203,|-,default,
204,!翡翠,default,
205,|星际和平公司「战略投资部」的高级干部，「石心十人」之一，基石为「典贷翡翠」。,default,
206,|},default,
207,===纯美骑士团===,default,
208,"{| class=wikitable style=""width:100%""",default,
209,!银枝,default,
210,|{{#show:银枝|?介绍}},default,
211,|},default,
212,===天才俱乐部===,default,
213,"{| class=wikitable style=""width:100%""",default,
214,!黑塔,default,
215,|{{#show:黑塔|?介绍}},default,
216,|-,default,
217,!阮•梅,default,
218,|「天才俱乐部」#81号会员，与黑塔、螺丝咕姆、斯蒂芬联合开发了「模拟宇宙」。<br>生命领域的大师，性情寡淡，只对研究痴迷。,default,
219,|-,default,
220,!#27 鲁珀特,default,
221,|「天才俱乐部」#27号会员，自号「帝皇」，推导出反有机方程。<br>引发了席卷宇宙的「第一次帝皇战争」。,default,
222,|},default,
223,===博识学会===,default,
224,"{| class=wikitable style=""width:100%""",default,
225,|-,default,
226,!真理医生,default,
227,|古怪、自我、略显阴郁又不失风度的「博识学会」学者。<br>容貌俊美，却常以奇怪的石膏头雕遮蔽面容。,default,
228,|},default,
229,===流光忆庭===,default,
230,"{| class=wikitable style=""width:100%""",default,
231,|-,default,
232,!黑天鹅,default,
233,|慵懒神秘的忆者，热衷于收藏各种有趣的记忆。<br>认为命运并非不可捉摸，一切都将成为存在于永恒记忆中的「已知」。,default,
234,|},default,
235,===假面愚者===,default,
236,"{| class=wikitable style=""width:100%""",default,
237,|-,default,
238,!花火,default,
239,|假面愚者的成员，热情烂漫却阴晴不定。<br>为了取乐游走在各大派系间，凭一己之力将世界搞得天翻地覆。,default,
240,|},default,
241,===自灭者===,default,
242,"{| class=wikitable style=""width:100%""",default,
243,|-,default,
244,!rowspan=2|黄泉,default,
245,|冷漠寡言的旅人，与巡海游侠联系紧密。似乎容易忘记重要的事。,default,
246,|-,default,
247,|{{颜色|描述2|（完成开拓任务[[行过死荫之地]]后）}}<br>淡漠寡言的旅人，从「虚无」Ⅸ的阴影中归来的「自灭者」。<br>为了对抗命运，她不断挥舞手中的刀，试图将命途斩断。,default,
248,|},default,
