line_number,content,category,character
1,{{光锥图鉴<!-- 本段为备注信息，以下请在=后填写对应数据-->,default,
2,|名称=这就是我啦！,default,
3,|稀有度=4星,default,
4,|命途=存护,default,
5,|命途材料=存护1,default,
6,|技能名称=新篇章,default,
7,|技能效果=使装备者防御力提高{{颜色|描述2|16%/20%/24%/28%/32%}}。使装备者施放终结技时造成的伤害值提高，提高数值等同于装备者防御力的{{颜色|描述2|60%/75%/90%/105%/120%}} ，该效果对每个敌方目标仅生效1次。,default,
8,|光锥故事=少女穿什么都很可人，但她似乎仍不满意，身后堆叠的衣服不下十几套。<br><br>''「今天会是最后一次么？」''<br><br>她默默地想着，抬头看向镜中的少女，今天的她好像格外开心。<br><br>''「好啦！这就是我啦！」'',default,
9,|获取方式=无名勋礼,default,
10,|光锥TAG=防御力、终结技,default,
11,|实装版本=1.0,default,
12,|相关角色=三月七、姬子,default,
13,|生命值=38,default,
14,|20生命值=147,default,
15,|20+生命值=193,default,
16,|30生命值=251,default,
17,|30+生命值=312,default,
18,|40生命值=370,default,
19,|40+生命值=432,default,
20,|50生命值=489,default,
21,|50+生命值=551,default,
22,|60生命值=608,default,
23,|60+生命值=670,default,
24,|70生命值=727,default,
25,|70+生命值=789,default,
26,|80生命值=846,default,
27,|攻击力=16,default,
28,|20攻击力=64,default,
29,|20+攻击力=84,default,
30,|30攻击力=110,default,
31,|30+攻击力=136,default,
32,|40攻击力=162,default,
33,|40+攻击力=189,default,
34,|50攻击力=214,default,
35,|50+攻击力=241,default,
36,|60攻击力=266,default,
37,|60+攻击力=293,default,
38,|70攻击力=318,default,
39,|70+攻击力=345,default,
40,|80攻击力=370,default,
41,|防御力=24,default,
42,|20防御力=92,default,
43,|20+防御力=121,default,
44,|30防御力=157,default,
45,|30+防御力=195,default,
46,|40防御力=231,default,
47,|40+防御力=270,default,
48,|50防御力=306,default,
49,|50+防御力=344,default,
50,|60防御力=380,default,
51,|60+防御力=418,default,
52,|70防御力=454,default,
53,|70+防御力=493,default,
54,|80防御力=529,default,
55,|晋阶材料=虚卒,default,
56,}},default,
57,<br>,default,
58,{{主观提示|攻略相关}},default,
59,==推荐角色==,default,
60,"{| class=""wikitable"" style=""text-align:center""",default,
61,! 角色,default,
62,! 推荐说明,default,
63,|-,default,
64,| {{角色头像|开拓者•存护}}<br>{{角色头像|三月七}},default,
65,"| style=""text-align:left"" | 拥有四星中最高的基础防御力，对生存能力和盾量都有比较优秀的提升。<br>",default,
66,开拓者和三月七都可以触发提高终结技伤害值的光锥技能。在满叠且角色练度非常高的时候对于一个生存角色来说算是不错的输出，但存护角色'''通常不叠'''双暴增伤且'''不推荐'''叠输出，大部分情况下当做添头即可。,default,
67,|-,default,
68,| {{角色头像|杰帕德}},default,
69,"| style=""text-align:left"" | 极高的基础防御力，光锥技能使装备者防御力提高，数值超过了目前所有的同类型4星光锥，更高的防御提供更多的盾量。提升终结技伤害值的光锥技能杰帕德无法触发，仅有防御力是有效词条。",default,
70,|},default,
71,{{WIKI底部导航|光锥=展开}},default,
