line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=这里的黎明……,default,
3,|任务地区=雅利洛-Ⅵ,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=克服千难万险之后，你们终于来到了寒潮肆虐的极北之地，百年来除大守护者外无人能够踏足的古代战场。<br>可可利亚与布洛妮娅就在这里的某处…你们要做的就是深入禁域，找到她们。<br>那灾难的源头「星核」也在前方——做好决一死战的准备吧。,default,
7,|奖励=无,default,
8,|任务条件=开启[[过去早已无路可通]],default,
9,|开放等级=24,default,
10,|出场人物=三月七、丹恒、希儿、布洛妮娅、可可利亚,default,
11,|相关道具=,default,
12,|相关成就=,default,
13,|系列任务=于曈昽的骄阳下,default,
14,|任务编号=07,default,
15,|前置任务=*[[过去早已无路可通]],default,
16,|后续任务=*[[回归]],default,
17,|任务流程=*寻找布洛妮娅和可可利亚的踪影,default,
18,}},default,
19,==剧情内容==,default,
20,=== 寻找布洛妮娅和可可利亚的踪影 ===,default,
21,{{任务描述|克服千难万险之后，你们终于来到了寒潮肆虐的极北之地，百年来除大守护者外无人能够踏足的古代战场。<br>可可利亚与布洛妮娅就在这里的某处…你们要做的就是深入禁域，找到她们。<br>那灾难的源头「星核」也在前方——做好决一死战的准备吧。|雅利洛-Ⅵ-永冬岭}},default,
22,*三月七：…好…好冷！光凭一点点开拓的力量，已经没法抵御低温了……,content,三月七
23,*丹恒：这说明我们正在靠近星核…靠近寒潮的中心。,content,丹恒
24,----,default,
25,{{折叠|标题=额外对话（调查虚卒遗骸）|内容=,default,
26,*三月七：这是什么东西啊…噫，真可怕！,content,三月七
27,*丹恒：就像被琥珀困住的昆虫……,content,丹恒
28,*三月七：反物质军团的爪牙入侵这个世界时，一定没想到自己会被寒潮吞没吧。,content,三月七
29,*三月七：不过，冰块里这些家伙还活着吗……,content,三月七
30,{{剧情选项,default,
31,|选项1=要不给他解冻试试？,option,开拓者
32,|图标1=对话,default,
33,|剧情1=*三月七：不了不了，解冻了也是添堵。,branch_content,三月七
34,|选项2=你会不会也是这样…,option,开拓者
35,|图标2=对话,default,
36,|剧情2=*三月七：我…还是记不起来啊…没有印象……,branch_content,三月七
37,|选项3=给他起名七月三好了。,option,开拓者
38,|图标3=对话,default,
39,|剧情3=*三月七：亏你这时候还有心情开玩笑啊……,branch_content,三月七
40,}},default,
41,|折叠=是}},default,
42,{{折叠|标题=调查虚卒遗骸|内容=,default,
43,被冰封的虚卒遗骸遍布这条山道，看来就连残暴的军团也无法抵御寒潮的威力。<br>,default,
44,但那虚卒的遗体竟保存得如此完整，你不禁开始思考…也许三月七的怀疑有些道理。<br>,default,
45,——无论如何，绝对不能给这些东西解冻。,default,
46,|折叠=是}},default,
47,:{{颜色|描述|你们往前走，看到了一个巨大的建筑…}},default,
48,*希儿：这是…「筑城者」留下的遗迹吗？,content,希儿
49,*丹恒：…跟城里那些一板一眼的建筑完全不同。,content,丹恒
50,*三月七：看起来…像不像一只巨大的手掌？,content,三月七
51,----,default,
52,:{{颜色|描述|你们继续向前…}},default,
53,*三月七：如果可可利亚拿布洛妮娅来要挟我们……,content,三月七
54,*希儿：必须把她救下来。下层区…不，这个世界都靠她了。,content,希儿
55,----,default,
56,:{{颜色|描述|你们看到了布洛妮娅和可可利亚…}},default,
57,*布洛妮娅：…不…不要……,content,布洛妮娅
