line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=退房,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=冒险任务,default,
6,|所属版本=2.3,default,
7,|任务描述=得知星穹列车获赠匹诺康尼集团5%的股权后，你即刻决定前往白日梦酒店耀武扬威，并顶替大堂经理丹尼斯当上了酒店总管。<br>「工作」期间，你遇上了不少新朋旧友，接着又被卷入了一场荒诞且…呃…「短小」的骗局之中。,default,
8,|奖励={{图标|里程|450}}{{图标|星琼|50}}{{图标|漫游指南|8}}{{图标|提纯以太|6}}{{图标|遗失晶块|8}}{{图标|金表钞|360}}{{图标|信用点|80000}},default,
9,|任务条件=完成任务[[异乡异客]]，并阅读指定短信,default,
10,|开放等级=34,default,
11,|相关活动=,default,
12,|相关成就=与你同行的回忆#酒店内禁止执行任务,default,
13,|相关道具=,default,
14,|相关书籍=,default,
15,|出场人物=姬子、瓦尔特、三月七、丹恒、波提欧、银枝、托帕、砂金、翡翠、青雀、知更鸟,default,
16,|领取地点=,default,
17,|前置任务=*[[异乡异客]],default,
18,|后续任务=<!-- *[[后续任务]] -->,default,
19,|任务流程=*,default,
20,*,default,
21,}},default,
22,,default,
23,==剧情内容==,default,
24,=== 任务接取短信 ===,default,
25,{{角色对话|模板开始|星穹列车一家人}},default,
26,{{角色对话|左|姬子|文本|各位，都在吗？}},default,
27,{{角色对话|左|姬子|文本|我有一件重要的事想要宣布}},default,
28,{{短信选项,option,开拓者
29,|选项1=要开始发工资了？,option,开拓者
30,|剧情1={{角色对话|右|开拓者|文本|以后终于可以领工资了？棒！}},branch_content,
31,{{角色对话|左|姬子|文本|很可惜，暂时还没有这个打算哦}},default,
32,{{角色对话|左|姬子|文本|无名客的花销预算暂时还是由领航员来统一管理，个别乘客如有需要，可以来向我申请额外的零花钱}},default,
33,{{角色对话|左|三月七|文本|话说回来，为什么杨叔好像从来都不愁钱花……}},default,
34,{{角色对话|左|姬子|文本|瓦尔特先生是例外哦~}},default,
35,{{角色对话|左|瓦尔特|文本|羡慕吧，年轻人。}},default,
36,|选项2=终于要改进伙食了？,option,开拓者
37,|剧情2={{角色对话|右|开拓者|文本|餐车的菜单要更新了？终于等到今天了！}},branch_content,
38,{{角色对话|左|姬子|文本|开拓者乘客是对现在的菜单有什么不满意的地方吗？}},default,
39,{{角色对话|左|三月七|文本|我猜他/她八成又要抱怨预制菜的问题了！}},default,
40,{{角色对话|左|姬子|文本|那我可以提供一条个人建议：少刷几个美食博主的视频}},content,那我可以提供一条个人建议
41,|选项3=我坦白……,option,开拓者
42,|剧情3={{角色对话|右|开拓者|文本|我坦白，丹恒的肩颈按摩仪是我借走的}},branch_content,
43,{{角色对话|左|丹恒|文本|原来是你。}},default,
44,{{角色对话|左|丹恒|文本|顺带一提，打过招呼才叫「借」，否则应该叫「偷」。}},default,
45,{{角色对话|左|姬子|文本|一个按摩仪而已，开拓者想要的话就再下单买一个吧}},default,
46,{{角色对话|左|姬子|文本|顺带查了一下价格，这笔账还是算在开拓者个人头上吧}},default,
47,}},default,
48,{{角色对话|左|姬子|文本|言归正传——我想告诉大家的消息是，星穹列车将在不久之后成为「匹诺康尼集团」的股东之一}},default,
49,{{角色对话|左|姬子|文本|家族和公司很快就会展开正式的谈判，商讨梦境的重建方案以及后续的融资计划}},default,
50,{{角色对话|左|姬子|文本|这轮融资之后，星际和平公司将会持有匹诺康尼30%的股权}},default,
51,{{角色对话|左|姬子|文本|而战略投资部为我们争取到了一项权益：融资完成后，公司同意将5%的股权转让给星穹列车，以表达与无名客达成长期合作的诚意}},content,而战略投资部为我们争取到了一项权益
52,{{角色对话|左|三月七|文本|哇}},default,
53,{{角色对话|左|三月七|文本|虽然我对股权、期权什么的一窍不通…但是听上去好像很厉害！}},default,
54,{{角色对话|左|瓦尔特|文本|我更好奇，将来的分红会如何计算？}},default,
55,{{短信选项,option,开拓者
56,|选项1=我们要变成有钱人了？,option,开拓者
57,|剧情1={{角色对话|右|开拓者|文本|以后终于能达成信用点自由了？}},branch_content,
58,{{角色对话|左|姬子|文本|哎呀，难道开拓者的日子一直过得很拮据？真是辛苦了}},default,
59,|选项2=怎么才5%？,option,开拓者
60,|剧情2={{角色对话|右|开拓者|文本|嘁，才5%而已嘛}},branch_content,
61,{{角色对话|左|丹恒|文本|看得出来，你对金钱的敏感度和三月大概处在同一水平。}},default,
62,{{角色对话|左|三月七|文本|喂！}},default,
63,}},default,
64,{{角色对话|左|姬子|文本|如此一来，作为不断开拓的无名客，我们肩负的责任就又多了一分}},default,
65,{{角色对话|左|姬子|文本|作为匹诺康尼集团的持股人，我们有必要担负起形象使者的责任，确保盛会之星不会再偏离正确的「同谐」道路}},default,
66,{{短信选项,option,开拓者
67,|选项1=是时候行使身为股东的权力了！,option,开拓者
68,|选项2=匹诺康尼，你们的老大来了！,option,开拓者
69,}},default,
70,{{角色对话|右|开拓者|文本|是时候让所有人臣服}},default,
71,{{角色对话|右|开拓者|文本|啊不是}},default,
72,{{角色对话|右|开拓者|文本|是时候让所有人记住我们的大名了！}},default,
73,{{角色对话|左|姬子|文本|哎呀，看来开拓者充满了干劲呢？}},default,
74,{{角色对话|左|三月七|文本|……}},default,
75,{{角色对话|左|三月七|文本|喂喂，你要干嘛？！}},default,
76,{{角色对话|左|丹恒|文本|别拦他/她了，三月。}},default,
77,{{角色对话|左|丹恒|文本|我从他/她打的字里看出了决心，我们阻止不了他/她的。}},default,
78,{{接取任务|冒险任务|退房}},default,
79,{{角色对话|模板结束}},default,
80,,default,
81,=== 前往现实酒店的大堂，宣布你的主权 ===,default,
82,{{任务描述|姬子发来消息，列车组现在已经成为了匹诺康尼集团的小股东。<br>老实说，你并不知道这到底意味着什么…但你还是决定前往酒店耀武扬威一番。|匹诺康尼-「白日梦」酒店-现实}},default,
83,*开拓者：（从今天起，本少爷/小姐就算是这座酒店的主人了！）,content,开拓者
84,*开拓者：（是时候开始整顿匹诺康尼的职场环境了…酒店大堂就是我的第一站。）,content,开拓者
85,*开拓者：（该让宾客们见识下什么叫真正的五星级服务了！）,content,开拓者
86,,default,
