line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=那些逐梦的年轻人,default,
4,|任务地区=匹诺康尼,default,
5,|任务类型=开拓任务,default,
6,|所属版本=2.0,default,
7,|任务描述=姬子和瓦尔特已经先行一步，前去为列车组众人办理入住手续。和三月七一起前往「白日梦」酒店前台，同他们会合吧。,default,
8,|奖励={{图标|里程|800}}{{图标|星琼|100}}{{图标|漫游指南|8}}{{图标|提纯以太|6}}{{图标|遗失晶块|6}}{{图标|《现实原则》|1}}{{图标|信用点|80000}},default,
9,|任务条件=完成任务[[长日入夜行]],default,
10,|开放等级=34,default,
11,|相关成就=通往群星的轨道#梦之国的开拓者,default,
12,|相关道具=梦境护照、砂金的信物,default,
13,|相关书籍=,default,
14,|出场人物=三月七、米沙、姬子、瓦尔特、艾丽、砂金、星期日、知更鸟、黄泉、真理医生,default,
15,|系列任务=喧哗与骚动,default,
16,|任务编号=03,default,
17,|前置任务=*[[长日入夜行]],default,
18,|后续任务=*[[无眠之夜]],default,
19,|任务流程=*抵达「白日梦」酒店,default,
20,*（可选）向门童了解酒店详情,default,
21,*前往酒店前台，与列车组会合,default,
22,*（可选）找砂金聊聊,default,
23,*与知更鸟交谈,default,
24,*前往酒店前台，重新办理入住,default,
25,*乘坐电梯,default,
26,*前往公共休息区,default,
27,*（可选）与列车组交谈,default,
28,*回到自己的房间，准备入梦,default,
29,*在入梦池中入梦,default,
30,*调查陌生的房间,default,
31,*调查声音的来源,default,
32,*与酒店门童交谈,default,
33,*前往「匹诺康尼•黄金的时刻」,default,
34,}},default,
35,==剧情内容==,default,
36,=== 抵达「白日梦」酒店 ===,default,
37,{{任务描述|姬子和瓦尔特已经先行一步，前去为列车组众人办理入住手续。和三月七一起前往「白日梦」酒店前台，同他们会合吧。|匹诺康尼-「白日梦」酒店-现实}},default,
38,*三月七：唔…可算到了！家族的入境手续也太复杂了吧，一路下来大大小小十几道检查，行李箱都翻了四、五遍……,content,三月七
39,*三月七：我都在担心，他们会不会非要把你体内的星核拿出来看看。,content,三月七
40,{{剧情选项,default,
41,|选项1=幸好没有。,option,开拓者
42,|选项2=星核很稳定。,option,开拓者
43,}},default,
44,*三月七：某种意义上说，家族真的是非常包容了……,content,三月七
45,*三月七：但辛苦不是白费的——这酒店大堂也太壮观了吧！那密密麻麻的都是客房吗？得有多少人住在这儿啊。,content,三月七
46,*三月七：不知道咱们是哪一间，走吧走吧，杨叔他们肯定在前台排队了，我们快去汇合！,content,三月七
47,:{{颜色|灰|三月七先你一步去往前台，梦中那名蓝发的小门童又出现在你面前…}},default,
48,*？？？：欢迎光临白日梦酒店，愿您有一段难忘的度假体验！如需办理入住，请直走到酒店前台。,content,
49,{{剧情选项,default,
50,|选项1=是梦里的孩子…,option,开拓者
51,|选项2=你是酒店的服务生？,option,开拓者
52,}},default,
53,*米沙：我是米沙，匹诺康尼的服务生，很高兴为您服务。如需搬运行李……,content,米沙
54,*三月七：开拓者，快过来，好像不大对劲……,content,三月七
55,*米沙：…如需搬运行李到客房，您随时可以找我。去吧，别让您的朋友久等。,content,米沙
56,,default,
57,=== （可选）向门童了解酒店详情 ===,default,
58,{{任务描述|经历了漫无止境的入境申报和大大小小十几道检查（尽管这些事听起来像是发生在一瞬间，但你确实经历过了），你和三月七终于抵达了金碧辉煌的「白日梦」酒店大堂。<br>三月七难掩激动的心情，飞快奔向前台——你最好赶紧跟上她。|匹诺康尼-「白日梦」酒店-现实}},default,
59,*米沙：欢迎光临白日梦酒店——愿您有一段难忘的度假体验！如有搬运行李到客房的需求，随时可以找我。,content,米沙
60,{{剧情选项,default,
61,|选项1=听说这座酒店非同一般。,option,开拓者
62,|图标1=对话,default,
63,|剧情1=*米沙：是的！白日梦酒店不仅为大家提供客房，还连接着匹诺康尼的现实与梦境。来自银河各地的客人在这里沉入梦境，开启美梦之旅。,branch_content,米沙
64,{{剧情选项,default,
65,|选项1=梦不是虚假的吗？,option,开拓者
66,|图标1=对话,default,
67,|剧情1=*米沙：好深奥的问题！也许不是所有的梦都是虚假的…至少匹诺康尼的梦不是。应该这样说，它…是另一种现实。,branch_content,米沙
68,|选项2=做梦不会很累吗？,option,开拓者
69,|图标2=对话,default,
70,|剧情2=*米沙：酒店的「入梦池」会提供舒适的梦境体验，您不用担心！,branch_content,米沙
71,|选项3=在这里工作的体验怎么样？,option,开拓者
72,|图标3=对话,default,
73,|剧情3=*米沙：啊…您是在问我吗？嗯…还不错，这里人来人往，能听见许多客人讲起他们的冒险见闻。,branch_content,米沙
74,|选项4=原来如此，我知道了。,option,开拓者
75,|图标4=返回,default,
76,|剧情4=*米沙：等入梦后，您就能体会到我说的了，匹诺康尼一定不会让您失望！,branch_content,米沙
77,}},default,
78,|选项2=所以匹诺康尼究竟是…,option,开拓者
79,|图标2=对话,default,
80,|剧情2=*米沙：嗯！现实中的匹诺康尼就是这座酒店。而梦中的匹诺康尼…是奇迹诞生的地方，奢华的享乐之地，盛大的筵席永不落幕！,branch_content,米沙
81,*米沙：唔，很难用词语形容它的美妙。总之，您一定会为之惊叹的！,content,米沙
82,|选项3=听说家族举办了一场盛会。,option,开拓者
83,|图标3=对话,default,
84,|剧情3=*米沙：您的消息真灵通！那是家族提供的一个机会，也是盛会之星的传统。,branch_content,米沙
85,*米沙：大家齐聚一堂，享受着欢乐，追逐着机遇，孤注一掷赌上自己的一切，最后将梦想化作现实！,content,米沙
86,}},default,
87,{{剧情选项|选项1=没什么想问的了。|图标1=退出}},default,
88,*米沙：祝您在匹诺康尼度过一个愉快的假期！,content,米沙
89,,default,
90,=== 前往酒店前台，与列车组会合 ===,default,
91,*三月七：你看，前台怎么聚了这么多人？不会刚下车又遇到麻烦了吧……,content,三月七
92,----,default,
93,:{{颜色|灰|你和三月七来到了前台…}},default,
94,*艾丽：不好意思，可系统里确实没有您说的这个名字……,content,艾丽
95,*姬子：但星穹列车收到的信息里，写明了已为我们预订了房间，麻烦您再检查一遍吧。,content,姬子
96,*艾丽：我再为您查询一下，请稍等……,content,艾丽
