line_number,content,category,character
1,{{面包屑}}{{提示|蓝色|宽度=100%|系统功能，官方用于发布公告、通知、奖励、开拓者生日贺信等内容的系统。完成开拓任务「湛蓝星」-「[[宇宙安宁片刻]]」后解锁邮件系统。}},default,
2,"{|class=""wikitable"" width=100%",default,
3,! colspan=2 width=15%|查看全部,default,
4,|,default,
5,{{筛选项|0|0|查看全部}},option,开拓者
6,|-,default,
7,!colspan=2 width=15%| 发件人,default,
8,|,default,
9,{{筛选项|1|系统邮件}},option,开拓者
10,{{筛选项|1|列车组}},option,开拓者
11,{{筛选项|1|帕姆}},option,开拓者
12,{{筛选项|1|姬子}},option,开拓者
13,{{筛选项|1|三月七}},option,开拓者
14,{{筛选项|1|丹恒}},option,开拓者
15,{{筛选项|1|维里塔斯•拉帝奥|真理医生}},option,开拓者
16,{{筛选项|1|匹诺康尼最诚实的人|花火}},option,开拓者
17,{{筛选项|1|知更鸟}},option,开拓者
18,{{筛选项|1|知更鸟工作室}},option,开拓者
19,{{筛选项|1|波提欧}},option,开拓者
20,|-,default,
21,!colspan=2| 类型,default,
22,|,default,
23,{{筛选项|2|奖励邮件}},option,开拓者
24,{{筛选项|2|活动邮件}},option,开拓者
25,{{筛选项|2|生日邮件}},option,开拓者
26,{{筛选项|2|补偿邮件}},option,开拓者
27,|},default,
28,"{|id=""CardSelectTr"" class=""CardSelect wikitable sortable"" style=""text-align:center style=""overflow"" width=100%",default,
29,"|-id=""CardSelectTabHeader""",default,
30,"! style=""width:10%"" | 发件人",default,
31,"! style=""width:10%"" | 标题",default,
32,"! style=""width:10%; min-width=100px"" | 时间",default,
33,"! style=""width:10%"" | 类型",default,
34,"! style=""width:30%""| 内容",default,
35,"! style=""width:15%""| 奖励",default,
36,<!--,default,
37,邮件排序按照时间新到旧由上到下,default,
38,种类可选 邮件、生日邮件、补偿邮件,default,
39,模板▼,default,
40,|-,default,
41,{{邮件,default,
42,|发件人=,default,
43,|标题=,default,
44,|时间=,default,
45,|类型=,default,
46,|内容=,default,
47,|奖励={{图标|待补充|10}}  或 {{图标|小|待补充}}[[待补充]] x 数量,default,
48,}},default,
49,模板结束▲,default,
50,-->,default,
51,|-,default,
52,{{邮件,default,
53,|发件人=列车组,default,
54,|标题=「位面饰品提取」支援奖励异常问题补偿,default,
55,|时间=2024/06/27~2024/07/27,default,
56,|类型=补偿邮件,default,
57,|内容=2.3版本更新后，当好友使用支援角色成功挑战「位面饰品提取」关卡时，提供支援角色的开拓者无法获得信用点奖励。<br>目前该问题已修复，非常抱歉影响了开拓者的游戏体验，以下为此次问题补偿，还请开拓者及时领取。,default,
58,|奖励={{图标|信用点|120000}},default,
59,}},default,
60,|-,default,
61,{{邮件,default,
62,|发件人=波提欧,default,
63,|标题=「酷得走火—宇宙！咻！咻！大挑战！」网页活动开启,default,
64,|时间=波提欧,default,
65,|类型=活动邮件,default,
66,|内容=早就听说你的事迹了，挺有两下子啊~<br>「酷得走火—宇宙！咻！咻！大挑战！」网页活动现已开启<br>要不要来场酷得走火的射击挑战，还能赢取星琼奖励。<br>现在就相约射击场，有胆就来！<br><br>[https://act.mihoyo.com/sr/event/e20240531shoot-8j34gx/index.html >>>点击前往挑战<<<],default,
67,|奖励={{图标|信用点|300}},default,
68,}},default,
69,|-,default,
70,{{邮件,default,
71,|发件人=知更鸟工作室,default,
72,|标题=知更鸟新专辑《空气蛹》今日发布,default,
73,|时间=2024/05/09,default,
74,|类型=活动邮件,default,
75,|内容=亲爱的听众朋友们，好久不见，我是知更鸟。<br>记得上一次在巡演舞台上，我告诉大家：我有一个还未完成的梦和数页等待拼凑的断章。期待某一天，它们能够变成现实与惊喜，一同和大家分享。<br>如今，断章已成了乐曲——我的新专辑《空气蛹》已于今日发布，感谢大家一直以来的支持与陪伴，希望这份迟来的惊喜能带给大家全新的体验。<br><br>[https://y.qq.com/n/ryqq/albumDetail/002HgJfp494Uax >>点击前往试听<<],content,我告诉大家
76,|奖励={{图标|云际音符|3}}<br>{{图标|奇巧零食|3}},default,
77,}},default,
78,|-,default,
79,{{邮件,default,
80,|发件人=知更鸟,default,
81,|标题=一封创作邀请函,default,
82,|时间=2024/05/08,default,
83,|类型=活动邮件,default,
84,|内容=开拓者，你好，我是知更鸟。最近正逢新专辑的最后筹备阶段，我度过了一段忙碌且充实的时光，不知道你近来过得如何呢？<br>前些日子，我收到了一份特别的留言。我的听众在留言中向我展示了自己的创作——非常曼妙的改编版本。这也带给了我许多灵感。歌曲的诞生是创作者思想的汇聚，而改编就像是将这些原初的想法融入广袤的大海。我很好奇将不同的元素融入我的歌曲后，会碰撞擦出怎样的火花。<br>所以在下一首歌开始之前，不知道我是否够有幸邀请你，一同参与到音乐创作中？<br><br>[https://act.mihoyo.com/sr/event/e20240509robin-z0ps5s/index.html >>点击前往<<],default,
85,|奖励={{图标|信用点|300}},default,
86,}},default,
87,|-,default,
88,{{邮件,default,
89,|发件人=姬子,default,
90,|标题=给列车组老幺的小礼物,default,
91,|时间=2024/04/26~2024/05/08,default,
92,|类型=奖励邮件,default,
93,|内容=今天是星穹列车重新启航的一周年。<br>,default,
94,时间过得真快，还记得第一次见面的时候，你、小三月和丹恒，你们三个带着阿兰从虚卒的包围中脱身。明明是那么紧迫的情况，你们却还能有说有笑。当时我就在想，这灰头发的孩子说不定很适合当个无名客。<br>,default,
95,转眼间，我们已经一起经历了那么多，我很高兴能看着你成长。<br>,default,
96,往后的路还很长，要一直记得，你身边始终有许多人，会支持你，守护你，当然，这其中也包括我。<br>,default,
97,一起「开拓」下去吧！,default,
98,|奖励={{图标|星琼|1600}}<br>{{图标|燃料|10}},default,
99,}},default,
100,|-,default,
101,{{邮件,default,
102,|发件人=帕姆,default,
103,|标题=生日快乐帕！,default,
104,|时间=2024/04/26~2025/04/25,default,
105,|类型=生日邮件,default,
106,|内容=我的开拓者乘客，你一定猜到了帕姆要说什么了吧！生！日！快！乐！帕！<br>开拓历X月X日是你的生日——作为列车长，帕姆都牢牢记着呢！这是列车上的大家一起为你做的蛋糕，瓦尔特乘客和三月七乘客捏的装饰，姬子乘客和丹恒乘客调的配方，帕姆…帕姆有全程监工，保证好吃帕！希望你走遍寰宇之后，仍能记住沿途的每一站。今年，我们也一起创造更多美好的回忆吧！<br>再一次，开拓者乘客生日快乐！,default,
107,|奖励={{图标|星琼|100}}<br>{{图标|巡游的祝福|1}},default,
108,}},default,
109,|-,default,
110,{{邮件,default,
111,|发件人=列车组,default,
112,|标题=角色「姬子（智识•火）」战技文本描述及技能效果异常问题补偿,default,
113,|时间=2024/03/28~2024/04/28,default,
114,|类型=补偿邮件,default,
115,|内容=2.1版本更新后，角色「姬子（智识•火）」存在战技「熔核爆裂」等级1~12的文本描述及技能实际效果异常的问题。<br>目前该问题已修复，非常抱歉影响了开拓者的游戏体验，以下为此次问题补偿，还请开拓者及时领取。,default,
116,|奖励={{图标|星琼|100}},default,
117,}},default,
118,|-,default,
119,{{邮件,default,
120,|发件人=匹诺康尼最诚实的人,default,
121,|标题=千万别点开！！,default,
122,|时间=2024/02/29~2024/03/27,default,
123,|类型=奖励邮件,default,
124,|内容=唉，都说了不要点开…亲爱的，你真的太叛逆了。<br>,default,
125,在匹诺康尼过得还轻松愉快吗？意犹未尽，对吧…既然小灰毛这么勇敢又叛逆，我也决定送出一份小礼物，一些…能让你能温暖起来的东西。<br>,default,
126,你懂我意思，想想看——那些漫游指南、提纯以太、信用点、不管有用没用的贵重材料，甚至还有那位冥火大公扒拉下来的衣服…它们就在你的双手一握中，不是么？<br>,default,
