line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=金鼎灵树，穷途梼杌,default,
3,|任务地区=仙舟「罗浮」,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.2,default,
6,|任务描述=工造司中风波平息，捷径也随之通畅。依将军嘱托，你们应当穿过此处，前往丹鼎司。,default,
7,|奖励={{图标|里程|1300}}{{图标|星琼|130}}{{图标|漫游指南|18}}{{图标|提纯以太|8}}{{图标|遗失晶块|15}}{{图标|《药王救世陀罗尼》|1}}{{图标|信用点|180000}},default,
8,|任务条件=完成[[茸客鸣呦，玉角盘虬]],default,
9,|开放等级=34,default,
10,|相关成就=通往群星的轨道#长生梦短,default,
11,|出场人物=三月七、瓦尔特、停云、符玄、丹枢、幻胧,default,
12,|相关道具=,default,
13,|相关书籍=未被销毁的信笺,default,
14,|系列任务=云树百丈蔽重楼,default,
15,|任务编号=01,default,
16,|前置任务=*[[茸客鸣呦，玉角盘虬]],default,
17,|后续任务=*[[螣蛇无穴，旧梦亡阙]],default,
18,*[[有龙矫矫，其渊渺渺]],default,
19,|任务流程=*通过工造司的捷径，前往丹鼎司,default,
20,*查看战斗的幸存者,default,
21,*与符玄率领的云骑军汇合,default,
22,*打听云骑的战况，并等待符玄归来,default,
23,*（与三月七交谈，讨论现状）,default,
24,*跟随符玄,default,
25,*关闭三座小型丹炉,default,
26,*前往太真丹室，迎战药王秘传,default,
27,*乘坐星槎进入鳞渊境,default,
28,*完成[[螣蛇无穴，旧梦亡阙]]、[[得其雨露，安其壤土]],default,
29,}},default,
30,==剧情内容==,default,
31,===通过工造司的捷径，前往丹鼎司===,default,
32,{{任务描述|工造司中风波平息，捷径也随之通畅。依将军嘱托，你们应当穿过此处，前往丹鼎司。|仙舟「罗浮」-工造司}},default,
33,:{{颜色|描述|进入丹鼎司后，你们看到地上横七竖八躺着各类尸体…}},default,
34,*三月七：战况真激烈呀……,content,三月七
35,*停云：看来我们在工造司耽搁时，太卜大人已先行开拔出征啦。,content,停云
36,{{剧情选项,default,
37,|选项1=是算得「吉时已到」了吧？,option,开拓者
38,|剧情1=*瓦尔特：兵贵神速。罗浮仙舟眼下最紧要的就是遏制星核灾变。,branch_content,瓦尔特
39,*瓦尔特：景元将军把指挥云骑的重任交给太卜，必然知道她会按卜算的结果行动。,content,瓦尔特
40,|选项2=太卜怎么会乖乖听别人的话？,option,开拓者
41,|剧情2=*瓦尔特：是啊。景元将军把指挥云骑的重任交给她，必然知道她会按卜算的结果行动。,branch_content,瓦尔特
42,}},default,
43,*三月七：幸好将军没让咱们跟着云骑…打仗和冒险真的不一样啊，这满地的人…我、我见不得这种大场面。,content,三月七
44,*停云：恩公说哪里话，这也算不得什么场面……,content,停云
45,*停云：数百年前，某「丰饶」的令使为了劫夺「建木」，率军压境罗浮，几乎摧毁半数洞天，杀得云骑军十不存一。,content,停云
46,*停云：这样的过去，对长生种来说甚至不算历史，称「昨天」也不为过。与之相比，眼前这不过是小打小闹罢了。,content,停云
47,*三月七：哇，哪有你这么安慰人的！,content,三月七
48,*瓦尔特：也不知道太卜这一仗是输是赢？,content,瓦尔特
49,{{剧情选项,default,
50,|选项1=想必是大获全胜！,option,开拓者
51,|剧情1=*三月七：我觉得也是。倒下的都没几个云骑军，这一仗仙舟应该打得很漂亮。,branch_content,三月七
52,|选项2=我看是全军覆没…,option,开拓者
53,|剧情2=*三月七：你是哪边的啊！我看倒下的都没几个云骑军，这一仗仙舟应该打得很漂亮。,branch_content,三月七
54,|选项3=保守点一比一平。,option,开拓者
55,|剧情3=*三月七：…你以为是打比赛啊还有平局？我看倒下的都没几个云骑军，这一仗仙舟应该打得很漂亮。,branch_content,三月七
56,}},default,
57,*瓦尔特：…未必。如果行军大捷，通常会留下据点和部队置后策应。但这里却没有。,content,瓦尔特
58,*瓦尔特：四下找找，或许还有线索。,content,瓦尔特
59,,default,
60,===查看战斗的幸存者===,default,
61,{{任务描述|丹鼎司中，遍地狼藉残骸，一场大战刚刚打响。正当你们想要厘清情势，猜测胜负时，远处传来幸存者的呼救。|仙舟「罗浮」-丹鼎司}},default,
62,{{折叠|折叠=是|标题=调查倒地的魔阴身士卒|内容=,default,
63,怪物僵死的身躯上，几处显眼的伤口正以肉眼能辨的速度缓缓收缩。尽管没有任何生命体征，你却觉得眼前这怪物并没有彻底死去。}},default,
64,*三月七：开拓者，当心哦。那些怪物的生命力可顽强了……,content,三月七
65,*三月七：快看，那儿有人。,content,三月七
66,----,default,
67,*三月七：这里！这里还有人活着……,content,三月七
68,*瓦尔特：……,content,瓦尔特
69,*医士着装的女子：咦，你们不是云骑啊…来这里做什么？很危险的。,content,医士着装的女子
70,*瓦尔特：我们是将军请来的援助。请问其他人都到哪儿去了？,content,瓦尔特
71,*医士着装的女子：竟把短生种搬来当救兵…嘿嘿，景元真是无人可用了。,content,医士着装的女子
72,*垂死的云骑：快逃！这家伙是…「药王秘传」！,content,垂死的云骑
73,*医士着装的女子：多嘴多舌。我若把你医好，你也会是我们中的一员啊。,content,医士着装的女子
74,*医士着装的女子：所以，你不会让他们逃走的，对不对？,content,医士着装的女子
75,:{{颜色|描述|进入战斗}},default,
76,*垂死的云骑：赶快…离开这儿…,content,垂死的云骑
77,*垂死的云骑：我控制不住我自己了——,content,垂死的云骑
78,:{{颜色|描述|击败变异为魔阴身士卒的云骑军}},default,
79,:{{颜色|描述|出现三只丰饶灵兽}},default,
80,*药王秘传信徒：短生种的寿命转眼即逝，何必自蹈死路？,content,药王秘传信徒
81,:{{颜色|描述|击败丰饶灵兽}},default,
82,:{{颜色|描述|又出现两只丰饶灵兽和{{图标|「药王秘传」器元士}}}},default,
83,*药王秘传信徒：你们来仙舟是为什么，想求得长生么？,content,药王秘传信徒
