line_number,content,category,character
1,{{角色语音表头|银枝|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=银枝-初次见面,default,
8,|语音内容=我是「纯美骑士团」的银枝。我谨在此，以一朵玫瑰的沉重份量，向你致意。,default,
9,|语音内容日语=僕は「純美の騎士団」所属のアルジェンティと申します。1輪のバラの重さを以って、ご挨拶させてください。,default,
10,"|语音内容英语=My name is Argenti, I belong to the Knights of Beauty. May this rose convey my heartfelt salutations.",default,
11,|语音内容韩语=전 「미(美)의 기사단」 아젠티입니다. 장미의 이름으로 그대에게 인사 올리죠,default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=银枝-问候,default,
16,|语音内容=如果遇到麻烦，务必让我知晓，我将捍卫你的安全。,default,
17,|语音内容日语=もしトラブルに遭遇したら、絶対に僕に知らせてください。必ずやお守りいたします！,default,
18,"|语音内容英语=Should misfortune befall you, do not hesitate to call upon me. I will protect you.",default,
19,|语音内容韩语=곤란한 일이 생기면 꼭 알려주세요. 제가 안전하게 지켜드릴게요,default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=银枝-道别,default,
24,|语音内容=原谅我身负职责，注定在银河中独行，无法一直与你并肩。我们定会于宇宙某处偶然相逢。,default,
25,|语音内容日语=ああ…僕は責任を負い、宇宙を独りで歩む定めにある…お傍にいられない僕をお許しください。僕たちは、いつかまた宇宙のどこかで巡り会えるでしょう。,default,
26,"|语音内容英语=Forgive me, here we must part ways. It is my duty and destiny to traverse the universe alone. I'm sure our paths will converge again, somewhere.",default,
27,|语音内容韩语=업무를 이유로 은하를 홀로 다녀야 해서 그대와 함께할 수 없는 절 이해해주세요. 우린 우주 어디에서 반드시 마주칠 겁니다,default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•身世,default,
31,|语音文件=银枝-关于自己•身世,default,
32,|语音内容=我是纯美骑士中的「授勋骑士」，镌刻整齐的铠甲是我们的象征。,default,
33,|语音内容日语=僕は純美の騎士団の「{RUBY_B#じょくん}叙勲{RUBY_E#}騎士」です。精巧な彫刻が施された鎧は僕たちの象徴と言えましょう。,default,
34,"|语音内容英语=Among the Knights of Beauty, I am one of the Honorclad — we are distinguished by our engraved armor.",default,
35,|语音内容韩语=전 미(美)의 기사단의 「수훈(受勳) 기사」예요. 말끔히 조각된 갑옷이 저희의 상징이랍니다,default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=闲谈•纯美骑士团,default,
39,|语音文件=银枝-闲谈•纯美骑士团,default,
40,|语音内容=纯美骑士团成员甚少会面，但我们奉行相同的「骑士道」，各自来往于不同星球，向宇宙每个角落播撒女神美名。,default,
41,|语音内容日语=純美の騎士団の団員は滅多に顔を合わせません。しかし、僕たちは同じ「騎士道」のもと、それぞれ異なる星を渡り歩き、宇宙の隅々までかの女神の美名を広めているのです。,default,
42,"|语音内容英语=The Knights tend to operate in solitude, spreading the grace of the Goddess far and wide across the universe. Nevertheless, we follow the same code of chivalry.",default,
43,|语音内容韩语=미(美)의 기사단이 모이는 경우는 극히 드물죠. 하지만 우린 같은 「기사도」를 따라 여러 행성을 오가며 우주 전역에 여신님의 명성을 알리고 있어요,default,
44,}},default,
45,{{角色语音,default,
46,|语音类型=闲谈•希世难得号,default,
47,|语音文件=银枝-闲谈•希世难得号,default,
48,|语音内容=我给飞船起名「希世难得」，打扫它十分耗费精力…或许我不该将外形雕刻得如此繁复。,default,
49,|语音内容日语=宇宙船には「プライスレス」という名前を付けました。掃除するのが本当に大変で…外形をここまで複雑に彫る必要はなかったかもしれません。,default,
50,"|语音内容英语=""One and Only"" is the name of my spaceship. I must admit, keeping her in good order can be a chore. Perhaps I shouldn't have etched such intricate patterns into the fuselage.",default,
