line_number,content,category,character
1,{{面包屑|版本更新}}[[分类:版本更新]],default,
2,{{左侧目录|开始}},default,
3,{{提示|蓝色|本页面用于收集开发组座谈会信件，方便查阅。|宽度=400px}},default,
4,==更新电台V2.4==,default,
5,'''发布日期：2024年7月22日'''<br>,content,发布日期
6,'''B站链接：[https://www.bilibili.com/opus/956843122163187769?spm_id_from=333.999.0.0 查看详细图片点击跳转]'''<br>,content,站链接
7,*'''遗器建议优化''',default,
8,"2.4 版本开启后,【遗器建议】新增{{颜色|描述|副属性建议功能}}，开拓者还可通过点击建议的{{颜色|描述|副属性词条}}对遗器进行{{颜色|描述|筛选}}。<br>",default,
9,"此外,当遗器的{{颜色|描述|主属性或副属性}}是当前查看角色的{{颜色|描述|建议属性}}则对应词条会在属性面板中{{颜色|描述|高亮显示}}，以便开拓者快速查找更适配该角色的遗器。<br>",default,
10,※开拓者可在【设置】中开启或关闭该功能。<br>,default,
11,当开拓者为角色{{颜色|描述|装备或替换遗器时}}，遗器的展示顺序将{{颜色|描述|默认按照【遗器建议】}}的建议套装、主属性词条与副属性词条进行{{颜色|描述|自动排序}}。<br>,default,
12,开拓者：快看，极品遗器在发光！,content,开拓者
13,<br><br>,default,
14,*'''遗器筛选优化''',default,
15,{{颜色|描述|遗器筛选}}功能也迎来了迭代，开拓者可以一键{{颜色|描述|按照遗器建议}}为角色{{颜色|描述|筛选遗器}}，也可以选择{{颜色|描述|保存自定义筛选方案}}，并对筛选出的遗器进行{{颜色|描述|快速锁定}}或{{颜色|描述|快速弃置}}的操作。<br>,default,
16,当开拓者进行自定义筛选时，也可以在筛选界面看到当前角色的{{颜色|描述|建议套装}}与{{颜色|描述|建议属性}}。<br>,default,
17,遗器筛选最多支持同时保存{{颜色|描述|30个方案}}，开拓者可自定义{{颜色|描述|遗器套装}}与{{颜色|描述|各个部位的主副属性}}，也可以自定义{{颜色|描述|方案名称、增加收藏}}以及{{颜色|描述|角色头像标记}}以便后续查找。开拓者选择一个方案，点击方案预览界面中的「应用」按钮，即可将方案中的筛选选项应用到遗器筛选面板中。<br>,option,开拓者
18,开拓者：杂乱的背包已经无法阻挡我寻找传家宝的脚步…,content,开拓者
19,<br><br>,default,
20,*'''新增遗器推荐角色''',default,
21,「星际和平指南」下的{{颜色|描述|「侵蚀隧洞」「位面饰品提取」}}与{{颜色|描述|「模拟宇宙」}}，将{{颜色|描述|依据大数据}}展示{{颜色|描述|适合装备此遗器的推荐角色}}为开拓者提供遗器刷取引导。<br>,default,
22,开拓者：角色培养，不再迷茫~,content,开拓者
23,<br><br>,default,
24,*'''T终末视界」适用范围拓展''',default,
25,在2.3版本，当开拓等级达到21级及以上且尚未满足部分前置条件时，开拓者已经可以通过「终末视界」，抢先体验常驻玩法。<br>,default,
26,自2.4版本起，「终末视界」适用范围将进一步拓展，开拓者将有机会提前体验{{颜色|描述|开拓续闻及限时活动}}的内容。<br>,default,
27,例如，在2.4版本，开拓者可以使用「终末视界」的功能提前解锁{{颜色|描述|开拓续闻「明霄竞武试锋芒·上」}}、{{颜色|描述|活动「初花习剑录」「日抛忆质留影计划」}}。<br>,default,
28,※该功能会在一定程度上影响剧情及探索体验，请开拓者酌情使用。<br>,branch_content,
29,开拓者：闪现，罗浮仙舟演武仪典！,content,开拓者
30,<br><br>,default,
31,*'''三月七解锁「巡猎」命途''',default,
32,完成开拓续闻「仙舟『罗浮』」-「授剑传行，腾然流星」后可解锁{{颜色|描述|三月七的「巡猎」命途}}，此时开拓者可以通过【角色详情】中的{{颜色|描述|切换}}按钮调整三月七的命途。<br>,default,
33,在{{颜色|描述|「命途切换」}}页面，可以查看三月七在不同命途下的{{颜色|描述|简易角色定位}}。<br>,default,
34,开拓者：该找赵相机教我摆POSE了…,content,开拓者
35,<br>,default,
36,==更新电台V2.3==,default,
37,'''发布日期：2024年6月11日'''<br>,content,发布日期
38,'''B站链接：[https://www.bilibili.com/opus/941644091890860033?spm_id_from=333.999.0.0 查看详细图片点击跳转]'''<br>,content,站链接
39,<font color=red>本期展示图片较多，建议配合官方发布的长图一起看</font><br><br>,default,
40,*'''新增「韧性值」与「削韧值」数值显示''',default,
41,2.3版本更新后，角色技能的{{颜色|描述|「削韧值」}}和敌方目标的{{颜色|描述|「韧性值」}}将直观地展示出来。<br>,default,
42,当开拓者查看角色技能时，将在技能描述中看到当前技能的「削韧值」。<br>,default,
43,开拓者也可以在查看敌方详情时看到敌方目标的「韧性值」(当前值/上限值)，从而调整策略判断。<br><br>,default,
44,开拓者：又能奖励自己弱点击破了！战斗，爽！,content,开拓者
45,<br><br>,default,
46,*'''部分内容提前体验''',default,
47,2.3 版本更新后，游戏内将新增{{颜色|描述|「终末视界」}}功能。<br>,default,
48,开拓等级达到21级及以上时，可通过「终末视界」功能提前体验尚未满足部分前置条件的内容。如「差分宇宙」「末日幻影」。未来也会有更多内容可通过「终末视界」功能提,default,
49,前体验。<br>,default,
50,{{颜色|描述|★该功能会在一定程度上影响剧情及探索体验，请开拓者酌情使用。}}<br>,branch_content,
51,通过「终末视界」功能接取的任务将在列表里被特殊标注。<br><br>,default,
52,开拓者：提前体验活动？这就是预言家体验卡吗！,content,开拓者
53,<br><br>,default,
54,*'''全新玩法「差分宇宙」''',default,
55,螺丝咕姆打造了全新的项目{{颜色|描述|「差分宇宙」}}，为开拓者带来了全新的祝褔、奇物和随机事件，配置了全新的测试场地，新增了「方程」与「加权奇物」玩法。<br>,default,
56,在全新的「差分宇宙」中，开拓者可以{{颜色|描述|快速获取「位面饰品」}}了！<br>,default,
57,开拓者可使用通关差分宇宙时保存的{{颜色|描述|【存档】}}直接进行【首领挑战】来快速获取「位面饰品」，【存档】会记录开拓者通关时的部分信息。<br>,default,
58,在使用【存档】进行【首领挑战】时，开拓者还可选择1名{{颜色|描述|支援角色}}协助战斗。<br>,default,
59,更多关于「差分宇宙」的详细情报，开拓者可关注后续官方内容。<br>,default,
60,另外，在开拓者完成2.3版本中「差分宇宙」相关的冒险任务后，【星际和平指南】中关于「差分宇宙」「模拟宇宙」的相关内容将聚合在新页签中，方便开拓者查看模拟宇宙的解锁进度与完成情况。<br><br>,default,
61,开拓者：你能让我测一辈子的{{划掉重说|「模拟宇宙」|「差分字宙」}}吗。,content,开拓者
62,<br><br>,default,
63,*'''逐光捡金优化''',default,
64,2.3 版本更新后，{{颜色|描述|「逐光捡金」}}内的【编队】界面将新增【预设编队】功能，开拓者可以一键选择常用编队来应对不同关卡。<br>,default,
65,增设角色对调功能。开拓者可以通过拖拽操作在编队时更加快捷地调整角色的排序和位置。<br>,default,
66,「逐光捡金」的奖励有所提升。<br>,default,
67,在 2.3 及后续版本开启的「忘却之庭·混沌回忆」「末日幻影」「虚构叙事」中，每期最高可获得{{颜色|描述|星琼*800及其他奖励}}！,default,
68,<br><br>,default,
69,*'''其他优化''',default,
70,本台快速为您播报一下其他优化：<br>,content,本台快速为您播报一下其他优化
71,在2.3版本后，使用PC端游玩的开拓者可以在【背包】等界面通过{{颜色|描述|键盘}}快速切换类目分页及选中的目标。<br>,default,
72,开拓者可以更加方便地查看好友的角色养成等详情信息。<br>,default,
73,【任务】列表中与活动和部分玩法相关的任务将增加{{颜色|描述|旅情事记图标}}，以便开拓者快速查找任务并及时参与。<br><br>,default,
74,开拓者：很好的优化，使我开拓之旅顺利！,content,开拓者
75,<br>,default,
76,==更新电台V2.2==,default,
77,'''发布日期：2024年5月2日'''<br>,content,发布日期
78,'''B站链接：[https://www.bilibili.com/opus/926769756837511217?spm_id_from=333.999.0.0 查看详细图片点击跳转]'''<br>,content,站链接
79,<font color=red>本期展示图片较多，建议配合官方发布的长图一起看</font><br><br>,default,
80,*'''「漫游签证」新增好友展示内容''',default,
81,"在2.2版本,开拓者的「漫游签证」新增了【漫游动态】等展示内容。{{颜色|描述|【漫游动态】}}记录了开拓者{{颜色|描述|近期的关卡、活动通关记录}}及{{颜色|描述|5星对象跃迁情况}}，最多可保存15条。<br>",default,
82,通过【设置】或【漫游签证】右下角进入{{颜色|描述|【社交设置】}}，开拓者{{颜色|描述|可自行选择是否公开}}展示信息。<br>,default,
83,开拓者：那就取名为《银河球棒侠的成名之路》吧!,content,开拓者
84,<br><br>,default,
85,*'''「忘却之庭」「虚构叙事」新增好友通关阵容''',default,
