line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[file:银狼官方介绍图.jpg|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,{{角色介绍,default,
7,|职业背景=aedffe,default,
8,|职业颜色=3f2d85,default,
9,|职业=「星核猎手」的超级骇客,default,
10,|介绍=侦测到未知频带信号——<br>,default,
11,「██ █ ███ 好啦好啦，你把它丢哪去了，银狼？」<br>,default,
12,「随手打的坐标，没什么讲究。你很关心那只虚卒的去向吗？」<br>,default,
13,「不关心啊～只是不管看几次我都会想，你的手段还真是不可思议~」<br>,default,
14,「修改现实数据而已，不值一提的小把戏█ ███ ██ █」<br>,default,
15,|表格背景=f4ffff,default,
16,|表格边框=6f90bb,default,
17,|标题颜色=5710a8,default,
18,|标题1=有关潜入空间站「黑塔」的目的…,default,
19,|内容颜色=1751a8,default,
20,|内容1=侦测到未知频带信号——<br>「█ ██ █ ███首先，我没有朝思暮想。那张卡带的故事在朋克洛德跟教科书没啥两样，这种人尽皆知的东西，我向来没兴趣……」<br>「…但那不是什么游戏光碟，那可是以太卡带——骇客的第二双眼睛、第二个大脑、第二颗心脏……」<br>「…最后，再强调一遍，我没有朝思暮想，说这么一长串话只是为了跟你解释清楚它到底有多厉害，懂了吗，卡芙卡███ █ ██」,default,
21,|备注1=卡芙卡的备注<br><small>只要你别忘了我们的真正目的就好~</small>,default,
22,|标题2=「朋克洛德」又是什么地方…,default,
23,|内容2=侦测到未知频带信号——<br>「█ █ ██ █哦，你说那颗到处是光污染的星球？好吧，我更乐意叫它『新手村』——」<br>「以防你们平时不玩游戏听不懂，我来简单解释一下：『新手村』就是玩家还是新手时，用来熟悉规则、提升实力的地方……」<br>「…是，全宇宙最顶尖的骇客都来自这里——当然也包括我。但他们只是『朋克洛德』的传奇…你懂我的意思吗？」<br>「我要的是一张通往银河的『入场券』。至于『新手村』…你会把一个游戏的教学关玩上十几二十遍吗？██ █ ███」,content,我来简单解释一下
24,|备注2=卡芙卡的备注<br><small>你经常这么做呀。</small>,default,
25,|标题3=你的「同伴」都是些什么人…,default,
26,|内容3=侦测到未知频带信号——<br>「█ █ █ ██你问这把智能手枪？问得好。它叫作『普罗米修斯』，搭载了五个——不，现在应该是四个——具有不同性格的人格……」<br>「第一位是『朋友』，它是我最好的朋友；这位是『魔王』，它很酷，不爱聊天；然后是『打工仔』和『奴隶』；其实原来还有一位『幼儿园同学』，但被我删掉了……」<br>「…是，都是我起的名字。嗯？你本来是想问『星核猎手』？那你去问他们啊，别来占用我打游戏的时间███ ██ █」,default,
27,|备注3=卡芙卡的备注<br><small>别问我。</small><br>卡芙卡的备注<br><small> ↑ 替阿刃发的。</small><br>卡芙卡的备注<br><small>萨姆也这么说~</small>,default,
28,|标题4=想请你提些有关「游戏」的建议…,default,
