line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=锷击刃鸣，止戈罢兵,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓续闻,default,
6,|所属版本=2.4,default,
7,|任务描述=在丹鼎司新任司鼎的斡旋下，你们顺利打发了来自公司专员的责难，随她一同前往丹鼎司小叙。但这场未期的谈话却再起波折，与彦卿交锋的少女剑客早已等候多时。,default,
8,|奖励={{图标|星琼|60}}{{图标|提纯以太|6}}{{图标|遗失晶块|4}}{{图标|信用点|65000}},default,
9,|任务条件=完成任务[[狴犴吠狂，妙语生香]],default,
10,|开放等级=21,default,
11,|相关成就=通往群星的轨道#以剑交心,default,
12,|相关道具=,default,
13,|相关书籍=,default,
14,|出场人物=三月七、丹恒、彦卿、灵砂、飞霄、云璃、素裳,default,
15,|领取地点=,default,
16,|系列任务=明霄竞武试锋芒•上,default,
17,|任务编号=04,default,
18,|前置任务=*[[狴犴吠狂，妙语生香]],default,
19,|后续任务=*[[神锋有归，众议难违]],default,
20,|任务流程=*跟随灵砂前往丹鼎司会晤,default,
21,*见证彦卿与云璃的比试,default,
22,}},default,
23,,default,
24,==剧情内容==,default,
25,=== 跟随灵砂前往丹鼎司会晤 ===,default,
26,{{任务描述|在丹鼎司新任司鼎的斡旋下，你们顺利打发了来自公司专员的责难，随她一同前往丹鼎司小叙。但这场未期的谈话却再起波折，与彦卿交锋的少女剑客早已等候多时。|仙舟「罗浮」-丹鼎司}},default,
27,{{折叠|标题=额外对话（素裳）|内容=,default,
28,*素裳：开拓者！你回罗浮了啊！怎么也不提前在群里说一声！,content,素裳
29,*素裳：我在执勤，晚点再聊。,content,素裳
30,{{剧情选项,default,
31,|选项1=你严肃的样子好靓女。,option,开拓者
32,|剧情1=*素裳：别闹啊。岗哨神圣，不可侵犯。,branch_content,素裳
33,|选项2=你为什么在这里站岗？,option,开拓者
34,|剧情2=*素裳：为某个大人物站岗开道。别问了，严肃点，我要执勤。,branch_content,素裳
35,|选项3=那我不打扰你了。,option,开拓者
36,|剧情3=*素裳：好的。再见。,branch_content,素裳
37,|选项4=（做个鬼脸）,option,开拓者
38,|剧情4=*素裳：……,branch_content,素裳
39,*素裳：……,content,素裳
40,*素裳：噗…我警告你，岗哨神圣啊！别跟我嘻嘻哈哈的，烦你了啊！,content,素裳
41,}},default,
42,*素裳：如果你没别的事，就别在这附近闲逛了。等我过几天忙完了，叫上小桂子和藿藿，一起去金人巷吃个饭吧。好久没聚了。,content,素裳
43,*素裳：再见！,content,素裳
44,:{{颜色|灰|再次对话}},default,
45,*素裳：岗哨神圣，不可侵犯！有什么事下了班再说！,content,素裳
46,|折叠=是}},default,
47,{{折叠|标题=额外对话（龙师信使射洪&丹士长玉络）|内容=,default,
48,*射洪：在下射洪，是龙师涛然派来的信使。龙师听闻族胞升任司鼎，喜不自胜，本想亲自来道喜，可奈何身体状况不允许。,content,射洪
49,*射洪：因此今日，在下奉命前来，代主家拜谒新任司鼎灵砂大人。不知丹士长大人可否为在下通传一声？,content,射洪
50,*玉络：灵砂大人才刚到罗浮，生活还未安顿妥当，工作也尚未交接完成，实是繁忙，无暇见客。你请回吧。,content,玉络
51,*射洪：那…这份薄礼，请您代为转交给灵砂大人吧。,content,射洪
52,*玉络：龙师大人的「薄礼」想来相当贵重吧。我一个小小的丹士长，可不敢代为转交，若是中间出了纰漏，我可担待不起啊。,content,玉络
53,*射洪：这样啊。那在下何时才能见到灵砂大人呢？,content,射洪
54,*玉络：我也不知道。等灵砂大人方便接见时，一定会第一时间联系贵府的，请回吧。,content,玉络
55,|折叠=是}},default,
56,*灵砂：这么多年过去，罗浮丹鼎司的景色依旧未曾变改。,content,灵砂
57,*灵砂：古海恒常，潮来潮去，对于我们持明而言，没有比这更值得怀念的故土了。,content,灵砂
58,*丹恒：…灵砂小姐是罗浮本土人士？,content,丹恒
59,*灵砂：是啊，妾身自幼长于罗浮，在丹鼎司中听着这涛声与师长同{{注音|侪|chái}}潜心钻研丹方。,content,灵砂
60,*灵砂：可叹，世事无常又如此相似。我与丹恒先生一样，远游他乡。如今归来目睹旧时景色，心中难免有些感慨。,content,灵砂
61,*彦卿：如果没有建木，这里的景色只怕会更好些。,content,彦卿
62,*灵砂：是吗？我倒是觉得建木点缀在那里，还挺壮观的。,content,灵砂
63,*彦卿：再壮观也是寿瘟祸迹。仙舟与孽物争斗数千年，看到建木重又升起，人人心底都难免隐然不安的。,content,彦卿
64,*灵砂：种子一旦被埋下后，无论如何延阻其势，总会有发芽结果的时刻。,content,灵砂
65,*灵砂：以妾身的愚见，建木重生，恰如药王秘传再度出现，是不可避免的。这颗种子早在仙舟先民求取长生的时刻就已被埋下了。,content,灵砂
66,{{剧情选项,default,
67,|选项1=怎么突然聊起了严肃话题…,option,开拓者
68,|选项2=话不可以乱说啊，灵砂小姐。,option,开拓者
69,|选项3=不是说喝茶吗？茶呢？,option,开拓者
70,}},default,
71,*灵砂：是妾身鲁莽了，丹恒先生与彦卿骁卫是这次建木灾异的亲历者，故而有些事情想要与两位探讨一番。,content,灵砂
72,*彦卿：灵砂小姐想问什么？,content,彦卿
73,*灵砂：妾身有幸得到联盟委派，要来清扫这丹鼎司中的积年尘垢。,content,灵砂
74,*灵砂：不过这罗浮丹鼎司千疮百孔，早已到了积重难返的地步。我想要开一道「医治良方」，却不知两位有什么高见？,content,灵砂
75,*丹恒：我虽然身为持明族人，但与身边的两位伙伴一样同是外人身份。灵砂小姐想要的「医方」，丹恒无法置喙。但是…有一句忠告，希望灵砂小姐听听。,content,丹恒
76,*丹恒：长久以来，罗浮持明族与丹鼎司有着千丝万缕的合作，若灵砂小姐不能自外其间，想要改变丹鼎司的局面，恐怕很难。,content,丹恒
77,*彦卿：彦卿对政务懂得不多，只知道药王秘传在丹鼎司中经营多年。灵砂小姐要想革除其影响，可与将军商议对策。,content,彦卿
78,*灵砂：明白了，两位以真知灼见教我，灵砂在此谢过。,content,灵砂
79,*灵砂：帝弓的光矢威力无伦，能斫断建木，却无法断去凡物延续自我的渴望。,content,灵砂
