line_number,content,category,character
1,{{面包屑|角色图鉴|{{#titleparts:{{PAGENAME}}|1}}}}{{角色导航}},default,
2,==官方介绍==,default,
3,[[File:镜流官方介绍图.png|thumb|200px]],default,
4,"<div class=""row"">",default,
5,"<div class=""col-sm-9"">",default,
6,[[File:镜流官方介绍图2.png|500px|center]]<br>,default,
7,{{角色介绍,default,
8,|职业背景=,default,
9,|职业颜色=5883bd,default,
10,|身份=曾经的「罗浮」剑首，如今行走于魔阴身的边缘，汲汲追寻旧日的夙愿,default,
11,|职业=曾经的「罗浮」剑首，<br><small>如今行走于魔阴身的边缘，汲汲追寻旧日的夙愿。</small>,default,
12,|介绍=黑纱障目，不代表我的心眼无所洞见。<br>你心中有许多问题，它藏在声调转折和呼吸之间。<br>好奇心如剑伤人，你还是问出来罢。,default,
13,|表格背景=ffffff,default,
14,|表格边框=6c7fac,default,
15,|标题颜色=497bba,default,
16,|内容颜色=4464a2,default,
17,|备注颜色=ad7073,default,
18,|标题1=我听过「云上五骁」的话本…,default,
19,|内容1=我也听过。路过宣夜大街时，听说书人讲了几段。<br>很可惜，他口中那些人，我一个都不认得。,default,
20,|备注1=西衍先生：<br><small>这话我不爱听。我这云上五骁的传奇故事都是亲访当事人，获取第一手资料写成的，比珍珠还真！</small>,content,西衍先生
21,|标题2=你的佩剑在哪？,default,
22,|内容2=许久以前，我就抛下手中三尺凡铁了。<br>剑艺练到了某处，你便会理解：有形之器不过是牵绊负累，令心中所想无处施展。对锻冶兵器的匠人而言，这些话只怕是胡言乱语。,content,你便会理解
23,|备注2=白露：<br><small>这算什么剑呀…这就是一截坚冰！握着它，手不冷吗？</small>,content,白露
24,|标题3=听闻你曾教过景元将军剑术…,default,
25,|内容3=是啊。如今仍有许多人认为，景元擅于谋略，却不适合习武。我也曾这么以为。<br>但第一次教习问对时，他向我提了一个问题：万般兵器，为何只选择用剑？——当年我也曾这么问过我的老师。因此我视此为机缘，传授他剑术。<br>这一路走来，他做得很好，远胜过我这不称职的师傅。<br>可做得越好，别人的期待便越多，他将背负得也越多…当然，他早已不需要我来操心这些了。,content,他向我提了一个问题
26,|备注3=彦卿：<br><small>将军…一定很珍视这段习艺的过去吧，他虽然教我剑法，在外却极少展露。</small>,content,彦卿
27,|标题4=接下来要去往何处？,default,
28,|内容4=我曾承诺故友「要斩下天上的星星」。<br>但凡人之剑与天相较，不过一根银针大小。在寻得斩落星星的剑之前，我仍要走下去……,default,
29,|备注4=三月七：<br><small>她最后也没回答自己从哪儿来，要去哪儿。总觉得有些悲伤……</small>,content,三月七
30,}},default,
31,<center><gallery mode=nolines>,default,
32,File:镜流角色介绍图1.png|角色介绍1,default,
33,File:镜流角色介绍图2.png|角色介绍2,default,
34,File:镜流角色前瞻图.jpg|角色前瞻,default,
35,File:镜流官方故事图.jpg|角色故事,default,
36,File:镜流壁纸.png|手机壁纸,default,
37,</gallery></center>,default,
38,</div></div>,default,
39,{{相关光锥|镜流}},default,
40,,default,
41,{{人物出场|镜流}},default,
42,==相关物品==,default,
43,{{相关物品|镜流}},default,
44,,default,
45,==人物考据==,default,
46,*普攻——流影方晖：流影指月光。唐代诗人齐浣《长门怨》“将心托明月，流影入君怀。”；方晖是月亮的别称，南北朝诗人沈约《应王中丞思远咏月诗》：“方晖竟户入。,content,流影方晖
47,圆影隙中来。”,default,
48,*战技——无罅飞光：罅为裂隙之意。宋代诗人陈与义《观我斋再分韵得下字》：“小斋剧冰壶，中明外无罅。”,content,无罅飞光
49,*秘技——古镜照神：晚唐诗人司空图《二十四诗品》：“空潭泻春，古镜照神，体素储洁，乘月返真。”开启秘技时，静流念的便是后句乘月返真。,content,古镜照神
50,"*天赋——澹月转魄：澹月指清淡的月光。南唐词人李煜的《蝶恋花》:""数点雨声风约住,朦胧澹月云来去。""；转魄指春秋时期越王勾践所督铸的八把长剑之三。《拾遗记·卷十·诸名山》：“至越王句践，使工人白马白牛祠昆吾之神，采金铸之，以成八剑之精。一名“掩日”，以之指日则光昼暗。金，阴也，阴盛则阳灭。二名“断水”，以之划水，开即不合。三名“转魄”，以之指月，蟾兔为之倒转。”",content,澹月转魄
51,,default,
52,核心机制「朔望」和星魂用到许多月相术语：,content,和星魂用到许多月相术语
53,*「朔」：月亮无光之月相，「朔日」为阴历每月初一,content,朔
54,*「望」：满月之相,content,望
55,*星魂「半璧迫望」：弦月趋向于满月时的月相,content,半璧迫望
56,*星魂「晦入三台」：「晦日」为阴历每月的最后一天,content,晦入三台
57,----,default,
58,*曾使用支离剑作为武器，随后镜流将它遗弃。如今捡起它的正是应星时期打造它的刃。【出自刃角色故事•四】【光锥：[[此身为剑]]】,content,光锥
59,*定分枪分数：0分,content,定分枪分数
