line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=阴差阳错,default,
4,|任务地区=空间站「黑塔」-主控舱段,default,
5,|任务类型=同行任务,default,
6,|角色=艾丝妲、阿兰,default,
7,|所属版本=1.0,default,
8,|任务描述=艾丝妲似乎遇到了很困扰她的事情。<br>她正在「老地方」等你，过去问问看到底发生了什么。,default,
9,|奖励={{图标|里程|350}}{{图标|星琼|60}}{{图标|冒险记录|6}}{{图标|黑塔币|100}}{{图标|《即兴演出》|1}}{{图标|信用点|20000}},default,
10,|任务条件=完成[[她等待刀尖已经太久]],default,
11,|开放等级=0,default,
12,|相关成就=与你同行的回忆#少年阿兰之烦恼,default,
13,|相关道具=「波少」粉丝回馈手卡、「波少」限定写真、「波少」百科、阿兰ID的通行证、破碎的天花板、脚印、阿兰背影的照片,default,
14,|出场人物=艾丝妲、阿兰、丹恒、三月七,default,
15,|前置任务=,default,
16,|后续任务=,default,
17,|领取地点=完成[[她等待刀尖已经太久]]后传送至空间站「黑塔」收到艾丝妲短信接取,default,
18,|系列任务=劫后新生,default,
19,|任务编号=01,default,
20,|任务流程=*向艾丝妲询问详情,default,
21,*跟随佩佩前进,default,
22,*向卡波特教授套话,default,
23,*与卡波特粉丝交流,default,
24,*将得到的线索交给艾丝妲,default,
25,*跟随佩佩继续前进,default,
26,*向丹恒了解阿兰的修行,default,
27,*将得到的线索交给艾丝妲,default,
28,*跟随佩佩继续前进,default,
29,*追迹可疑晶体并寻找阿兰,default,
30,*询问阿兰关于修行的事情,default,
31,*持续质询阿兰以得出修行的真相,default,
32,}},default,
33,==剧情内容==,default,
34,===任务接取短信===,default,
35,{{折叠|标题=短信：艾丝妲<br><small>不能再买了…</small>|内容=,content,短信
36,{{角色对话|模板开始}},default,
37,{{角色对话|左|艾丝妲|文本|开拓者，听说你回空间站了？|是}},default,
38,{{角色对话|左|艾丝妲|文本|有件事…也许只能找你商量了|是}},default,
39,{{角色对话|左|艾丝妲|文本|如果没有什么要紧事的话，可以麻烦你过来一趟吗？|是}},default,
40,{{角色对话|模板结束}},default,
41,{{剧情选项,default,
42,|选项1=有不好的预感…,option,开拓者
43,|剧情1={{角色对话|右|开拓者|文本|有不好的预感…}},branch_content,
44,{{角色对话|左|艾丝妲|文本|不不，不是奇怪的委托！只是有事想找你商量|是}},default,
45,{{角色对话|左|艾丝妲|文本|毕竟这件事，稍微有点难以启齿|是}},default,
46,|选项2=不麻烦，我回列车了,option,开拓者
47,|剧情2={{角色对话|右|开拓者|文本|不麻烦，我回列车了}},branch_content,
48,{{角色对话|左|艾丝妲|文本|不要开这种玩笑啦！是真的有要紧的事情！|是}},default,
49,}},default,
50,{{角色对话|左|艾丝妲|文本|总之我在「老地方」等你，最好可以快一点|是}}}},default,
51,=== 向艾丝妲询问详情 ===,default,
52,{{任务描述|艾丝妲似乎遇到了很困扰她的事情。<br>她正在「老地方」等你，过去问问看到底发生了什么。|空间站「黑塔」-主控舱段}},default,
53,*艾丝妲：你可算来了。事态紧急，我就直奔主题啦——阿兰他失踪了。,content,艾丝妲
54,*开拓者：失踪了？,content,开拓者
55,*艾丝妲：没错，人找不到，消息不回，通讯也不接。,content,艾丝妲
56,*艾丝妲：我把他捡回来到现在，从来没发生过这种事。,content,艾丝妲
57,*开拓者：有查过监控录像吗？,content,开拓者
58,*艾丝妲：当然，但监控录像中也找不到阿兰的行踪。,content,艾丝妲
59,*艾丝妲：「军团」入侵时破坏的监控系统还没完全恢复，可能是监控的盲区被利用了。,content,艾丝妲
60,*艾丝妲：距他上次和我联系已经超过了13个小时，平时回复消息都不会超过13秒的！,content,艾丝妲
61,*艾丝妲：我怎么都找不到他，只好调取了防卫科的个人工作规划记录，然后发现了这个！,content,艾丝妲
62,*艾丝妲：哎，你看最后的工作目标：从心、从镜、从我。这怎么看都很怪吧？,content,艾丝妲
63,{{剧情选项,default,
64,|选项1=上周的记录也蛮怪的。,option,开拓者
65,|剧情1=*艾丝妲：…啊哈哈，不、不要在意细节。,branch_content,艾丝妲
66,|选项2=确实有点蹊跷。,option,开拓者
67,|剧情2=*艾丝妲：果然开拓者也这么想吧？,branch_content,艾丝妲
68,|选项3=是他这个年纪会写的。,option,开拓者
69,|剧情3=*艾丝妲：阿兰他没那么文艺啦！,branch_content,艾丝妲
70,}},default,
71,*艾丝妲：我问了防卫科，可他们都觉得这不是什么要紧事。还说什么：,content,艾丝妲
72,*艾丝妲：「阿兰大哥已经是个成熟的男人了，有自己的安排也很正常！」,content,艾丝妲
73,*艾丝妲：我跟他们完全说不通，所以这件事只能拜托你了。,content,艾丝妲
74,{{剧情选项,default,
75,|选项1=你都没有线索，我能怎办…,option,开拓者
76,|剧情1=*艾丝妲：还有一个秘密武器！那就是……,branch_content,艾丝妲
77,|选项2=成熟的男人失踪了也正常！,option,开拓者
78,|剧情2=*艾丝妲：你怎么也来防卫科那一套！不要开玩笑了，快帮帮我呀。,branch_content,艾丝妲
79,*艾丝妲：我还有一个秘密武器！那就是……,content,艾丝妲
80,}},default,
81,*艾丝妲：佩佩！,content,艾丝妲
82,*开拓者：佩佩？,content,开拓者
83,*艾丝妲：嗯，它是我的爱犬，从小就由阿兰照看，他俩感情非常好。,content,艾丝妲
84,*艾丝妲：阿兰的气味，佩佩再熟悉不过了，或许它能找到阿兰。,content,艾丝妲
85,{{剧情选项,default,
86,|选项1=那这里没我什么事呀？,option,开拓者
87,|剧情1=*艾丝妲：不不，你想啊，我作为代理站长，要是当着这么多科员的面调查阿兰的行踪。,branch_content,艾丝妲
88,|选项2=那你快让它去找啊。,option,开拓者
89,|剧情2=*艾丝妲：让它自己去，要是也失踪了怎么办？可是我跟着它，当着这么多科员的面调查阿兰的行踪。,branch_content,艾丝妲
90,}},default,
91,*艾丝妲：这岂不是…岂不是让他这个防卫科负责人显得很不靠谱！,content,艾丝妲
92,*艾丝妲：咱们这就带上佩佩出发吧！放心啦，它不会咬人的。,content,艾丝妲
93,,default,
94,=== 跟随佩佩前进 ===,default,
95,{{任务描述|嗅嗅，嗅嗅。<br>跟着佩佩前进吧！|空间站「黑塔」-主控舱段}},default,
