line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务|任务名称=阴影从未离去,default,
3,|任务地区=空间站「黑塔」,default,
4,|任务类型=开拓任务,default,
5,|所属版本=1.0,default,
6,|任务描述=新的危机——末日兽已经袭来，而你似乎成为了某种「关键」。<br>,default,
7,想要摆脱这样的困境，让空间站免于毁灭的命运，或许只有前往月台，与列车、与那个被称为「瓦尔特」的男人会合后，才有解法。,default,
8,|奖励={{图标|里程|1200}}{{图标|星琼|80}}{{图标|冒险记录|3}}{{图标|信用点|30000}}{{图标|「毁灭」之影|1}},default,
9,|任务条件=完成[[宇宙安宁片刻]],default,
10,|开放等级=0,default,
11,|出场人物=三月七、丹恒、姬子、瓦尔特、纳努克、黑塔、艾丝妲,default,
12,|相关道具=「黑塔」特许通行认证,default,
13,|系列任务=今天是昨天的明天,default,
14,|任务编号=4,default,
15,|前置任务=*[[宇宙安宁片刻]],default,
16,|后续任务=*[[模拟宇宙•始发测试]],default,
17,*[[旅途正在继续]],default,
18,|任务流程=*扫清障碍，继续向前,default,
19,*找到离开备件库房的方法,default,
20,*尽快到达月台,default,
21,*寻找姬子,default,
22,*前往黑塔的办公室,default,
23,*与黑塔交谈,default,
24,|已完善=是}},default,
25,==剧情内容==,default,
26,:{{颜色|描述|你和列车组的成员离开了主控舱段，与艾丝妲的通信受到干扰…}},default,
27,*艾丝妲：支援舱段部分的防护罩也撑不了多久，你们尽快……,content,艾丝妲
28,*艾丝妲：这里…就…交给……,content,艾丝妲
29,*艾丝妲：你们…尽快……,content,艾丝妲
30,*姬子：…通讯断了。,content,姬子
31,*丹恒：要回去么？提醒一句：那是末日兽，军团的对星体兵器。,content,丹恒
32,*姬子：这空间站是黑塔建的。{{注音|绝灭大君|「毁灭」的令使}}不出手，这里不会有什么大碍。,content,姬子
33,*三月七：可、可咱们也不能就这么跑了吧……,content,三月七
34,*丹恒：末日兽撕开防护罩易如反掌，黑塔不在，这儿的防御系统对反物质军团来说太过脆弱。,content,丹恒
35,*丹恒：军团拥有星神{{注音|纳努克|「毁灭」}}的赐福。它们有备而来，这里的人是守不住的。,content,丹恒
36,*姬子：所以我们才必须离开——而且要带上开拓者一起走。,content,姬子
37,*丹恒：开拓者？,content,丹恒
38,*丹恒：这样吗…他/她——很关键？,content,丹恒
39,*姬子：他/她是破局之人——当然，我也可能弄错。,content,姬子
40,*丹恒：…既如此。好吧，接下来该怎么做？,content,丹恒
41,*姬子：这里是检修科员工作的支援舱段，能通往最近的月台。我们去那儿，和瓦尔特会合。,content,姬子
42,*三月七：杨叔？杨叔也来了？他不是留在车上了吗？,content,三月七
43,*丹恒：星穹列车的行车仪上即时记录我们的行迹。空间站的动静这么大，瓦尔特先生不可能注意不到。,content,丹恒
44,*姬子：嗯，我敢保证，你们的杨叔正在赶来的路上。,content,姬子
45,*姬子：现在的话，只是末日兽姑且还能应付，但如果「毁灭」的令使也来了……,content,姬子
46,{{剧情选项,default,
47,|选项1=我…姑且应付不了…,option,开拓者
48,|选项2=「毁灭」的令使？,option,开拓者
49,|选项3=总觉得事情没那么顺利。}},option,开拓者
50,*姬子：先抓紧离开这里吧，之后会跟你好好解释的。,content,姬子
51,===扫清障碍，继续向前===,default,
52,{{任务描述|新的危机——末日兽已经袭来，而你似乎成为了某种「关键」。<br>想要摆脱这样的困境，让空间站免于毁灭的命运，或许只有前往月台，与列车、与那个被称为「瓦尔特」的男人会合后，才有解法。|空间站「黑塔」-支援舱段}},default,
53,*三月七：出口在那边…怎么过去呢？,content,三月七
54,===找到离开备件库房的方法===,default,
55,,default,
56,=== 尽快到达月台 ===,default,
57,{{任务描述|新的危机——末日兽已经袭来，而你似乎成为了某种「关键」。<br>想要摆脱这样的困境，让空间站免于毁灭的命运，或许只有前往月台，与列车、与那个被称为「瓦尔特」的男人会合后，才有解法。<br>离月台已经越来越近了，加快脚步吧。|空间站「黑塔」-支援舱段}},default,
58,*三月七：看见月台了，好耶！,content,三月七
59,*丹恒：…列车还没到。,content,丹恒
60,*三月七：保不准就在附近！我视力好，先去瞅瞅。,content,三月七
61,----,default,
62,{{折叠|标题=过场动画|内容=,default,
63,:{{颜色|描述|你们即将到达月台，突然丹恒喊住了跑在前面的三月七…}},default,
64,:{{颜色|描述|一只巨兽飞来…}},default,
65,*丹恒：等等，三月！,content,丹恒
66,*姬子：末日兽……,content,姬子
67,*姬子：居然真的追过来了。,content,姬子
68,*三月七：你下来啊！,content,三月七
69,*姬子：都小心了。,content,姬子
