line_number,content,category,character
1,{{角色图鉴,default,
2,|名称=阿兰,default,
3,|外文名=Arlan,default,
4,|称号=,default,
5,|全名=,default,
6,|性别=男,default,
7,|稀有度=4星,default,
8,|限定=否,default,
9,|阵营=空间站「黑塔」,default,
10,|命途=毁灭,default,
11,|命途材料=毁灭1,default,
12,|元素属性=雷,default,
13,|体型=少年,default,
14,|种族=人类,default,
15,|介绍=空间站「黑塔」的防卫科负责人。<br>不善言辞，希望保护珍视研究的人们顺利完成他们的研究。,default,
16,|TAG=消耗生命值、自身伤害提升、自身治疗、伤害抵抗、持续伤害抵抗,default,
17,|实装日期=2023年04月26日,default,
18,|实装版本=1.0,default,
19,|昵称/外号=,default,
20,|中文CV=陶典,default,
21,|日文CV=白石涼子,default,
22,|韩文CV=김율,default,
23,|英文CV=Dani Chambers,default,
24,|卷首语=「为了保护大家受伤，本来就是一件值得自豪的事。」,default,
25,|短信签名=佩佩紧急联系人,default,
26,|所在位置=空间站「黑塔」-支援舱段<!-- 地图名称 -->,default,
27,|角色详细=不善言辞的空间站「黑塔」防卫科负责人。<br>虽然不懂科研，但为了保护珍视研究的空间站科员顺利完成他们的研究，阿兰可以拼上性命。他早已习惯疼痛，并将负伤视作勋章。<br>也只有抱着佩佩时，男孩才会放下戒备，露出难得一见的笑容。,default,
28,|角色故事1=如何评价阿兰在防卫科的工作？<br>,default,
29,——大哥，是指引防卫科前进的明灯，是支撑大家战斗的核心！若无大哥一日，则空间站哀鸿遍野；若无大哥十日，则空间站民不聊生；若无大哥百日，则空间站宛如炼狱！<br>,default,
30,——但他在工作时间和佩佩玩电子飞盘诶。<br>,default,
31,——因为大哥提前完成了防卫科的日常训练！目睹大哥的身姿，也是对我们的激励！<br>,default,
32,——但他在工作时间和佩佩玩电子飞盘诶。<br>,default,
33,——你怎么知道和佩佩玩电子飞盘不是大哥的工作之……<br><br>,default,
34,''「巡逻的时候玩手机，没收。」<br>「不是，阿兰大哥，有人在群里说你坏话，你不管管？」<br>「没空。」<br>「啊？有紧急任务吗？我跟你一起去，发生啥了？」<br>「带佩佩去做复健训练，玩电子飞盘。」'',default,
35,|角色故事2=在艾丝妲小姐家中，怪异且贵重的东西数不胜数，一条奄奄一息的小狗反而有些惹人注目。<br><br>,default,
36,更何况她哭得很伤心，当父母安慰着艾丝妲，说捡来的狗多半活不长，不如给她再买一条的时候，她哭得更大声了。<br><br>,default,
37,而那条脏兮兮的小狗只是躺在那，甚至没力气抬起头看一眼周围的人们。哭喊、争吵、沉默，这一切都和它无关。<br><br>,default,
38,他一度以为它已经停止了呼吸，因此蹲下身探了探它的鼻息。突然，小狗用舌头舔了舔他的手指，这是它力所能及之下，能触碰的最远距离。<br><br>,default,
39,——它的舌头湿漉漉的。<br><br>,default,
40,''「想玩电子飞盘么？」''<br><br>,default,
41,无神的眼睛亮了起来。,default,
42,|角色故事3=他在走廊停下脚步，望向窗外，宇宙寂静，映着他的黑眼圈。<br><br>,default,
43,窗上出现另一双布满血丝的眼睛，眼睛的主人比平时在科员前更放松些，漫不经心地打了个长长的哈欠。<br><br>,default,
44,''「这么晚了，还不休息？」<br>「有点不放心，出来巡逻一趟……」<br>「我刚替防护罩更新了代码，安保系统也运转正常。」<br>「可能是我多虑了，但……」<br>「我知道。你是防卫科的负责人，我相信你的直觉。」''<br><br>,default,
45,空间站依旧灯火通明，不分昼夜轮转，他们回到各自的岗位。<br><br>,default,
46,他们都明白，黑塔女士的光芒笼罩也好，空间站的防御措施也好，防卫科的日夜不眠也好，如果危机发生……<br><br>,default,
47,也只在刹那。,default,
48,|角色故事4=''「所有人都撤离了，阿兰，赶快撤退！」<br>「可能还有幸存的科员。」<br>「没有了…已经没有其他生命信号了。」''<br><br>,default,
49,他明白自己应该相信艾丝妲，直到他看见反物质军团正如潮水般向他涌来。监察域传来的信号微弱，艾丝妲看不到这个画面。<br><br>,default,
50,此刻，他正站在电梯前。这里只有他一个人，他必须做出判断，即使要反抗艾丝妲的命令——为了守护他们，不惜一切代价也要封锁电梯的权限，不能让怪物再接近主控舱段一步。<br><br>,default,
51,''「抱歉，小姐……」''<br><br>,default,
52,他还来不及解释，就遭到反物质军团的背后偷袭，他倒下，远程通讯随之切断。<br><br>,default,
53,他想起自己无论是在小姐家工作，还是前往空间站「黑塔」成为防卫科负责人，自始至终未有任何「犹豫」。因为小姐决定前往了那个方向，所以自己当然要追随着一起。这是理所应当的事。<br><br>,default,
54,阿兰艰难地抬起头，怪物步步朝他围拢。他也未曾反抗过小姐的命令，这是第一次。<br><br>,default,
55,''「希望不是最后一次吧。」''<br><br>,default,
56,他突然冒出这样的念头。<br><br>,default,
57,他用大剑支撑着自己的身体，缓慢地、坚定地站起身。,default,
58,|晋阶属性材料=往日之影的雷冠,default,
59,|晋阶系列材料=原核,default,
60,|速度=102,default,
61,|能量上限=110,default,
62,|生命值=163,default,
63,|20生命值=318,default,
64,|20+生命值=383,default,
65,|30生命值=465,default,
66,|30+生命值=530,default,
67,|40生命值=612,default,
68,|40+生命值=677,default,
69,|50生命值=758,default,
70,|50+生命值=824,default,
71,|60生命值=905,default,
72,|60+生命值=971,default,
73,|70生命值=1052,default,
74,|70+生命值=1117,default,
75,|80生命值=1199,default,
76,|攻击力=81,default,
77,|20攻击力=159,default,
78,|20+攻击力=191,default,
79,|30攻击力=232,default,
80,|30+攻击力=265,default,
81,|40攻击力=306,default,
82,|40+攻击力=338,default,
83,|50攻击力=379,default,
84,|50+攻击力=412,default,
85,|60攻击力=452,default,
86,|60+攻击力=485,default,
87,|70攻击力=526,default,
88,|70+攻击力=558,default,
89,|80攻击力=599,default,
90,|防御力=45,default,
91,|30防御力=128,default,
92,|30+防御力=146,default,
93,|20防御力=87,default,
94,|20+防御力=105,default,
95,|40防御力=168,default,
96,|40+防御力=186,default,
97,|50防御力=209,default,
98,|50+防御力=227,default,
99,|60防御力=249,default,
100,|60+防御力=267,default,
101,|70防御力=290,default,
102,|70+防御力=308,default,
103,|80防御力=330,default,
104,|星魂1=万死不辞,default,
105,|星魂1描述=当前生命值百分比{{颜色|描述2|小于等于50%}}时，战技造成的伤害提高{{颜色|描述2|10%}}。,default,
106,|星魂2=除制去缚,default,
107,|星魂2描述=施放战技、终结技时，解除自身的{{颜色|描述2|1个}}负面效果。,default,
108,|星魂3=重剑强攻,default,
109,|星魂3描述=战技等级+2，最多不超过15级；普攻等级+1，最多不超过10级。,default,
110,|星魂4=绝处反击,default,
111,|星魂4描述=进入战斗后，受到致命攻击时阿兰不会陷入无法战斗状态，并立即回复至自身{{颜色|描述2|生命上限的25%}}。该效果在{{颜色|描述2|触发1次}}后或{{颜色|描述2|持续2回合}}后自动解除。,default,
112,|星魂5=全力倾注,default,
113,|星魂5描述=终结技等级+2，最多不超过15级；天赋等级+2，最多不超过15级。,default,
114,|星魂6=以身作引,default,
115,|星魂6描述=当前生命值百分比{{颜色|描述2|小于等于50%}}时，终结技造成的伤害提高{{颜色|描述2|20%}}，且对相邻目标的伤害倍率提高到{{颜色|描述2|与主目标相同}}的伤害倍率。,default,
116,|周本材料=毁灭者的末路,default,
117,}},default,
118,==行迹==,default,
119,{{角色/行迹,default,
120,|命途=毁灭,default,
121,|命途材料=毁灭1,default,
122,|普攻=如雷疾行,default,
123,|战技=禁锢解除,default,
124,|终结技=狂者制裁,default,
125,|天赋=至痛至怒,default,
126,|秘技=极速收割,default,
127,|普攻TAG=单攻,default,
128,|普攻描述=对指定敌方单体造成等同于阿兰{{颜色|描述2|50%/100%}}攻击力的{{颜色|雷|雷属性伤害}}。,default,
129,|战技TAG=单攻,default,
130,|战技描述=消耗等同于{{颜色|描述2|阿兰生命上限15%}}的生命值对指定敌方单体造成等同于阿兰{{颜色|描述2|120%/240%}}攻击力的{{颜色|雷|雷属性伤害}}。若当前生命值不足，施放战技时阿兰的当前生命值降至{{颜色|描述2|1点}}。,default,
131,|战技点=0,default,
132,|战技效果加成=星魂1,default,
133,|战技属性1=单体伤害,default,
134,|战技属性1LV1=120.0%攻击力,default,
135,|战技属性1LV2=132.0%攻击力,default,
136,|战技属性1LV3=144.0%攻击力,default,
137,|战技属性1LV4=156.0%攻击力,default,
138,|战技属性1LV5=168.0%攻击力,default,
139,|战技属性1LV6=180.0%攻击力,default,
140,|战技属性1LV7=195.0%攻击力,default,
141,|战技属性1LV8=210.0%攻击力,default,
142,|战技属性1LV9=225.0%攻击力,default,
143,|战技属性1LV10=240.0%攻击力,default,
144,|战技属性1LV11=252.0%攻击力,default,
145,|战技属性1LV12=264.0%攻击力,default,
146,|战技属性1LV13=276.0%攻击力,default,
147,|战技属性1LV14=288.0%攻击力,default,
148,|战技属性1LV15=300.0%攻击力,default,
149,|终结技TAG=扩散,default,
150,|终结技描述=对指定敌方单体造成等同于阿兰{{颜色|描述2|192%/320%}}攻击力的{{颜色|雷|雷属性伤害}}，同时对其相邻目标造成等同于阿兰{{颜色|描述2|96%/160%}}攻击力的{{颜色|雷|雷属性伤害}}。,default,
151,|终结技效果加成=星魂6,default,
152,|终结技属性数=2,default,
153,|终结技属性1=单体伤害,default,
154,|终结技属性1LV1=192.0%攻击力,default,
155,|终结技属性1LV2=204.8%攻击力,default,
156,|终结技属性1LV3=217.6%攻击力,default,
157,|终结技属性1LV4=230.4%攻击力,default,
158,|终结技属性1LV5=243.2%攻击力,default,
159,|终结技属性1LV6=256.0%攻击力,default,
160,|终结技属性1LV7=272.0%攻击力,default,
161,|终结技属性1LV8=288.0%攻击力,default,
162,|终结技属性1LV9=304.0%攻击力,default,
163,|终结技属性1LV10=320.0%攻击力,default,
164,|终结技属性1LV11=332.8%攻击力,default,
165,|终结技属性1LV12=345.6%攻击力,default,
166,|终结技属性1LV13=358.4%攻击力,default,
167,|终结技属性1LV14=371.2%攻击力,default,
168,|终结技属性1LV15=384.0%攻击力,default,
169,|终结技属性2=扩散伤害,default,
170,|终结技属性2LV1=96.0%攻击力,default,
171,|终结技属性2LV2=102.4%攻击力,default,
172,|终结技属性2LV3=108.8%攻击力,default,
173,|终结技属性2LV4=115.2%攻击力,default,
174,|终结技属性2LV5=121.6%攻击力,default,
175,|终结技属性2LV6=128.0%攻击力,default,
176,|终结技属性2LV7=136.0%攻击力,default,
177,|终结技属性2LV8=144.0%攻击力,default,
178,|终结技属性2LV9=152.0%攻击力,default,
179,|终结技属性2LV10=160.0%攻击力,default,
180,|终结技属性2LV11=166.4%攻击力,default,
181,|终结技属性2LV12=172.8%攻击力,default,
182,|终结技属性2LV13=179.2%攻击力,default,
183,|终结技属性2LV14=185.6%攻击力,default,
184,|终结技属性2LV15=192.0%攻击力,default,
185,|天赋TAG=强化,default,
186,|天赋GIF=0,default,
187,|天赋描述=根据阿兰当前损失的生命值百分比获得伤害加成，最多使阿兰造成的伤害提高{{颜色|描述2|36%/72%}}。,default,
188,|天赋效果加成=额外能力1、额外能力2、额外能力3、星魂2、星魂4,default,
189,|天赋属性1=增伤上限,default,
190,|天赋属性1LV1=36.0%,default,
191,|天赋属性1LV2=39.6%,default,
192,|天赋属性1LV3=43.2%,default,
193,|天赋属性1LV4=46.8%,default,
194,|天赋属性1LV5=50.4%,default,
195,|天赋属性1LV6=54.0%,default,
196,|天赋属性1LV7=58.5%,default,
197,|天赋属性1LV8=63.0%,default,
198,|天赋属性1LV9=67.5%,default,
199,|天赋属性1LV10=72.0%,default,
200,|天赋属性1LV11=75.6%,default,
201,|天赋属性1LV12=79.2%,default,
202,|天赋属性1LV13=82.8%,default,
203,|天赋属性1LV14=86.4%,default,
204,|天赋属性1LV15=90.0%,default,
205,|秘技TAG=,default,
206,|秘技描述=立即攻击敌人，进入战斗后对敌方全体造成等同于阿兰{{颜色|描述2|80%}}攻击力的{{颜色|雷|雷属性伤害}}。,default,
207,|额外能力1=苏生,default,
208,|额外能力1描述=消灭敌方目标时，若当前生命值百分比小于等于{{颜色|描述2|30%}}，则立即回复等同于自身{{颜色|描述2|生命上限20%}}的生命值。,default,
209,|额外能力2=坚忍,default,
210,|额外能力2描述=抵抗持续伤害类负面状态的概率提高{{颜色|描述2|50%}}。,default,
211,|额外能力3=抗御,default,
212,|额外能力3描述=进入战斗时，若当前生命值百分比{{颜色|描述2|小于等于50%}}，阿兰可以抵抗除持续伤害外的所有伤害。当阿兰受到攻击后，该效果解除。,default,
213,|属性加成1=攻击,default,
214,|属性加成1数值=4.0,default,
215,|属性加成2=效果抵抗,default,
216,|属性加成2数值=4.0,default,
217,|属性加成3=攻击,default,
218,|属性加成3数值=4.0,default,
219,|属性加成4=生命,default,
