line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=隐秘的角落,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=同行任务<!-- 开拓任务、同行任务、冒险任务、日常任务、活动任务 -->,default,
6,|角色=罗刹<!-- 同行任务填写 -->,default,
7,|所属版本=1.1,default,
8,|任务描述=根据名侦探三月七的推理，这种等级的门锁根本就拦不住罗刹。不过一想到罗刹这样一位风度翩翩的绅士，竟然蹲在黑暗的小角落溜门撬锁，还是有点令人忍俊不禁。噗。,default,
9,|时间=<!-- 限时任务填写，可留空 -->,default,
10,|奖励=无<!-- {{图标|材料名|个数}} -->,default,
11,|任务条件=同行任务[[异邦骑士]]中开启,default,
12,|开放等级=34,default,
13,|相关活动=,default,
14,|相关成就=,default,
15,|相关道具=搜查记录「执事精神」、搜查记录「打感情牌」、搜查记录「武力威胁」、搜查记录「破财消灾」、搜查记录「书籍扉页」、搜查记录「诚恳请求」,default,
16,|相关书籍=,default,
17,|出场人物=三月七、瓦尔特、罗刹、帕姆,default,
18,|领取地点=,default,
19,|系列任务=化外过客,default,
20,|任务编号=02<!-- 有系列任务时填写 -->,default,
21,|前置任务=*[[异邦骑士]]<!-- *[[前置任务]] -->,default,
22,|后续任务=*[[异邦骑士]]<!-- *[[后续任务]] -->,default,
23,|任务流程=*撬开封住码头的门锁,default,
24,*在码头中寻找接头地点,default,
25,*在超级危险的码头中寻找接头地点,default,
26,*抵达接头地点，开始危险的交易,default,
27,*交易失败，云骑要来了，快跑,default,
28,}},default,
29,==剧情内容==,default,
30,*三月七：（好的，接下来我将采取渔公的推理方式：将自己代入坏蛋的视角中。）,content,三月七
31,*罗刹：现在，本姑娘就是罗刹~,content,罗刹
32,{{剧情选项,default,
33,|选项1=不像在推理，倒像被夺舍。,option,开拓者
34,|选项2=杨叔，我害怕。,option,开拓者
35,}},default,
36,*三月七：（你别捣乱，我正在高速思考。）,content,三月七
37,*三月七：（哦，对了，差点忘了这个撕掉的扉页…他把这张纸带走，那八成是有大用的……）,content,三月七
38,*三月七：（接下来…杨叔，借我看一下现场地图。嗯…嗯…他肯定穿过了前面的那扇门，不可能在这么小的地方晃悠了两小时。）,content,三月七
39,*瓦尔特：（可是净砚小姐也说了，那扇门是军队的资产，长年紧锁。）,content,瓦尔特
40,*三月七：（罗刹先生肯定有办法解开这个锁啊。连一扇门都打不开，还惦记偷运星核呢？）,content,三月七
41,*罗刹：哼，这种等级的门锁，还想拦住本姑娘？,content,罗刹
42,{{剧情选项,default,
43,|选项1=可以了，我受不了了。,option,开拓者
44,|选项2=你这样我真没法代入。,option,开拓者
45,}},default,
46,*三月七：（咳咳，习惯了。好吧，接下来你们就想象罗刹那张脸会说什么台词，我不掺和。）,content,三月七
47,*罗刹：…这种档次的锁，能挡得住谁？,content,罗刹
48,,default,
49,===撬开封住码头的门锁===,default,
50,{{任务描述|根据名侦探三月七的推理，这种等级的门锁根本就拦不住罗刹。不过一想到罗刹这样一位风度翩翩的绅士，竟然蹲在黑暗的小角落溜门撬锁，还是有点令人忍俊不禁。噗。|仙舟「罗浮」-太卜司}},default,
51,*瓦尔特：（即便罗刹可以解开门锁，他进去的目的是什么呢？）,content,瓦尔特
52,*三月七：（和他交接星核的坏家伙藏在这里，他就是来和那些家伙见面的。）,content,三月七
53,,default,
54,===在码头中寻找接头地点===,default,
55,{{任务描述|根据名侦探三月七的推理，罗刹就是在这里与星核买家接头的。找找看吧，这附近应该有适合搞邪恶交易的地方。|仙舟「罗浮」-太卜司}},default,
56,*瓦尔特：（想了想，不太对吧？他们怎么会在一个军机重地见面？）,content,瓦尔特
57,*三月七：（啊…这…这是因为，我们平时遵纪守法，很难理解坏家伙们的逻辑。）,content,三月七
58,*瓦尔特：（…越危险的地方越安全是吗。）,content,瓦尔特
59,----,default,
60,*瓦尔特：（等一下，这条路太顺了。）,content,瓦尔特
61,*罗刹：什么意思？顺还不好吗？,content,罗刹
62,*三月七：（咳咳咳…顺还不好吗？）,content,三月七
63,*瓦尔特：（我们要试着解释罗刹在两小时之中做了什么。可是围着这个地方绕上二十圈，也用不了两个小时。）,content,瓦尔特
64,*三月七：（确实啊…那他的路程可能比我想象中凶险很多啊。来吧，我们重新还原一次现场。）,content,三月七
65,----,default,
66,*怪物：嗷嗷嗷！看你细皮嫩肉，竟敢擅闯这里，今天就是你的末日！,content,怪物
67,*罗刹：宵小之辈安敢放肆若此，着我一剑！,content,罗刹
68,*瓦尔特：（为什么怪物会说话？）,content,瓦尔特
69,*三月七：（为了增加一些紧迫感……）,content,三月七
70,:{{颜色|描述|击败怪物}},default,
71,----,default,
72,:{{颜色|描述|进行两次战斗}},default,
73,*罗刹：真难缠，这仙舟罗浮哪来这么多敌人？,content,罗刹
74,{{剧情选项,default,
75,|选项1=我还想问呢。,option,开拓者
76,|选项2=三月七解释下。,option,开拓者
77,}},default,
78,*三月七：（这是因为…因为…因为……）,content,三月七
79,*瓦尔特：（…三月，你想剧情的时候我们可以等，不是非得安排战斗不可。）,branch_content,瓦尔特
80,,default,
81,===在超级危险的码头中寻找接头地点===,default,
82,{{任务描述|根据名侦探三月七的推理，如果罗刹在这里用足足两个小时才完成了交易，那就说明这里一定凶险异常，到处都是怪物。<br>嗯？这不是个推理故事吗？怎么塞了这么多场战斗？|仙舟「罗浮」-太卜司}},default,
83,*瓦尔特：（我个人并不认为罗浮上会有这么危险的地方…这种会有危险分子和黑市买家接头的地方，至少在建木生发之前，应该是不存在的。）,content,瓦尔特
84,*三月七：（都有坏蛋要在这里和星核的买家接头了……）,content,三月七
85,{{剧情选项,default,
86,|选项1=有必要一上来就这么刺激吗？,option,开拓者
87,|剧情1=*三月七：（这样比较有意思嘛。）,branch_content,三月七
88,|选项2=你这是侦探故事还是武侠？,option,开拓者
89,|剧情2=*三月七：（渔公既是侦探，也是侠客！）,branch_content,三月七
90,}},default,
91,*三月七：（反正也很难想象罗刹具体遇到了什么困难，就当做是这样好了。）,content,三月七
92,*瓦尔特：（嗯…勉强也算说得通。）,content,瓦尔特
93,{{剧情选项,default,
94,|选项1=杨叔你也玩得很开心啊…,option,开拓者
