line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=霜刃一试,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=同行任务,default,
6,|角色=彦卿,default,
7,|所属版本=1.1,default,
8,|任务描述=为了捉拿逃脱的星核猎手，神策府骁卫彦卿孤身踏上狩猎之路…,default,
9,|奖励={{图标|里程|350}}{{图标|星琼|100}}{{图标|漫游指南|5}}{{图标|提纯以太|5}}{{图标|《青锋急急如律令》|1}}{{图标|信用点|50000}},default,
10,|任务条件=完成开拓任务[[茸客鸣呦，玉角盘虬]]，并在场景「星槎海中枢」与NPC「谛听」对话后开放。,default,
11,|开放等级=34,default,
12,|相关成就=与你同行的回忆#剑中魁首,default,
13,|相关道具=示迹玉扣,default,
14,|相关书籍=,default,
15,|出场人物=谛听、三月七、彦卿、镜流、景元,default,
16,|领取地点=完成开拓任务[[茸客鸣呦，玉角盘虬]]后，在星槎海中枢司辰宫前与谛听对话接取,default,
17,|系列任务=无尽形寿,default,
18,|任务编号=01,default,
19,|前置任务=<!-- *[[前置任务]] -->,default,
20,|后续任务=<!-- *[[后续任务]] -->,default,
21,|任务流程=*帮助似有所求的谛听,default,
22,*寻找能听懂谛听吠声的翻译人才,default,
23,*前往流云渡查看谛听发现的线索,default,
24,*跟随谛听寻找线索,default,
25,*调查某人遗落的玉扣,default,
26,*问询云骑队长流云渡的现状,default,
27,*自流云渡中调查线索,default,
28,*前往流云渡码头,default,
29,*驱使谛听追踪人犯遗留的痕迹，确定去向,default,
30,*护送镜流同行,default,
31,*调查舵航仪，寻找刃劫走的星槎去向,default,
32,*与镜流比试剑术，斩杀孽物,default,
33,*争分夺秒，继续前进,default,
34,*争分夺秒，继续前进,default,
35,*阅读镜流刻下的字迹,default,
36,*将玉扣送交神策府，让他们得知彦卿的情况,default,
37,|已完善=是,default,
38,}},default,
39,==剧情内容==,default,
40,=== 帮助似有所求的谛听 ===,default,
41,{{任务描述|仙舟之上乱象频生，连猫猫狗狗都不安分了起来。那一日你入得星槎海，却见港口一只小狗孤零零无家可归，吠狺狺似有所求。招猫逗狗非你所愿，但万一这小狗是要带你去挖出哪儿埋藏的宝藏呢？万一呢？|仙舟「罗浮」-星槎海中枢}},default,
42,*谛听：汪汪，汪汪汪汪！,content,谛听
43,{{剧情选项,default,
44,|选项1=请讲人话。,option,开拓者
45,|剧情1=*谛听：汪汪，汪汪汪汪！,branch_content,谛听
46,:谛听没有理会你的无理请求。,default,
47,|选项2=汪汪汪汪！,option,开拓者
48,|剧情2=*谛听：汪汪汪？汪～,branch_content,谛听
49,:很显然你蒙对了一些词汇，与谛听产生了交流。不过，这显然还不够。,default,
50,|选项3=喵喵喵喵！,option,开拓者
51,|剧情3=*谛听：汪呜？汪汪，汪汪汪汪！,branch_content,谛听
52,:很显然你搞错了应该「喵喵喵喵」的对象。,default,
53,|选项4=小吃摊的话，在那边儿。,option,开拓者
54,|剧情4=*谛听：汪汪，汪汪汪汪！,branch_content,谛听
55,:也许谛听根本就没想去找小吃摊。,default,
56,}},default,
57,*谛听：呜汪，汪汪汪呜汪汪嗷！,content,谛听
58,{{剧情选项,default,
59,|选项1=（找一个能听懂的人吧）,option,开拓者
60,|剧情1=:说到能够听懂谛听汪汪叫的人，你立马想起了那个人……,branch_content,
61,{{剧情选项,default,
62,|选项1=三月七！,option,开拓者
63,|剧情1=:没错，就是这位姑娘。,branch_content,
64,|选项2=粉色头发的美少女…,option,开拓者
65,|剧情2=:「美少女和可爱小狗之间的心灵感应」…啊，那不就是三月七说的吗？,branch_content,
66,|选项3=谁都没有想起…,option,开拓者
67,|剧情3=:你再仔细想想，当时停云将谛听交给你们，小谛听「呜汪」了一声……,branch_content,
68,:三月七却说「它说港口风急，要用气味追踪可不容易。」,default,
69,:三月七是能和谛听交流的。,default,
70,}},default,
71,|选项2=（要不，就这样不管了吧）,option,开拓者
72,|剧情2=*谛听：呜汪，汪～,branch_content,谛听
73,:你是一个有责任心的人，不能让它留在这里不管…干脆带它去找三月七吧。,default,
74,}},default,
75,*谛听：嗷呜？,content,谛听
76,{{剧情选项|选项1=走吧，我带你去找三月七。}},default,
77,,default,
78,=== 寻找能听懂谛听吠声的翻译人才 ===,default,
79,{{任务描述|很可惜这谛听叫的声你一句也听不真，你说的话它一句也听不懂。偌大仙舟，难不成还找不见一个通解犬吠的翻译人才不成？巧了，说到能听懂狗语的人，你身边正有一个……|仙舟「罗浮」-星槎海中枢}},default,
80,*三月七：开拓者，怎么啦？,content,三月七
81,{{剧情选项|选项1=三月，来帮我翻译翻译…}},default,
82,*三月七：可恶，为什么是开拓者收到了小谛听的呼叫？难道不应该是咱这样的美少女更容易得到小猫小狗的信任吗？,content,三月七
83,{{剧情选项,default,
84,|选项1=这突如其来的攀比心…,option,开拓者
85,|剧情1=*三月七：你不懂！可爱的事物之间总是会相互吸引的。,branch_content,三月七
86,|选项2=所以你懂它的话，对吧？,option,开拓者
87,|剧情2=*三月七：当然啦，可爱的事物之间总是能心灵相通的。,branch_content,三月七
88,|选项3=原来…在你眼中我不算美少女么？,option,开拓者
89,|剧情3=<tabber>,branch_content,
90,男开拓者穹=,default,
91,*三月七：呃…你是这么看自己的吗？好吧，那勉强算啦。如果你强烈要求，我也可以把「勉强」去掉。,content,三月七
92,|-|女开拓者星=,default,
93,*三月七：算是算啦…但，能和小动物沟通可是稀有设定！,content,三月七
94,</tabber>,default,
95,}},default,
96,*三月七：在追捕卡芙卡的时候，第一次见到这小家伙，我就觉得咱们之间一定有某种奇妙的缘分。它随便叫唤几声，我就能听出它有几个意思。,content,三月七
97,*三月七：…就比如这一句。「呜汪，汪汪汪呜汪汪嗷！」,content,三月七
98,*三月七：意思就是：「尊敬的开拓者，您好，我在流云渡港口的某个地方发现了一个奇怪的东西。您也许有兴趣瞧瞧？」,content,三月七
99,{{剧情选项,default,
100,|选项1=你是怎么翻出这么长一串的？,option,开拓者
101,|剧情1=*三月七：别看小谛听只是叫了几声，它发言的信息量可是非常大的哟。,branch_content,三月七
102,|选项2=你该不会…有谛听血脉吧？,option,开拓者
