line_number,content,category,character
1,{{提示|蓝色|宽度=100%|如果选择选项下面对话没变不是BUG了，而是游戏本身对话就是一样的。}},option,开拓者
2,{{任务,default,
3,|任务名称=霜刃飞光，天狐迷狂,default,
4,|任务地区=仙舟「罗浮」,default,
5,|任务类型=开拓续闻,default,
6,|角色=三月七,default,
7,|命路群像=猎野围城,default,
8,|所属版本=2.5,default,
9,|任务描述=对猎人来说，要时刻警醒自己成为猎物——陷落死地的天击将军，积恨七百年的步离狼首，将在一处意想不到的战场上展开最后的决战，不死不休！,default,
10,|奖励=【待补充】,default,
11,|任务条件=完成任务[[岂曰无持，同气连枝]],default,
12,|开放等级=21,default,
13,|相关成就=,default,
14,|相关道具=,default,
15,|相关书籍=,default,
16,|出场人物=三月七、云璃、彦卿、飞霄,default,
17,|领取地点=,default,
18,|系列任务=明霄竞武试锋芒•下,default,
19,|任务编号=11,default,
20,|前置任务=*[[岂曰无持，同气连枝]],default,
21,|后续任务=*[[欃枪烈烈，心兽灭却]],default,
22,*[[射浪偃潮，旧恨云消]],default,
23,|任务流程=*（可选）与同伴们谈谈眼下的状况,default,
24,*处置呼雷,default,
25,}},default,
26,,default,
27,==剧情内容==,default,
28,{{提示消息|黄色|'''正在切换至【三月七】视角…'''<br>三月七察觉到了危机来临的征兆，试剑之刻终于到来…}},default,
29,,default,
30,=== （可选）与同伴们谈谈眼下的状况 ===,default,
31,{{任务描述|在剑锋及体的瞬间，凭着往日淬炼与历次惨败所得之剑艺，年轻的剑士终于胜出。该是将狼重新囚禁起来的时候了。|仙舟「罗浮」-竞锋舰}},default,
32,:{{颜色|灰|以下为彦卿视角}},default,
33,----,default,
34,:{{颜色|灰|与三月七和云璃对话}},default,
35,*三月七：吓、吓死我了，我还以为你差点就要栽在呼雷手里。幸亏那位将军赶到了。,content,三月七
36,*云璃：彦卿小弟，你做得好啊！刚才击倒呼雷的最后一剑，我怎么从来没见你使过？,content,云璃
37,{{剧情选项,default,
38,|选项1=这可是绝招。,option,开拓者
39,|剧情1=*彦卿：你想学吗？我可以教你啊。不过得等我养好这一身伤才行……,branch_content,彦卿
40,*云璃：虽然有些不甘心，但如果你能教我，我可以勉为其难地承认你的水平比我高那么一丁点儿……,content,云璃
41,|选项2=呼雷真的是被我们打败的吗？,option,开拓者
42,|剧情2=*彦卿：呼雷…真的是被咱们打败的吗？我怎么觉得，在战斗中他不知为何突然落了下风……,branch_content,彦卿
43,*三月七：一定是咱们三个的一腔凛然正气让他感到了畏惧！,content,三月七
44,*云璃：你这个人心思还真多啊，这么瞻前顾后干什么啊？管他为什么落了下风，只要最终结果是咱们几个赢了就好！,content,云璃
45,}},default,
46,----,default,
47,:{{颜色|灰|与飞霄对话}},default,
48,*飞霄：亏你们几个能撑到现在。这场狩猎总算是圆满收场了，云骑军正在善后撤离中。,content,飞霄
49,*飞霄：彦卿骁卫，你身体还撑得住吗？,content,飞霄
50,{{剧情选项,default,
51,|选项1=我还能再打十个！,option,开拓者
52,|剧情1=*彦卿：我好得很…一点事都没有！就算再来十个呼雷……,branch_content,彦卿
53,*飞霄：别太勉强了，年轻人，你看起来伤得不轻啊。等丹鼎司的医士到场，让他们好好给你治治。,content,飞霄
54,|选项2=将军，地面上的情况还好吗？,option,开拓者
55,|剧情2=*彦卿：将军…地面上一切还好吗？,branch_content,彦卿
56,*飞霄：嗯，我尽力镇压了步离人的袭扰。当我察觉到呼雷不在地面上时，我就争分夺秒地赶来这儿了。,content,飞霄
57,|选项3=幸亏将军赶到救了一命。,option,开拓者
58,|剧情3=*彦卿：我…我以为我要死了。,branch_content,彦卿
59,*飞霄：我可不想让景元将军失去他的得意弟子。当我察觉到呼雷不在地面上时，我就争分夺秒地赶来这儿了。,content,飞霄
60,|选项4=你竟然没把计划告诉我…,option,开拓者
61,|剧情4=*彦卿：…将军，你竟然没把竞锋舰上的计划告诉我！,branch_content,彦卿
62,*飞霄：别怨我啊，这可是你家将军的主意。他得知你放弃守擂，加入我的猎狼队伍，便要我对你保密。也许是怕你急性子坏事吧。,content,飞霄
63,*飞霄：你看，兜兜转转，不还是回到了这里吗？,content,飞霄
64,}},default,
65,*飞霄：没想到，生平第一次，我在战场上迟到了。不，也许该说是你们几个年轻人的剑太快了些。,content,飞霄
66,*飞霄：我本以为最好的战况不过是你们几个能联手拖住这头凶兽，自保不失。但…你们合力击败了呼雷，真是后生可畏。,content,飞霄
67,*飞霄：来吧，为免夜长梦多，该是将呼雷重新囚禁起来的时候了。,content,飞霄
68,,default,
69,=== 处置呼雷 ===,default,
70,*呼雷：真是令人印象深刻的一剑啊…和当年被{{注音|那个女人|镜流}}击败时如此相似。,content,呼雷
71,*呼雷：七百余年过去，我本以为自己能有破解之法。但我终究还是…爪牙迟钝了。你们赢了，小子。,content,呼雷
72,*飞霄：不必挣扎了，呼雷。回到幽囚狱，你有足够的时间被懊悔折磨。,content,飞霄
73,*呼雷：我确实败了，但这并不出乎我的意料。但你还是露面了，飞霄。,content,呼雷
74,{{剧情选项,default,
75,|选项1=（处置呼雷）,option,开拓者
76,|剧情1={{颜色|描述|进入拓境探游[[心兽的战场]]}},branch_content,
77,{{提示|蓝色|宽度=100%|吞饮赤月，受其所赐？或受其所蚀？此刻，飞霄挣扎于无边的迷狂中……|介绍}},default,
78,|选项2=（暂时等候）,option,开拓者
79,|图标2=退出,default,
80,|剧情2=,branch_content,
81,}},default,
82,----,default,
83,*呼雷：我期待了如此之久，这场狩猎游戏终于走到了尽头…我说过，我为你准备了一条道路……,content,呼雷
84,{{折叠|标题=过场动画|内容=,default,
85,:{{颜色|灰|呼雷重新站了起来…}},default,
86,*呼雷：一条死路……,content,呼雷
87,*呼雷：我会死去，和我一同死去的还有整个罗浮仙舟！,content,呼雷
88,:{{颜色|灰|呼雷掏出了自己的心脏…}},default,
89,*呼雷：我胸中的「赤月」，会将血光洒遍这里！,content,呼雷
90,*呼雷：我会让所有狐人在恐惧中疯狂…渴求杀戮…无休无止！,content,呼雷
91,*呼雷：你又该怎么做呢…飞霄……,content,呼雷
92,*云璃：…这是什么东西啊？！,content,云璃
93,*飞霄：那是步离战首的「心脏」，「寿瘟祸迹」的产物。,content,飞霄
94,*飞霄：接下来的事情，要拜托你们了。,content,飞霄
