line_number,content,category,character
1,{{角色图鉴,default,
2,|名称=飞霄,default,
3,|外文名=Feixiao,default,
4,|称号=天击将军,default,
5,|全名=萨兰,default,
6,|性别=女,default,
7,|稀有度=5星,default,
8,|限定=是,default,
9,|阵营=仙舟「曜青」,default,
10,|命途=巡猎,default,
11,|命途材料=巡猎2,default,
12,|元素属性=风,default,
13,|介绍=仙舟「曜青」的天击将军，帝弓七天将之一，为人不拘一格，率直潇洒。<br>精通百般武艺，炼化躯体至极致，享有「大捷将军」美名，深受仙舟军民爱戴。<br>但身负「月狂」之症，如要在时限内猎尽孽物——飞霄唯一的敌手，便是自己。,default,
14,|TAG=追加攻击、无视弱点削韧、伤害倍率、自身伤害提升、攻击力、暴击伤害、快速移动、秘技牵引,default,
15,|星魂TAG=伤害额外提高、削韧值、速度、抗性穿透,default,
16,|实装日期=2024年09月10日,default,
17,|实装版本=2.5,default,
18,|角色定位=飞霄是通过【飞黄】施放终结技的输出型角色，我方全体攻击即可积累【飞黄】。此外，我方发动攻击后，飞霄还可以对目标发动追加攻击。,default,
19,|昵称/外号=,default,
20,|派系=仙舟联盟,default,
21,|体型=成女,default,
22,|种族=狐族,default,
23,|短信签名=手痒,default,
24,|所在位置=<!-- 地图名称 -->,default,
25,|中文CV=叶知秋,default,
26,|日文CV=小松未可子,default,
27,|英文CV=<!--Anairis Quinones-->,default,
28,|韩文CV=손정민,default,
29,|卷首语=「『天击将军』是写在书上的，『大捷将军』是大家叫的。前者太正经，后者太夸张，都不合适。我还是喜欢自己取的『三无将军』——无虑，无悔，无敌。」,default,
30,|角色详细=仙舟「曜青」的天击将军，帝弓七天将之一，为人不拘一格，率直潇洒。<br>精通百般武艺，炼化躯体至极致，享有「大捷将军」美名，深受仙舟军民爱戴。<br>但身负「月狂」之症，如要在时限内猎尽孽物——飞霄唯一的敌手，便是自己。,default,
