line_number,content,category,character
1,{{角色语音表头|飞霄|未完善=是}},default,
2,{{切换板|开始}},default,
3,{{切换板|默认显示|互动语音}},default,
4,{{切换板|默认折叠|战斗语音}},default,
5,{{切换板|显示内容}}{{角色语音,default,
6,|语音类型=初次见面,default,
7,|语音文件=飞霄-初次见面,default,
8,|语音内容=我是飞霄，仙舟「曜青」的将军。这样就算认识了，如果星穹列车碰上什么麻烦，尽管联系，曜青随叫随到。,default,
9,"|语音内容英语=I'm Feixiao, general of the Xianzhou Yaoqing. Now that we're acquainted, should the Astral Express run into any trouble, feel free to contact me. The Yaoqing will be there in an instant.",default,
10,"|语音内容韩语=난 비소, 선주 「요청」의 장군이야. 이제 안면도 텄으니, 은하열차에 무슨 일이 생기면 언제든지 연락해. 요청이 바로 달려갈게",default,
11,|语音内容日语=あたしは飛霄、仙舟「曜青」の将軍よ。一度自己紹介すれば、もう知り合ったって言えるわよね？星穹列車が面倒なことに巻き込まれた時は、いつでも連絡してちょうだい。曜青は必ず応えるわ。,default,
12,}},default,
13,{{角色语音,default,
14,|语音类型=问候,default,
15,|语音文件=飞霄-问候,default,
16,|语音内容=你在。那我们直接说正事，速战速决。,default,
17,"|语音内容英语=You're here, then let's get straight to business.",default,
18,|语音内容韩语=여기 있었구나. 그럼 바로 본론으로 들어가자. 속전속결로 끝내자고,default,
19,|语音内容日语=いたの？それじゃあ、さっそく本題に入りましょう。,default,
20,}},default,
21,{{角色语音,default,
22,|语音类型=道别,default,
23,|语音文件=飞霄-道别,default,
24,|语音内容=我走了。希望下次见面时，你我都多打了几场胜仗。,default,
25,"|语音内容英语=I'm heading out. I hope the next time we meet, we'll both have several more victories to our names.",default,
26,|语音内容韩语=이만 가볼게. 다음에 만날 땐 우리가 더 많은 승리를 거뒀길 바라,default,
27,|语音内容日语=そろそろ行くわ。次に会う時は、お互いもっと勝ち星が増えてるといいわね。,default,
28,}},default,
29,{{角色语音,default,
30,|语音类型=关于自己•「将军」,default,
31,|语音文件=飞霄-关于自己•「将军」,default,
32,|语音内容=「天击将军」是写在书上的，「大捷将军」是大家叫的。前者太正经，后者太夸张，都不合适。我还是喜欢自己取的「三无将军」——无虑，无悔，无敌。,default,
33,"|语音内容英语=""The Merlin's Claw"" is what's written in the books, and the ""Vanquishing General"" is what people call me. The former sounds too formal, the latter too exaggerated. Neither suits me. I prefer my own title, the ""Lacking General"" — lacking in worries, regrets, and rivals.",default,
34,"|语音内容韩语=「천격 장군」은 책에 쓰이는 이름이고, 「대첩 장군」은 모두가 부르는 이름이야. 전자는 너무 형식적이고, 후자는 너무 과해서 둘 다 마땅찮아. 그래서 난 스스로 「삼무 장군」이라고 부르는 걸 제일 좋아해. 걱정, 후회, 적수가 없다는 뜻이지",default,
35,|语音内容日语=「天撃将軍」は本に書かれてる名前で、普段は「大捷将軍」って呼ばれてるの。前者は堅すぎ、後者は大袈裟すぎで、どっちもあたしには相応しくないわ。やっぱり一番しっくりくるのは自分で付けた——憂いなし、悔いなし、敵なしの「三無将軍」ね！,default,
36,}},default,
37,{{角色语音,default,
38,|语音类型=关于自己•月狂,default,
39,|语音文件=飞霄-关于自己•月狂,default,
40,|语音内容=与其说这「月狂」是疾病，不如说是我的昨天和明天。人能放下昨天，但总要直面明天。,default,
41,"|语音内容英语=""Moon Rage"" isn't so much a disease as it is my past and future. One can let go of the past, but must always face the future.",default,
42,"|语音内容韩语=「달의 광기」는 질병이라기보단 나의 어제와 내일이라고 하는 게 맞아. 사람은 어제를 내려놓을 순 있지만, 내일을 직시해야만 하지",default,
43,|语音内容日语=「月狂い」は病気というより、あたしの昨日と明日って言ったほうが正しいかもしれない。人は昨日を手放すことはできても、明日には必ず向き合わなければならないの。,default,
44,}},default,
45,{{角色语音,default,
46,|语音类型=关于自己•心兽,default,
47,|语音文件=飞霄-关于自己•心兽,default,
48,|语音内容=它因月狂而生，是我的血脉，越是驱使，便越是滋长。但我没有停下的理由，为了仙舟的胜利。天弓之神，来比一比吧…我的速度比「流星」更快。,default,
49,"|语音内容英语=It is my blood, born from Moon Rage, coursing through my veins. The more I wield it, the more it grows, yet for the sake of the Xianzhou's triumph, I have no reason to pause. God of the Skybow, let's have a competition — my speed outpaces that of a shooting star.",default,
50,"|语音内容韩语=그건 달의 광기에 의해 태어난 내 핏줄로 부추길수록 자라나지. 그렇다고 내가 멈출 이유는 없어. 선주의 승리를 위한 거니까. 천궁의 신, 겨뤄볼까…? 나는 「유성」보다 빠르다고",default,
51,|语音内容日语=あれは月狂いによって生まれたあたしの血脈よ。駆り立てれば駆り立てるほど成長していく…でも仙舟の勝利のために、こんなところで立ち止まるわけにはいかない。天弓の神、見てなさい…あたしは「流れ星」より速いんだから。,default,
52,}},default,
53,{{角色语音,default,
54,|语音类型=闲谈•「巡猎」,default,
55,|语音文件=飞霄-闲谈•「巡猎」,default,
56,|语音内容=生命短暂，我只想做那枚锋镝——「巡猎」，直至最后一刻。,default,
57,"|语音内容英语=Life is ephemeral, and I only wish to be a piercing arrowhead — to be The Hunt — until my very last breath.",default,
58,|语音内容韩语=삶은 짧아. 나는 그저 화살촉이 되어 「수렵」하고 싶을 뿐이야. 마지막 순간까지,default,
59,|语音内容日语=人生は短い。あたしはただ——最後の瞬間まで、矢じりとして「巡狩」を全うしたいの。,default,
60,}},default,
61,{{角色语音,default,
62,|语音类型=闲谈•跑步,default,
63,|语音文件=飞霄-闲谈•跑步,default,
64,|语音内容=奔跑的时候，时间流淌得尤其缓慢。能优哉游哉地思考问题，对我这个急性子来说还不错。,default,
65,"|语音内容英语=When I run, time seems to flow especially slowly. Being able to think at a leisurely pace is quite nice for someone with my impatience.",default,
66,|语音内容韩语=달리고 있으면 시간의 흐름이 유난히 느리게 느껴져. 여유롭게 고민할 수 있다는 건 나처럼 성격 급한 사람한텐 꽤 괜찮은 것 같아,default,
67,|语音内容日语=走ってる時は特に時間の流れが遅くなって、ゆっくり物事を考えられるの。あたしみたいなせっかちには合ってるのかもしれないわ。,default,
68,}},default,
69,{{角色语音,default,
70,|语音类型=爱好,default,
71,|语音文件=飞霄-爱好,default,
72,|语音内容=以前总陪月御将军小酌，说是小酌…我只能小口小口抿，她倒是一杯杯不带停的。如今端起酒盏，总会想起她的样子，往往不知不觉越喝越快。,default,
73,"|语音内容英语=I used to enjoy a drink with General Yueyu. We called it a small drink... but I could only take small sips, while she would down cup after glass without pause. Now, whenever I raise a glass, I can't help but think of her, and I find myself drinking faster and faster without realizing.",default,
74,"|语音内容韩语=예전엔 종종 월아 장군과 함께 술 한잔하곤 했는데, 말이 술 한잔이지… 조금씩 밖에 못 마시는 나와 달리 그녀는 술잔을 멈추지 않더군. 지금도 술잔을 들면 항상 그녀의 모습이 떠올라서 자꾸 나도 모르게 빨리 마시게 된다니까",default,
